date,cash,transaction_cost,market_value,total_value
2013-01-04,2000141.9475,1279.7725,7998578.28,9998720.2275
2013-01-07,2000141.9475,0.0,8143412.76,10143554.7075
2013-01-08,2000141.9475,0.0,8313784.92,10313926.8675
2013-01-09,2000141.9475,0.0,8329298.04,10329439.9875
2013-01-10,2000141.9475,0.0,8404981.2,10405123.1475
2013-01-11,2000141.9475,0.0,8296196.58,10296338.5275
2013-01-14,2000141.9475,0.0,8624637.0,10624778.9475
2013-01-15,2000141.9475,0.0,8829358.02,10829499.9675
2013-01-16,2000141.9475,0.0,8782659.9,10782801.8475
2013-01-17,2000141.9475,0.0,8712612.72,10712754.6675
2013-01-18,2000141.9475,0.0,8928957.24,10929099.1875
2013-01-21,2000141.9475,0.0,8988084.0,10988225.9475
2013-01-22,2000141.9475,0.0,8790030.9,10790172.8475
2013-01-23,2000141.9475,0.0,8827940.52,10828082.4675
2013-01-24,2000141.9475,0.0,8594234.46,10594376.4075
2013-01-25,2000141.9475,0.0,8650696.32,10650838.2675
2013-01-28,2000141.9475,0.0,8899178.4,10899320.3475
2013-01-29,2000141.9475,0.0,8977549.14,10977691.0875
2013-01-30,2000141.9475,0.0,8886953.88,10887095.8275
2013-01-31,2000141.9475,0.0,8799896.7,10800038.6475
2013-02-01,2000141.9475,0.0,8871996.42,10872138.3675
2013-02-04,2000141.9475,0.0,8753368.68,10753510.6275
2013-02-05,2000141.9475,0.0,8856324.54,10856466.4875
2013-02-06,2000141.9475,0.0,8972922.42,10973064.3675
2013-02-07,2000141.9475,0.0,9135345.24,11135487.1875
2013-02-08,2000141.9475,0.0,9333137.52,11333279.4675
2013-02-18,2000141.9475,0.0,9472041.18,11472183.1275
2013-02-19,2000141.9475,0.0,9295500.06,11295642.0075
2013-02-20,2499518.6154,79.9131,9149329.839,11648848.4544
2013-02-21,2499518.6154,0.0,9024971.394,11524490.0094
2013-02-22,2499518.6154,0.0,9019218.539,11518737.1544
2013-02-25,2499518.6154,0.0,9201277.582,11700796.1974
2013-02-26,2499518.6154,0.0,9153136.401,11652655.0164
2013-02-27,2499518.6154,0.0,9098005.77,11597524.3854
2013-02-28,2499518.6154,0.0,9259354.535,11758873.1504
2013-03-01,2499518.6154,0.0,9515232.923,12014751.5384
2013-03-04,2499518.6154,0.0,9285215.5,11784734.1154
2013-03-05,2499518.6154,0.0,9549728.547,12049247.1624
2013-03-06,2499518.6154,0.0,9708915.959,12208434.5744
2013-03-07,2499518.6154,0.0,9434004.761,11933523.3764
2013-03-08,2499518.6154,0.0,9298108.347,11797626.9624
2013-03-11,2499518.6154,0.0,9345969.95,11845488.5654
2013-03-12,2499518.6154,0.0,9030756.508,11530275.1234
2013-03-13,2499518.6154,0.0,8968528.897,11468047.5124
2013-03-14,2499518.6154,0.0,9054413.108,11553931.7234
2013-03-15,2499518.6154,0.0,9182051.218,11681569.8334
2013-03-18,2499518.6154,0.0,9162814.101,11662332.7164
2013-03-19,2499518.6154,0.0,9061391.805,11560910.4204
2013-03-20,2499518.6154,0.0,9314969.051,11814487.6664
2013-03-21,2499518.6154,0.0,9492038.702,11991557.3174
2013-03-22,2499518.6154,0.0,9484156.753,11983675.3684
2013-03-25,2499518.6154,0.0,9481522.268,11981040.8834
2013-03-26,2499518.6154,0.0,9423509.833,11923028.4484
2013-03-27,2499518.6154,0.0,9492232.256,11991750.8714
2013-03-28,2499518.6154,0.0,9328345.783,11827864.3984
2013-03-29,2499518.6154,0.0,9316990.615,11816509.2304
2013-04-01,2499518.6154,0.0,9430391.753,11929910.3684
2013-04-02,2499518.6154,0.0,9088037.739,11587556.3544
2013-04-03,2499518.6154,0.0,8980238.914,11479757.5294
2013-04-08,2499518.6154,0.0,9177513.452,11677032.0674
2013-04-09,2499518.6154,0.0,9268989.223,11768507.8384
2013-04-10,2499518.6154,0.0,9145781.349,11645299.9644
2013-04-11,2499518.6154,0.0,9116199.846,11615718.4614
2013-04-12,2499518.6154,0.0,9103618.836,11603137.4514
2013-04-15,2499518.6154,0.0,8993185.526,11492704.1414
2013-04-16,2499518.6154,0.0,9097618.662,11597137.2774
2013-04-17,2499518.6154,0.0,9328345.783,11827864.3984
2013-04-18,2499518.6154,0.0,9392541.193,11892059.8084
2013-04-19,2499518.6154,0.0,9593934.13,12093452.7454
2013-04-22,2499518.6154,0.0,9849973.813,12349492.4284
2013-04-23,2499518.6154,0.0,9610923.87,12110442.4854
2013-04-24,2499518.6154,0.0,9929384.718,12428903.3334
2013-04-25,2499518.6154,0.0,9716776.402,12216295.0174
