date,order_book_id,symbol,quantity,last_price,avg_price,market_value
2016-09-30,512880.XSHG,国泰证券ETF,294900.0,1.017,1.017,299913.3
2016-10-10,512880.XSHG,国泰证券ETF,294900.0,1.03,1.017,303747.0
2016-10-11,512880.XSHG,国泰证券ETF,294900.0,1.032,1.017,304336.8
2016-10-12,512880.XSHG,国泰证券ETF,294900.0,1.029,1.017,303452.1
2016-10-13,512880.XSHG,国泰证券ETF,294900.0,1.03,1.017,303747.0
2016-10-14,512880.XSHG,国泰证券ETF,294900.0,1.03,1.017,303747.0
2016-10-17,512880.XSHG,国泰证券ETF,294900.0,1.013,1.017,298733.7
2016-10-18,512880.XSHG,国泰证券ETF,294900.0,1.036,1.017,305516.4
2016-10-19,512880.XSHG,国泰证券ETF,294900.0,1.032,1.017,304336.8
2016-10-20,512880.XSHG,国泰证券ETF,294900.0,1.031,1.017,304041.9
2016-10-21,512880.XSHG,国泰证券ETF,294900.0,1.035,1.017,305221.5
2016-10-24,512880.XSHG,国泰证券ETF,294900.0,1.061,1.017,312888.9
2016-10-25,512880.XSHG,国泰证券ETF,294900.0,1.054,1.017,310824.6
2016-10-26,512880.XSHG,国泰证券ETF,294900.0,1.051,1.017,309939.9
2016-10-27,512880.XSHG,国泰证券ETF,294900.0,1.053,1.017,310529.7
2016-10-28,512880.XSHG,国泰证券ETF,294900.0,1.06,1.017,312594.0
2016-10-31,512880.XSHG,国泰证券ETF,294900.0,1.06,1.017,312594.0
2016-11-01,512880.XSHG,国泰证券ETF,294900.0,1.07,1.017,315543.0
2016-11-02,512880.XSHG,国泰证券ETF,294900.0,1.064,1.017,313773.6
2016-11-03,512880.XSHG,国泰证券ETF,294900.0,1.089,1.017,321146.1
2016-11-04,512880.XSHG,国泰证券ETF,294900.0,1.083,1.017,319376.7
2016-11-07,512880.XSHG,国泰证券ETF,294900.0,1.089,1.017,321146.1
2016-11-08,512880.XSHG,国泰证券ETF,294900.0,1.091,1.017,321735.9
2016-11-09,512880.XSHG,国泰证券ETF,294900.0,1.078,1.017,317902.2
2016-11-10,512880.XSHG,国泰证券ETF,294900.0,1.095,1.017,322915.5
2016-11-11,512880.XSHG,国泰证券ETF,294900.0,1.133,1.017,334121.7
2016-11-14,512880.XSHG,国泰证券ETF,294900.0,1.142,1.017,336775.8
2016-11-15,512880.XSHG,国泰证券ETF,294900.0,1.132,1.017,333826.8
2016-11-16,512880.XSHG,国泰证券ETF,294900.0,1.14,1.017,336186.0
2016-11-17,512880.XSHG,国泰证券ETF,294900.0,1.136,1.017,335006.4
2016-11-18,512880.XSHG,国泰证券ETF,294900.0,1.119,1.017,329993.1
2016-11-21,512880.XSHG,国泰证券ETF,294900.0,1.119,1.017,329993.1
2016-11-22,512880.XSHG,国泰证券ETF,294900.0,1.135,1.017,334711.5
2016-11-23,512880.XSHG,国泰证券ETF,294900.0,1.126,1.017,332057.4
2016-11-24,512880.XSHG,国泰证券ETF,294900.0,1.137,1.017,335301.3
2016-11-25,512880.XSHG,国泰证券ETF,294900.0,1.141,1.017,336480.9
2016-11-28,512880.XSHG,国泰证券ETF,294900.0,1.136,1.017,335006.4
2016-11-29,512880.XSHG,国泰证券ETF,294900.0,1.139,1.017,335891.1
2016-11-30,512880.XSHG,国泰证券ETF,294900.0,1.13,1.017,333237.0
2016-12-01,512880.XSHG,国泰证券ETF,294900.0,1.141,1.017,336480.9
2016-12-02,512880.XSHG,国泰证券ETF,294900.0,1.119,1.017,329993.1
2016-12-05,512880.XSHG,国泰证券ETF,294900.0,1.083,1.017,319376.7
2016-12-06,512880.XSHG,国泰证券ETF,294900.0,1.082,1.017,319081.8
2016-12-07,512880.XSHG,国泰证券ETF,294900.0,1.089,1.017,321146.1
2016-12-08,512880.XSHG,国泰证券ETF,294900.0,1.078,1.017,317902.2
2016-12-09,512880.XSHG,国泰证券ETF,294900.0,1.082,1.017,319081.8
2016-12-12,512880.XSHG,国泰证券ETF,294900.0,1.051,1.017,309939.9
2016-12-13,512880.XSHG,国泰证券ETF,294900.0,1.053,1.017,310529.7
2016-12-14,512880.XSHG,国泰证券ETF,294900.0,1.041,1.017,306990.9
2016-12-15,512880.XSHG,国泰证券ETF,294900.0,1.037,1.017,305811.3
2016-12-16,512880.XSHG,国泰证券ETF,294900.0,1.037,1.017,305811.3
2016-12-19,512880.XSHG,国泰证券ETF,294900.0,1.028,1.017,303157.2
2016-12-20,512880.XSHG,国泰证券ETF,294900.0,1.03,1.017,303747.0
2016-12-21,512880.XSHG,国泰证券ETF,294900.0,1.037,1.017,305811.3
2016-12-22,512880.XSHG,国泰证券ETF,294900.0,1.032,1.017,304336.8
