date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2014-04-16,346.4554,99984002.615,99983656.1596,0.99984,100000000.0,1.0
2014-04-17,346.4554,99914300.242,99913953.7866,0.999143,100000000.0,0.9998
2014-04-18,346.4554,100256777.7052,100256431.2498,1.002568,100000000.0,0.9991
2014-04-21,346.4554,98244744.594,98244398.1386,0.982447,100000000.0,1.0026
2014-04-22,346.4554,98454179.018,98453832.5626,0.984542,100000000.0,0.9824
2014-04-23,48991604.5692,97990071.594,48998467.0248,0.979901,100000000.0,0.9845
2014-04-24,48991604.5692,97965323.7045,48973719.1353,0.979653,100000000.0,0.9799
2014-04-25,48752726.5223,97505215.9529,48752489.4306,0.975052,100000000.0,0.9797
2014-04-28,48362294.7938,96724050.15,48361755.3562,0.967241,100000000.0,0.9751
2014-04-29,48883315.6239,97767034.7851,48883719.1612,0.97767,100000000.0,0.9672
2014-04-30,48801195.1161,97601685.6459,48800490.5298,0.976017,100000000.0,0.9777
2014-05-05,49020733.2724,98041994.6329,49021261.3605,0.98042,100000000.0,0.976
2014-05-06,48920492.2302,97840925.1807,48920432.9505,0.978409,100000000.0,0.9804
2014-05-07,48920492.2302,97833348.2127,48912855.9825,0.978333,100000000.0,0.9784
2014-05-08,49090711.2703,98182296.4037,49091585.1334,0.981823,100000000.0,0.9783
2014-05-09,98592094.9841,98592094.9841,0.0,0.985921,100000000.0,0.9818
2014-05-12,98592094.9841,98592094.9841,0.0,0.985921,100000000.0,0.9859
2014-05-13,98592094.9841,98592094.9841,0.0,0.985921,100000000.0,0.9859
2014-05-14,98592094.9841,98592094.9841,0.0,0.985921,100000000.0,0.9859
2014-05-15,98592094.9841,98592094.9841,0.0,0.985921,100000000.0,0.9859
2014-05-16,98592094.9841,98592094.9841,0.0,0.985921,100000000.0,0.9859
2014-05-19,98592094.9841,98592094.9841,0.0,0.985921,100000000.0,0.9859
2014-05-20,98592094.9841,98592094.9841,0.0,0.985921,100000000.0,0.9859
2014-05-21,98592094.9841,98592094.9841,0.0,0.985921,100000000.0,0.9859
2014-05-22,98592094.9841,98592094.9841,0.0,0.985921,100000000.0,0.9859
2014-05-23,98592094.9841,98592094.9841,0.0,0.985921,100000000.0,0.9859
2014-05-26,98592094.9841,98592094.9841,0.0,0.985921,100000000.0,0.9859
2014-05-27,98592094.9841,98592094.9841,0.0,0.985921,100000000.0,0.9859
2014-05-28,98592094.9841,98592094.9841,0.0,0.985921,100000000.0,0.9859
2014-05-29,3169.4325,98576323.2795,98573153.847,0.985763,100000000.0,0.9859
2014-05-30,49699652.4488,99320514.1448,49620861.696,0.993205,100000000.0,0.9858
2014-06-03,49699652.4488,99078028.1288,49378375.68,0.99078,100000000.0,0.9932
2014-06-04,49699652.4488,98802184.6088,49102532.16,0.988022,100000000.0,0.9908
2014-06-05,49699652.4488,99522608.5448,49822956.096,0.995226,100000000.0,0.988
2014-06-06,49699652.4488,99328338.9128,49628686.464,0.993283,100000000.0,0.9952
2014-06-09,1693.2672,98556396.7034,98554703.4362,0.985564,100000000.0,0.9933
2014-06-10,1693.2672,100605774.7594,100604081.4922,1.006058,100000000.0,0.9856
2014-06-11,1693.2672,100977903.1224,100976209.8552,1.009779,100000000.0,1.0061
2014-06-12,1693.2672,100783684.9952,100781991.728,1.007837,100000000.0,1.0098
2014-06-13,1693.2672,102158618.1896,102156924.9224,1.021586,100000000.0,1.0078
2014-06-16,1693.2672,103140470.5622,103138777.295,1.031405,100000000.0,1.0216
2014-06-17,1693.2672,102077248.4594,102075555.1922,1.020772,100000000.0,1.0314
2014-06-18,1693.2672,101362693.0234,101360999.7562,1.013627,100000000.0,1.0208
