date,cash,transaction_cost,market_value,total_value
2014-04-16,346.4554,15997.385,99983656.1596,99984002.615
2014-04-17,346.4554,0.0,99913953.7866,99914300.242
2014-04-18,346.4554,0.0,100256431.2498,100256777.7052
2014-04-21,346.4554,0.0,98244398.1386,98244744.594
2014-04-22,346.4554,0.0,98453832.5626,98454179.018
2014-04-23,48991604.5692,16.9824,48998467.0248,97990071.594
2014-04-24,48991604.5692,0.0,48973719.1353,97965323.7045
2014-04-25,48752726.5223,38.2144,48752489.4306,97505215.9529
2014-04-28,48362294.7938,62.4591,48361755.3562,96724050.15
2014-04-29,48883315.6239,83.3767,48883719.1612,97767034.7851
2014-04-30,48801195.1161,13.1372,48800490.5298,97601685.6459
2014-05-05,49020733.2724,35.1317,49021261.3605,98041994.6329
2014-05-06,48920492.2302,16.036,48920432.9505,97840925.1807
2014-05-07,48920492.2302,0.0,48912855.9825,97833348.2127
2014-05-08,49090711.2703,27.2394,49091585.1334,98182296.4037
2014-05-09,98592094.9841,0.0,0.0,98592094.9841
2014-05-12,98592094.9841,0.0,0.0,98592094.9841
2014-05-13,98592094.9841,0.0,0.0,98592094.9841
2014-05-14,98592094.9841,0.0,0.0,98592094.9841
2014-05-15,98592094.9841,0.0,0.0,98592094.9841
2014-05-16,98592094.9841,0.0,0.0,98592094.9841
2014-05-19,98592094.9841,0.0,0.0,98592094.9841
2014-05-20,98592094.9841,0.0,0.0,98592094.9841
2014-05-21,98592094.9841,0.0,0.0,98592094.9841
2014-05-22,98592094.9841,0.0,0.0,98592094.9841
2014-05-23,98592094.9841,0.0,0.0,98592094.9841
2014-05-26,98592094.9841,0.0,0.0,98592094.9841
2014-05-27,98592094.9841,0.0,0.0,98592094.9841
2014-05-28,98592094.9841,0.0,0.0,98592094.9841
2014-05-29,3169.4325,15771.7046,98573153.847,98576323.2795
2014-05-30,49699652.4488,0.0,49620861.696,99320514.1448
2014-06-03,49699652.4488,0.0,49378375.68,99078028.1288
2014-06-04,49699652.4488,0.0,49102532.16,98802184.6088
2014-06-05,49699652.4488,0.0,49822956.096,99522608.5448
2014-06-06,49699652.4488,0.0,49628686.464,99328338.9128
2014-06-09,1693.2672,7950.4014,98554703.4362,98556396.7034
2014-06-10,1693.2672,0.0,100604081.4922,100605774.7594
2014-06-11,1693.2672,0.0,100976209.8552,100977903.1224
2014-06-12,1693.2672,0.0,100781991.728,100783684.9952
2014-06-13,1693.2672,0.0,102156924.9224,102158618.1896
2014-06-16,1693.2672,0.0,103138777.295,103140470.5622
2014-06-17,1693.2672,0.0,102075555.1922,102077248.4594
2014-06-18,1693.2672,0.0,101360999.7562,101362693.0234
2014-06-19,1693.2672,0.0,97777574.6988,97779267.966
2014-06-20,1693.2672,0.0,98616473.2494,98618166.5166
2014-06-23,1693.2672,0.0,100206539.628,100208232.8952
2014-06-24,1693.2672,0.0,100707482.4546,100709175.7218
2014-06-25,1693.2672,0.0,100084073.2026,100085766.4698
2014-06-26,1693.2672,0.0,101723998.529,101725691.7962
2014-06-27,1693.2672,0.0,102298945.4902,102300638.7574
2014-06-30,1693.2672,0.0,103395429.1616,103397122.4288
2014-07-01,1693.2672,0.0,104403016.6508,104404709.918
2014-07-02,1693.2672,0.0,104782956.004,104784649.2712
2014-07-03,1693.2672,0.0,104563659.1122,104565352.3794
2014-07-04,1693.2672,0.0,104443167.986,104444861.2532
2014-07-07,1693.2672,0.0,103521293.3656,103522986.6328
2014-07-08,1693.2672,0.0,104466501.1096,104468194.3768
2014-07-09,1693.2672,0.0,102209635.4582,102211328.7254
2014-07-10,1054.3403,8228.436,101019200.15,101020254.4903
2014-07-11,1054.3403,0.0,101547703.734,101548758.0743
2014-07-14,1054.3403,0.0,103131516.7,103132571.0403
2014-07-15,1054.3403,0.0,102457491.746,102458546.0863
2014-07-16,1054.3403,0.0,101175592.16,101176646.5003
2014-07-17,1065.6343,8210.3379,100856687.814,100857753.4483
2014-07-18,1065.6343,0.0,101666994.497,101668060.1313
2014-07-21,1065.6343,0.0,101383695.872,101384761.5063
2014-07-22,1065.6343,0.0,103535736.48,103536802.1143
2014-07-23,1065.6343,0.0,103465187.296,103466252.9303
2014-07-24,1065.6343,0.0,104289867.292,104290932.9263
2014-07-25,90.7755,4478.8398,106304022.302,106304113.0775
2014-07-28,90.7755,0.0,108414916.333,108415007.1085
2014-07-29,90.7755,0.0,108409320.213,108409410.9885
2014-07-30,90.7755,0.0,107964500.558,107964591.3335
2014-07-31,90.7755,0.0,109970465.636,109970556.4115
2014-08-01,90.7755,0.0,109020550.055,109020640.8305
2014-08-04,90.7755,0.0,111154113.695,111154204.4705
2014-08-05,90.7755,0.0,111360032.972,111360123.7475
2014-08-06,90.7755,0.0,112151407.958,112151498.7335
2014-08-07,90.7755,0.0,110630797.707,110630888.4825
2014-08-08,90.7755,0.0,111205348.918,111205439.6935
2014-08-11,114.9806,3974.9229,112590132.491,112590247.4716
2014-08-12,114.9806,0.0,112677075.066,112677190.0466
2014-08-13,114.9806,0.0,112754278.123,112754393.1036
2014-08-14,114.9806,0.0,111361326.238,111361441.2186
2014-08-15,114.9806,0.0,111909048.98,111909163.9606
