date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2015-11-02,2424.8657,99984002.9475,99981578.0818,0.99984,100000000.0,1.0
2015-11-03,4946842.9721,100049219.3293,95102376.3572,1.000492,100000000.0,0.9998
2015-11-04,5176935.0835,100536781.8929,95359846.8094,1.005368,100000000.0,1.0005
2015-11-05,5376634.9964,100891325.7754,95514690.779,1.008913,100000000.0,1.0054
2015-11-06,5622525.2876,101390429.5166,95767904.229,1.013904,100000000.0,1.0089
2015-11-09,5622525.2876,101290608.0608,95668082.7732,1.012906,100000000.0,1.0139
2015-11-10,5622525.2876,101405420.8114,95782895.5238,1.014054,100000000.0,1.0129
2015-11-11,5622525.2876,101547405.0528,95924879.7652,1.015474,100000000.0,1.0141
2015-11-12,5622525.2876,101424879.9794,95802354.6918,1.014249,100000000.0,1.0155
2015-11-13,5622525.2876,101485336.9224,95862811.6348,1.014853,100000000.0,1.0142
2015-11-16,5622525.2876,101427322.5382,95804797.2506,1.014273,100000000.0,1.0149
2015-11-17,5622525.2876,101500696.4108,95878171.1232,1.015007,100000000.0,1.0143
2015-11-18,5622525.2876,101286633.3196,95664108.032,1.012866,100000000.0,1.015
2015-11-19,5622525.2876,101452829.428,95830304.1404,1.014528,100000000.0,1.0129
2015-11-20,5622525.2876,101371081.8508,95748556.5632,1.013711,100000000.0,1.0145
2015-11-23,5622525.2876,101322259.4322,95699734.1446,1.013223,100000000.0,1.0137
2015-11-24,5622525.2876,101454187.4598,95831662.1722,1.014542,100000000.0,1.0132
2015-11-25,5622525.2876,101477703.5508,95855178.2632,1.014777,100000000.0,1.0145
2015-11-26,5622525.2876,101486084.7316,95863559.444,1.014861,100000000.0,1.0148
2015-11-27,5333774.0708,100948040.397,95614266.3262,1.00948,100000000.0,1.0149
2015-11-30,5333774.0708,100925607.089,95591833.0182,1.009256,100000000.0,1.0095
2015-12-01,5333774.0708,100934911.137,95601137.0662,1.009349,100000000.0,1.0093
2015-12-02,5452101.2785,101285774.1427,95833672.8642,1.012858,100000000.0,1.0093
2015-12-03,5452101.2785,101308303.0195,95856201.741,1.013083,100000000.0,1.0129
2015-12-04,5452101.2785,101199579.0383,95747477.7598,1.011996,100000000.0,1.0131
2015-12-07,1817.2381,101129345.6465,101127528.4084,1.011293,100000000.0,1.012
2015-12-08,1817.2381,100980431.1634,100978613.9253,1.009804,100000000.0,1.0113
2015-12-09,10509184.3668,101018181.3844,90508997.0176,1.010182,100000000.0,1.0098
2015-12-10,10509184.3668,101036177.5434,90526993.1766,1.010362,100000000.0,1.0102
2015-12-11,10509184.3668,101085740.7354,90576556.3686,1.010857,100000000.0,1.0104
2015-12-14,10509184.3668,101078365.2604,90569180.8936,1.010784,100000000.0,1.0109
2015-12-15,10509184.3668,101173066.3594,90663881.9926,1.011731,100000000.0,1.0108
2015-12-16,7845.3954,101145129.723,101137284.3276,1.011451,100000000.0,1.0117
2015-12-17,7845.3954,101347851.9834,101340006.588,1.013479,100000000.0,1.0115
2015-12-18,7845.3954,101408308.667,101400463.2716,1.014083,100000000.0,1.0135
2015-12-21,7845.3954,101826109.7488,101818264.3534,1.018261,100000000.0,1.0141
2015-12-22,7845.3954,101945285.3842,101937439.9888,1.019453,100000000.0,1.0183
2015-12-23,7845.3954,101872555.8684,101864710.473,1.018726,100000000.0,1.0195
2015-12-24,7845.3954,101825043.9358,101817198.5404,1.01825,100000000.0,1.0187
2015-12-25,7845.3954,101857347.9104,101849502.515,1.018573,100000000.0,1.0183
2015-12-28,7845.3954,101710539.0112,101702693.6158,1.017105,100000000.0,1.0186
2015-12-29,7845.3954,101848020.5692,101840175.1738,1.01848,100000000.0,1.0171
2015-12-30,7845.3954,101889901.8966,101882056.5012,1.018899,100000000.0,1.0185
2015-12-31,7845.3954,101757240.9704,101749395.575,1.017572,100000000.0,1.0189
2016-01-04,7845.3954,101000308.1702,100992462.7748,1.010003,100000000.0,1.0176
2016-01-05,9682257.2116,100961843.8572,91279586.6456,1.009618,100000000.0,1.01
2016-01-06,9682257.2116,100978364.9212,91296107.7096,1.009784,100000000.0,1.0096
2016-01-07,9682257.2116,100968098.26,91285841.0484,1.009681,100000000.0,1.0098
2016-01-08,9682257.2116,100982377.1796,91300119.968,1.009824,100000000.0,1.0097
2016-01-11,9682257.2116,101070469.853,91388212.6414,1.010705,100000000.0,1.0098
2016-01-12,9682257.2116,101144047.5916,91461790.38,1.01144,100000000.0,1.0107
2016-01-13,9682257.2116,101208774.7602,91526517.5486,1.012088,100000000.0,1.0114
2016-01-14,9682257.2116,101241167.8464,91558910.6348,1.012412,100000000.0,1.0121
2016-01-15,9682257.2116,101259282.013,91577024.8014,1.012593,100000000.0,1.0124
