date,cash,transaction_cost,market_value,total_value
2014-04-16,1914.8941,15997.1341,99982087.9718,99984002.8659
2014-04-17,1914.8941,0.0,99955804.2433,99957719.1374
2014-04-18,1914.8941,0.0,100132943.2679,100134858.162
2014-04-21,1914.8941,0.0,99143432.0153,99145346.9094
2014-04-22,1914.8941,0.0,99244511.0553,99246425.9494
2014-04-23,24475584.676,8.5318,74522262.9812,98997847.6572
2014-04-24,24475584.676,0.0,74512388.6972,98987973.3732
2014-04-25,24356397.1031,19.067,74402066.4333,98758463.5364
2014-04-28,24161428.6608,31.19,74209263.7868,98370692.4476
2014-04-29,24421181.0435,41.567,74474128.1333,98895309.1768
2014-04-30,24421181.0435,0.0,74414999.5048,98836180.5483
2014-05-05,24489786.7174,10.9787,74592680.728,99082467.4454
2014-05-06,30763497.856,3043.9306,68247845.1694,99011343.0254
2014-05-07,30763497.856,0.0,68248132.526,99011630.382
2014-05-08,30871031.4413,17.2081,68365887.701,99236919.1423
2014-05-09,61999888.0062,0.0,37508293.395,99508181.4012
2014-05-12,61999888.0062,0.0,37521056.835,99520944.8412
2014-05-13,61999888.0062,0.0,37529565.795,99529453.8012
2014-05-14,61999888.0062,0.0,37529033.985,99528921.9912
2014-05-15,61999888.0062,0.0,37528768.08,99528656.0862
2014-05-16,61999888.0062,0.0,37520525.025,99520413.0312
2014-05-19,61999888.0062,0.0,37527970.365,99527858.3712
2014-05-20,61999888.0062,0.0,37533820.275,99533708.2812
2014-05-21,61999888.0062,0.0,37539404.28,99539292.2862
2014-05-22,61999888.0062,0.0,37582480.89,99582368.8962
2014-05-23,61999888.0062,0.0,37539404.28,99539292.2862
2014-05-26,61999888.0062,0.0,37588330.8,99588218.8062
2014-05-27,61999888.0062,0.0,37601891.955,99601779.9612
2014-05-28,61999888.0062,0.0,37607210.055,99607098.0612
2014-05-29,61999888.0062,0.0,37626621.12,99626509.1262
2014-05-30,659.7006,9918.2896,99625503.716,99626163.4166
2014-06-03,659.7006,0.0,99464034.835,99464694.5356
2014-06-04,659.7006,0.0,98779939.969,98780599.6696
2014-06-05,923.0337,4913.3831,99487183.787,99488106.8207
2014-06-06,923.0337,0.0,99074943.6551,99075866.6888
2014-06-09,923.0337,0.0,98205000.7797,98205923.8134
2014-06-10,923.0337,0.0,99500414.9607,99501337.9944
2014-06-11,923.0337,0.0,99741318.5292,99742241.5629
2014-06-12,923.0337,0.0,99615615.414,99616538.4477
2014-06-13,923.0337,0.0,100466334.8884,100467257.9221
2014-06-16,923.0337,0.0,101085467.3335,101086390.3672
2014-06-17,923.0337,0.0,100443078.8087,100444001.8424
2014-06-18,867.2901,3690.75,99975843.7203,99976711.0104
2014-06-19,867.2901,0.0,97373982.9182,97374850.2083
2014-06-20,867.2901,0.0,97992202.7921,97993070.0822
2014-06-23,867.2901,0.0,99147937.198,99148804.4881
2014-06-24,867.2901,0.0,99526021.0059,99526888.296
2014-06-25,867.2901,0.0,99077229.7899,99078097.08
2014-06-26,867.2901,0.0,100270430.3455,100271297.6356
2014-06-27,867.2901,0.0,100688784.2853,100689651.5754
2014-06-30,867.2901,0.0,101496276.7104,101497144.0005
2014-07-01,867.2901,0.0,102233809.3022,102234676.5923
2014-07-02,867.2901,0.0,102514938.49,102515805.7801
2014-07-03,867.2901,0.0,102359278.3023,102360145.5924
2014-07-04,867.2901,0.0,102264939.327,102265806.6171
2014-07-07,867.2901,0.0,101604772.1024,101605639.3925
2014-07-08,867.2901,0.0,102298605.6784,102299472.9685
2014-07-09,653.5702,3224.0959,100654100.6213,100654754.1915
2014-07-10,2378.8002,6857.3694,99666252.701,99668631.5012
2014-07-11,2378.8002,0.0,100107030.015,100109408.8152
2014-07-14,2378.8002,0.0,101420804.947,101423183.7472
2014-07-15,2378.8002,0.0,100865962.298,100868341.0982
2014-07-16,2378.8002,0.0,99800050.577,99802429.3772
2014-07-17,41689706.4994,118.6828,57849152.296,99538858.7954
2014-07-18,41689706.4994,0.0,57815714.568,99505421.0674
