date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2014-04-16,2004.4839,99984002.8803,99981998.3964,0.99984,100000000.0,1.0
2014-04-17,2004.4839,99881081.3013,99879076.8174,0.998811,100000000.0,0.9998
2014-04-18,2004.4839,100035010.9131,100033006.4292,1.00035,100000000.0,0.9988
2014-04-21,2004.4839,98772355.2393,98770350.7554,0.987724,100000000.0,1.0004
2014-04-22,21928363.2461,98955816.4605,77027453.2144,0.989558,100000000.0,0.9877
2014-04-23,21928363.2461,98683115.1337,76754751.8876,0.986831,100000000.0,0.9896
2014-04-24,21928363.2461,98631698.4037,76703335.1576,0.986317,100000000.0,0.9868
2014-04-25,21847396.1607,98199720.9976,76352324.8369,0.981997,100000000.0,0.9863
2014-04-28,43075907.2137,97520575.3351,54444668.1214,0.975206,100000000.0,0.982
2014-04-29,43386195.0795,97987419.6385,54601224.559,0.979874,100000000.0,0.9752
2014-04-30,43386195.0795,97929480.6125,54543285.533,0.979295,100000000.0,0.9799
2014-05-05,43466997.3176,98142089.1331,54675091.8155,0.981421,100000000.0,0.9793
2014-05-06,43408270.2424,98074218.5967,54665948.3543,0.980742,100000000.0,0.9814
2014-05-07,43408270.2424,98075299.7909,54667029.5485,0.980753,100000000.0,0.9807
2014-05-08,43508668.8978,98235252.5218,54726583.624,0.982353,100000000.0,0.9808
2014-05-09,65445094.1961,98428779.1071,32983684.911,0.984288,100000000.0,0.9824
2014-05-12,65445094.1961,98440002.8991,32994908.703,0.9844,100000000.0,0.9843
2014-05-13,65445094.1961,98447485.4271,33002391.231,0.984475,100000000.0,0.9844
2014-05-14,65445094.1961,98447017.7691,33001923.573,0.98447,100000000.0,0.9845
2014-05-15,65445094.1961,98446783.9401,33001689.744,0.984468,100000000.0,0.9845
2014-05-16,65445094.1961,98439535.2411,32994441.045,0.984395,100000000.0,0.9845
2014-05-19,65445094.1961,98446082.4531,33000988.257,0.984461,100000000.0,0.9844
2014-05-20,65445094.1961,98451226.6911,33006132.495,0.984512,100000000.0,0.9845
2014-05-21,65445094.1961,98456137.1001,33011042.904,0.984561,100000000.0,0.9845
2014-05-22,65445094.1961,98494017.3981,33048923.202,0.98494,100000000.0,0.9846
2014-05-23,65445094.1961,98456137.1001,33011042.904,0.984561,100000000.0,0.9849
2014-05-26,65445094.1961,98499161.6361,33054067.44,0.984992,100000000.0,0.9846
2014-05-27,65445094.1961,98511086.9151,33065992.719,0.985111,100000000.0,0.985
2014-05-28,65445094.1961,98515763.4951,33070669.299,0.985158,100000000.0,0.9851
2014-05-29,4603.686,98522364.2086,98517760.5226,0.985224,100000000.0,0.9852
2014-05-30,4603.686,98776594.906,98771991.22,0.987766,100000000.0,0.9852
