date,cash,transaction_cost,market_value,total_value
2014-04-16,6868.6896,15996.3416,99977134.9688,99984003.6584
2014-04-17,27029317.7919,428.2421,72941743.9378,99971061.7297
2014-04-18,670.2052,6554.7755,100124622.5705,100125292.7757
2014-04-21,160.9459,0.0815,98987517.9874,98987678.9333
2014-04-22,14953516.1992,669.3072,84099976.4517,99053492.6509
2014-04-23,45842721.1591,2083.5519,53078217.6684,98920938.8275
2014-04-24,45775201.0073,10.8015,53135648.9862,98910849.9935
2014-04-25,43501584.9022,363.7204,55193240.6691,98694825.5713
2014-04-28,42303073.3098,191.7312,55991923.264,98294996.5738
2014-04-29,43147521.2312,135.1333,55706674.7258,98854195.957
2014-04-30,44488729.4742,214.6277,54292990.8852,98781720.3594
2014-05-05,45295227.2844,129.0603,53720070.249,99015297.5334
2014-05-06,46590352.3083,207.2532,52347735.0725,98938087.3808
2014-05-07,44983200.7177,257.1031,53955272.493,98938473.2107
2014-05-08,46107461.8035,179.9106,53004933.4816,99112395.2851
2014-05-09,69084171.1881,0.0,30229366.877,99313538.0651
2014-05-12,69084171.1881,0.0,30239653.421,99323824.6091
2014-05-13,69084171.1881,0.0,30246511.117,99330682.3051
2014-05-14,69084171.1881,0.0,30246082.511,99330253.6991
2014-05-15,69084171.1881,0.0,30245868.208,99330039.3961
2014-05-16,69084171.1881,0.0,30239224.815,99323396.0031
2014-05-19,69084171.1881,0.0,30245225.299,99329396.4871
2014-05-20,69084171.1881,0.0,30249939.965,99334111.1531
2014-05-21,69084171.1881,0.0,30254440.328,99338611.5161
2014-05-22,69084171.1881,0.0,30289157.414,99373328.6021
2014-05-23,69084171.1881,0.0,30254440.328,99338611.5161
2014-05-26,69084171.1881,0.0,30293872.08,99378043.2681
2014-05-27,69084171.1881,0.0,30304801.533,99388972.7211
2014-05-28,58593262.7963,1678.2768,40798317.708,99391580.5043
2014-05-29,3030.3211,9372.9375,99400235.4097,99403265.7308
2014-05-30,1462.8763,0.2508,99728013.89,99729476.7663
2014-06-03,1462.8763,0.0,99731634.0988,99733096.9751
2014-06-04,1462.8763,0.0,99381584.4556,99383047.3319
2014-06-05,20184182.3125,533.718,80351374.101,100535556.4135
2014-06-06,52.5952,3228.9441,100267312.1171,100267364.7123
2014-06-09,52.5952,0.0,99720949.0467,99721001.6419
2014-06-10,19219833.1882,0.0,81477039.7627,100696872.9509
2014-06-11,19511395.3591,46.6574,81346983.9528,100858379.3119
2014-06-12,17818996.2656,270.7405,82952271.512,100771267.7776
2014-06-13,21306672.9756,558.1176,80043525.4056,101350198.3812
2014-06-16,9948223.1144,3607.5742,91792253.034,101740476.1484
2014-06-17,7475602.7503,395.556,93825589.3092,101301192.0595
2014-06-18,7151497.4817,51.8485,93839107.7432,100990605.2249
2014-06-19,3141.6796,1143.554,99477309.828,99480451.5076
2014-06-20,21563477.0714,313.8621,78300675.526,99864152.5974
2014-06-23,6553353.6017,3249.6037,93909830.822,100463184.4237
2014-06-24,6795233.7397,38.707,94112841.5397,100908075.2794
2014-06-25,6795233.7397,0.0,93630067.3177,100425301.0574
2014-06-26,9433170.4428,422.1374,91654658.464,101087828.9068
2014-06-27,9641478.8428,33.3347,91621773.0791,101263251.9219
2014-06-30,33.9289,2428.4059,101769107.6888,101769141.6177
2014-07-01,201709.793,32.2733,102106825.198,102308534.991
2014-07-02,512827.2183,49.7868,101855852.828,102368680.0463
2014-07-03,2328476.4019,290.5504,100252464.1209,102580940.5228
2014-07-04,2328476.4019,0.0,100086270.577,102414746.9789
2014-07-07,884944.8702,230.9281,101127442.6258,102012387.496
2014-07-08,2476744.189,254.7286,99990281.7124,102467025.9014
2014-07-09,253.2095,396.1752,101681719.5586,101681972.7681
2014-07-10,14754321.6312,0.0,86700501.159,101454822.7902
2014-07-11,15958731.7437,192.7365,85678723.908,101637455.6517
2014-07-14,33122538.5882,0.0,69022105.831,102144644.4192
2014-07-15,32573621.6595,87.8127,69505698.454,102079320.1135
2014-07-16,31474529.1428,175.8267,70457033.588,101931562.7308
2014-07-17,30892331.5811,93.1367,71049759.644,101942091.2251
2014-07-18,14097888.3622,2819.6019,87830513.239,101928401.6012
2014-07-21,13611399.2549,2842.5295,88263477.1374,101874876.3923
2014-07-22,284758.973,3092.8878,102430387.194,102715146.167
2014-07-23,370.3688,45.4949,102808302.8669,102808673.2357
2014-07-24,370.3688,0.0,103634343.032,103634713.4008
2014-07-25,370.3688,0.0,104541717.0867,104542087.4555
2014-07-28,10506705.2592,1681.2826,95676902.5215,106183607.7807
2014-07-29,109.4125,2257.1037,106232869.9235,106232979.336
2014-07-30,2348060.5215,375.7323,103810368.275,106158428.7965
2014-07-31,3004.1855,375.149,106903576.268,106906580.4535
2014-08-01,233.7153,0.4432,106312853.1644,106313086.8797
2014-08-04,233.7153,0.0,107502657.6963,107502891.4116
2014-08-05,1993774.3813,319.0175,105539985.8802,107533760.2615
2014-08-06,1809091.4608,29.5445,106011766.0552,107820857.516
2014-08-07,439.7977,289.338,107061958.1318,107062397.9295
2014-08-08,439.7977,0.0,107233702.3922,107234142.1899
2014-08-11,73149.9497,11.6355,107827839.6335,107900989.5832
2014-08-12,290488.1288,34.7797,107593740.1066,107884228.2354
2014-08-13,81270.0567,33.4695,107895146.2515,107976416.3082
2014-08-14,432.8265,12.9319,107294023.4998,107294456.3263
2014-08-15,735532.4099,117.6348,107075035.1714,107810567.5813
2014-08-18,6169626.4537,869.5942,101960499.0242,108130125.4779
2014-08-19,8695022.2667,2288.0208,99281680.0604,107976702.3271
2014-08-20,7444076.3143,200.1193,100442449.9704,107886526.2847
2014-08-21,7173456.1986,43.2923,100618585.6691,107792041.8677
2014-08-22,6913489.549,41.588,101092084.1583,108005573.7073
2014-08-25,3442885.538,555.2078,104184351.63,107627237.168
2014-08-26,1414.3814,2499.4681,107063619.9449,107065034.3263
2014-08-27,1414.3814,0.0,107230801.746,107232216.1274
2014-08-28,1414.3814,0.0,106852616.517,106854030.8984
2014-08-29,14186245.6292,0.0,93011596.414,107197842.0432
2014-09-01,2831017.7487,2335.7213,104968943.7619,107799961.5106
2014-09-02,5739856.256,465.4886,102572685.08,108312541.336
2014-09-03,7144497.2251,224.7785,101571857.5294,108716354.7545
2014-09-04,9909806.0954,2057.8774,99002272.395,108912078.4904
2014-09-05,9909806.0954,0.0,99077805.916,108987612.0114
2014-09-09,9909806.0954,0.0,99164166.495,109073972.5904
2014-09-10,9909806.0954,0.0,99226738.2695,109136544.3649
2014-09-11,9640454.116,43.0894,99419144.185,109059598.301
2014-09-12,9238621.8162,64.2829,99976458.7614,109215080.5776
2014-09-15,9644459.7967,64.9445,99713297.919,109357757.7157
2014-09-16,1199779.5236,1350.9327,106976359.8368,108176139.3604
2014-09-17,15227604.8619,60.8775,93166016.371,108393621.2329
2014-09-18,3049041.058,2241.7553,105454062.8308,108503103.8888
2014-09-19,4896794.7721,295.6879,103889462.7528,108786257.5249
2014-09-22,892769.7993,4513.0744,107392636.751,108285406.5503
2014-09-23,17969438.397,519.5981,90813177.362,108782615.759
2014-09-24,91.4614,4436.9071,109044974.3146,109045065.776
2014-09-25,91.4614,0.0,108961303.8316,108961395.293
2014-09-26,325973.8844,52.1495,108713823.4661,109039797.3505
2014-09-29,2270299.6145,311.1419,107115314.8116,109385614.4261
2014-09-30,2671962.6491,64.2764,106946813.4204,109618776.0695
2014-10-08,5322912.4632,424.2198,104892486.706,110215399.1692
2014-10-09,5322912.4632,0.0,104768668.7662,110091581.2294
2014-10-10,5217525.38,16.8592,104786561.218,110004086.598
2014-10-13,4824565.2148,62.8636,105160434.954,109985000.1688
2014-10-14,1467384.5012,1851.6217,108424574.91,109891959.4112
2014-10-15,6574813.4288,817.3194,103566560.679,110141374.1078
2014-10-16,5611463.7646,154.1113,104214683.23,109826146.9946
2014-10-17,3887238.9271,1589.2153,105735175.7114,109622414.6385
2014-10-20,13452051.9581,92.6915,96534136.799,109986188.7571
2014-10-21,13032094.6089,67.1824,96799422.1726,109831516.7815
2014-10-22,551670.5647,1996.5484,109000059.3092,109551729.8739
2014-10-23,164.3512,88.2269,109195913.5812,109196077.9324
2014-10-24,164.3512,0.0,109176134.8388,109176299.19
2014-10-27,5558648.1353,673.4894,103621725.963,109180374.0983
2014-10-28,576144.301,2349.6583,109258879.853,109835024.154
2014-10-29,475909.147,16.0351,109779626.568,110255535.715
2014-10-30,543.4302,76.0463,110353051.584,110353595.0142
2014-10-31,543.4302,0.0,110578372.22,110578915.6502
2014-11-03,543.4302,0.0,110719201.402,110719744.8322
2014-11-04,543.4302,0.0,110549593.804,110550137.2342
2014-11-05,6024920.2901,610.4385,104727965.1282,110752885.4183
2014-11-06,19170038.3926,83.3518,91664853.897,110834892.2896
2014-11-07,19170038.3926,0.0,92108317.615,111278356.0076
2014-11-10,20547813.1518,220.4792,91284169.4268,111831982.5786
2014-11-11,19618221.2708,148.7109,92406941.41,112025162.6808
2014-11-12,20666139.3497,167.6937,91962717.8457,112628857.1954
2014-11-13,19068492.1235,255.5827,93378325.3522,112446817.4757
2014-11-14,18819948.4028,39.7606,93516831.924,112336780.3268
2014-11-17,20116473.5796,207.4772,92052694.5265,112169168.1061
2014-11-18,19848535.1413,42.8633,92202606.0972,112051141.2385
2014-11-19,20218150.0255,59.1478,91782027.5656,112000177.5911
2014-11-20,20328686.4954,17.6887,91897488.4946,112226174.99
2014-11-21,2037.0436,3648.4874,112938838.331,112940875.3746
2014-11-24,619786.1002,98.8557,113490458.3768,114110244.477
2014-11-25,3782825.3734,506.1673,110910533.331,114693358.7044
2014-11-26,5109154.0672,212.2466,110221773.0426,115330927.1098
2014-11-27,8710302.4194,576.2759,107305232.4135,116015534.8329
2014-11-28,6520207.8591,350.3591,109388597.8762,115908805.7353
2014-12-01,6020333.4776,79.9671,109948989.4266,115969322.9042
2014-12-02,9423167.4005,544.5406,107756341.9852,117179509.3857
2014-12-03,38.7441,3476.989,118189483.3596,118189522.1037
2014-12-04,2319309.5853,371.1427,116884859.8584,119204169.4437
2014-12-05,699.7266,370.9182,119694362.7135,119695062.4401
2014-12-08,699.7266,0.0,120918037.0376,120918736.7642
2014-12-09,738.9218,959.4067,120234543.584,120235282.5058
2014-12-10,738.9218,0.0,120609393.68,120610132.6018
2014-12-11,738.9218,0.0,119543850.759,119544589.6808
2014-12-12,236890.3491,37.7903,119760270.5104,119997160.8595
2014-12-15,6151897.8177,2652.6672,114383606.6572,120535504.4749
2014-12-16,5506487.3535,103.2492,115804530.539,121311017.8925
2014-12-17,4284524.8366,195.4827,117351752.8056,121636277.6422
2014-12-18,2946480.0378,214.0529,118060077.8183,121006557.8561
2014-12-19,1236.4096,471.1636,120718089.3233,120719325.7329
2014-12-22,1236.4096,0.0,120068198.7041,120069435.1137
2014-12-23,1716.9381,3978.3735,119815103.57,119816820.5081
2014-12-24,1651098.5024,2053.095,117011890.586,118662989.0884
2014-12-25,3245480.1065,255.1419,116307910.791,119553390.8975
2014-12-26,4091400.352,135.3689,117089819.2734,121181219.6254
2014-12-29,4903.3317,653.7349,120773472.253,120778375.5847
2014-12-30,655.6289,0.6795,120954538.3582,120955193.9871
2014-12-31,655.6289,0.0,121353154.1436,121353809.7725
2015-01-05,14756290.4496,1049.3773,107680034.242,122436324.6916
2015-01-06,9740949.2742,2284.4286,112633063.5776,122374012.8518
2015-01-07,8506929.5107,197.4116,114301319.3892,122808248.8999
2015-01-08,7440433.8434,170.612,114658549.8289,122098983.6723
2015-01-09,6315268.8279,179.9976,115564854.725,121880123.5529
2015-01-12,6555551.664,38.4514,114873404.8625,121428956.5265
2015-01-13,10606986.8874,1759.5216,110495178.439,121102165.3264
2015-01-14,9968633.5288,102.1202,111208425.7782,121177059.307
2015-01-15,28564727.7635,463.0116,93171073.7495,121735801.513
2015-01-16,22886260.5056,2359.7694,98813087.112,121699347.6176
2015-01-19,1040.8383,3661.0494,121749290.031,121750330.8693
2015-01-20,10594828.596,259.9391,111771744.163,122366572.759
2015-01-21,6983307.7744,1206.9516,115653520.311,122636828.0854
2015-01-22,9015922.0331,325.2703,113754089.4,122770011.4331
2015-01-23,6052630.2782,474.0508,116435045.125,122487675.4032
2015-01-26,9140051.9367,494.0665,113870469.821,123010521.7577
2015-01-27,9140051.9367,0.0,113926853.745,123066905.6817
2015-01-28,9140051.9367,0.0,113810440.354,122950492.2907
2015-01-29,7458816.044,268.9547,115378424.512,122837240.556
2015-01-30,5208288.0091,360.0269,117360749.04,122569037.0491
2015-02-02,5208288.0091,0.0,117558089.115,122766377.1241
2015-02-03,7147905.5347,310.3885,116029604.431,123177509.9657
2015-02-04,11575897.5535,368.7,111538827.382,123114724.9355
2015-02-05,11575897.5535,0.0,111777418.536,123353316.0895
2015-02-06,9553906.6707,323.4668,113552721.704,123106628.3747
2015-02-09,9553906.6707,0.0,113446769.613,123000676.2837
2015-02-10,11788515.4421,357.5946,111585033.86,123373549.3021
2015-02-11,12157872.2846,59.1066,111516568.239,123674440.5236
2015-02-12,12157872.2846,0.0,111715919.138,123873791.4226
2015-02-13,13254528.5315,175.4931,110958405.354,124212933.8855
2015-02-16,14995726.5492,278.6363,109732530.564,124728257.1132
2015-02-17,14995726.5492,0.0,109774957.999,124770684.5482
2015-02-25,9346193.7016,903.7807,115330062.84,124676256.5416
2015-02-26,11387677.5695,326.6897,113646454.2594,125034131.8289
2015-02-27,11387677.5695,0.0,113743785.6688,125131463.2383
2015-03-02,70.305,2109.8779,125429550.4462,125429620.7512
2015-03-03,70.305,0.0,125096254.049,125096324.354
2015-03-04,70.305,0.0,125296714.981,125296785.286
2015-03-05,4282878.0301,0.0,121038022.977,125320901.0071
2015-03-06,3018063.7012,202.3379,122071980.866,125090044.5672
2015-03-09,3018063.7012,0.0,122267840.092,125285903.7932
2015-03-10,192627.1321,968.2561,125329749.093,125522376.2251
2015-03-11,192627.1321,0.0,125306153.46,125498780.5921
2015-03-12,192627.1321,0.0,125286294.168,125478921.3001
2015-03-13,192627.1321,0.0,125546465.307,125739092.4391
2015-03-16,1430922.5282,198.159,124800498.573,126231421.1012
2015-03-17,1817933.1396,61.9316,124530938.343,126348871.4826
2015-03-18,3936833.8632,339.0784,122603879.909,126540713.7722
2015-03-19,3936833.8632,0.0,122692905.494,126629739.3572
2015-03-20,3936833.8632,0.0,122849511.689,126786345.5522
2015-03-23,7928722.9337,0.0,119241285.694,127170008.6277
2015-03-24,7928722.9337,0.0,119395882.573,127324605.5067
2015-03-25,8271941.515,54.9238,119104605.629,127376547.144
