datetime,datetime,trading_datetime,order_book_id,symbol,side,position_effect,exec_id,tax,commission,last_quantity,last_price,order_id,transaction_cost
2014-04-16 15:00:00,2014-04-16 15:00:00,2014-04-16 15:00:00,399975.XSHE,证券公司,BUY,OPEN,16582883420000,0,2663.966386176,32064,519.2674,16582883420007,2663.966386176
2014-04-16 15:00:00,2014-04-16 15:00:00,2014-04-16 15:00:00,000819.XSHG,有色金属,BUY,OPEN,16582883420001,0,2663.69855584,5273,3157.238,16582883420010,2663.69855584
2014-04-16 15:00:00,2014-04-16 15:00:00,2014-04-16 15:00:00,399932.XSHE,800消费,BUY,OPEN,16582883420002,0,2663.998728960001,3044,5469.774,16582883420012,2663.998728960001
2014-04-16 15:00:00,2014-04-16 15:00:00,2014-04-16 15:00:00,000012.XSHG,国债指数,BUY,OPEN,16582883420003,0,8005.301000640002,355647,140.682,16582883420071,8005.301000640002
2014-04-17 15:00:00,2014-04-17 15:00:00,2014-04-17 15:00:00,399932.XSHE,800消费,SELL,CLOSE,16582883420004,0,2666.2659001600005,3044,5474.429,16582883420072,2666.2659001600005
2014-04-21 15:00:00,2014-04-21 15:00:00,2014-04-21 15:00:00,399975.XSHE,证券公司,BUY,OPEN,16582883420005,0,16.212224336000002,199,509.1779,16582883420074,16.212224336000002
2014-04-22 15:00:00,2014-04-22 15:00:00,2014-04-22 15:00:00,000819.XSHG,有色金属,SELL,CLOSE,16582883420006,0,2612.14042736,5273,3096.127,16582883420075,2612.14042736
2014-04-22 15:00:00,2014-04-22 15:00:00,2014-04-22 15:00:00,399975.XSHE,证券公司,SELL,CLOSE,16582883420007,0,12.815160384000002,156,513.4279,16582883420076,12.815160384000002
2014-04-23 15:00:00,2014-04-23 15:00:00,2014-04-23 15:00:00,399975.XSHE,证券公司,BUY,OPEN,16582883420008,0,18.932483968,233,507.8456,16582883420078,18.932483968
2014-04-25 15:00:00,2014-04-25 15:00:00,2014-04-25 15:00:00,000012.XSHG,国债指数,SELL,CLOSE,16582883420009,0,1652.2319539199998,73384,140.718,16582883420079,1652.2319539199998
