date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2014-04-16,934.209,99984002.709,99983068.5,0.99984,100000000.0,1.0
2014-04-17,934.209,99769945.845,99769011.636,0.997699,100000000.0,0.9998
2014-04-18,934.209,99739866.832,99738932.623,0.997399,100000000.0,0.9977
2014-04-21,934.209,98897643.637,98896709.428,0.988976,100000000.0,0.9974
2014-04-22,934.209,99274641.286,99273707.077,0.992746,100000000.0,0.989
2014-04-23,934.209,99270827.667,99269893.458,0.992708,100000000.0,0.9927
2014-04-24,934.209,99249144.597,99248210.388,0.992491,100000000.0,0.9927
2014-04-25,789.3279,98798507.5659,98797718.238,0.987985,100000000.0,0.9925
2014-04-28,789.3279,98125054.5409,98124265.213,0.981251,100000000.0,0.988
2014-04-29,789.3279,98746873.1909,98746083.863,0.987469,100000000.0,0.9813
2014-04-30,789.3279,98756506.6169,98755717.289,0.987565,100000000.0,0.9875
2014-05-05,789.3279,98575710.5879,98574921.26,0.985757,100000000.0,0.9876
2014-05-06,58942172.8134,98590128.3324,39647955.519,0.985901,100000000.0,0.9858
2014-05-07,58942172.8134,98595472.2154,39653299.402,0.985955,100000000.0,0.9859
2014-05-08,58942172.8134,98601659.8694,39659487.056,0.986017,100000000.0,0.986
2014-05-09,58942172.8134,98616003.9764,39673831.163,0.98616,100000000.0,0.986
2014-05-12,58942172.8134,98629504.3124,39687331.499,0.986295,100000000.0,0.9862
2014-05-13,58942172.8134,98638504.5364,39696331.723,0.986385,100000000.0,0.9863
2014-05-14,58942172.8134,98637942.0224,39695769.209,0.986379,100000000.0,0.9864
2014-05-15,58942172.8134,98637660.7654,39695487.952,0.986377,100000000.0,0.9864
2014-05-16,58942172.8134,98628941.7984,39686768.985,0.986289,100000000.0,0.9864
2014-05-19,58942172.8134,98636816.9944,39694644.181,0.986368,100000000.0,0.9863
2014-05-20,58942172.8134,98643004.6484,39700831.835,0.98643,100000000.0,0.9864
2014-05-21,58942172.8134,98648911.0454,39706738.232,0.986489,100000000.0,0.9864
2014-05-22,58942172.8134,98694474.6794,39752301.866,0.986945,100000000.0,0.9865
2014-05-23,58942172.8134,98648911.0454,39706738.232,0.986489,100000000.0,0.9869
2014-05-26,58942172.8134,98700662.3334,39758489.52,0.987007,100000000.0,0.9865
2014-05-27,58942172.8134,98715006.4404,39772833.627,0.98715,100000000.0,0.987
2014-05-28,613.0495,98711202.4395,98710589.39,0.987112,100000000.0,0.9872
2014-05-29,613.0495,97642016.3335,97641403.284,0.97642,100000000.0,0.9871
2014-05-30,613.0495,97824452.4805,97823839.431,0.978245,100000000.0,0.9764
2014-06-03,613.0495,97919353.4255,97918740.376,0.979194,100000000.0,0.9782
2014-06-04,613.0495,98004441.2095,98003828.16,0.980044,100000000.0,0.9792
2014-06-05,613.0495,99491058.6555,99490445.606,0.994911,100000000.0,0.98
2014-06-06,613.0495,99271421.9995,99270808.95,0.992714,100000000.0,0.9949
2014-06-09,613.0495,98228238.7905,98227625.741,0.982282,100000000.0,0.9927
2014-06-10,613.0495,99463186.0335,99462572.984,0.994632,100000000.0,0.9823
2014-06-11,613.0495,100070203.8055,100069590.756,1.000702,100000000.0,0.9946
2014-06-12,613.0495,99901443.9155,99900830.866,0.999014,100000000.0,1.0007
2014-06-13,59.6962,100739911.5952,100739851.899,1.007399,100000000.0,0.999
2014-06-16,59.6962,101228868.1462,101228808.45,1.012289,100000000.0,1.0074
2014-06-17,59.6962,100581441.9922,100581382.296,1.005814,100000000.0,1.0123
2014-06-18,59.6962,100058900.6302,100058840.934,1.000589,100000000.0,1.0058
2014-06-19,59.6962,98503476.3892,98503416.693,0.985035,100000000.0,1.0006
2014-06-20,59.6962,98997666.0922,98997606.396,0.989977,100000000.0,0.985
2014-06-23,59.6962,99986335.8262,99986276.13,0.999863,100000000.0,0.99
2014-06-24,59.6962,100308976.0252,100308916.329,1.00309,100000000.0,0.9999
2014-06-25,59.6962,99931792.1422,99931732.446,0.999318,100000000.0,1.0031
2014-06-26,59.6962,100927542.9892,100927483.293,1.009275,100000000.0,0.9993
2014-06-27,59.6962,101021190.8032,101021131.107,1.010212,100000000.0,1.0093
2014-06-30,59.6962,101611041.5212,101610981.825,1.01611,100000000.0,1.0102
2014-07-01,59.6962,101872714.1062,101872654.41,1.018727,100000000.0,1.0161
2014-07-02,59.6962,102178797.7612,102178738.065,1.021788,100000000.0,1.0187
2014-07-03,59.6962,102278370.7672,102278311.071,1.022784,100000000.0,1.0218
2014-07-04,59.6962,101868088.8172,101868029.121,1.018681,100000000.0,1.0228
2014-07-07,59.6962,101244145.1902,101244085.494,1.012441,100000000.0,1.0187
2014-07-08,59.6962,101863854.6592,101863794.963,1.018639,100000000.0,1.0124
2014-07-09,59.6962,100919227.0642,100919167.368,1.009192,100000000.0,1.0186
2014-07-10,59.6962,100166577.3562,100166517.66,1.001666,100000000.0,1.0092
2014-07-11,59.6962,100013996.7622,100013937.066,1.00014,100000000.0,1.0017
2014-07-14,49588056.877,100300334.836,50712277.959,1.003003,100000000.0,1.0001
2014-07-15,49588056.877,100307824.465,50719767.588,1.003078,100000000.0,1.003
2014-07-16,49588056.877,100288565.419,50700508.542,1.002886,100000000.0,1.0031
2014-07-17,49588056.877,100267879.777,50679822.9,1.002679,100000000.0,1.0029
2014-07-18,49588056.877,100271446.267,50683389.39,1.002714,100000000.0,1.0027
2014-07-21,49588056.877,100288922.068,50700865.191,1.002889,100000000.0,1.0027
2014-07-22,1985.0797,100290619.0887,100288634.009,1.002906,100000000.0,1.0029
2014-07-23,1985.0797,100628751.7487,100626766.669,1.006288,100000000.0,1.0029
2014-07-24,1985.0797,101745850.6017,101743865.522,1.017459,100000000.0,1.0063
2014-07-25,1985.0797,102230327.9657,102228342.886,1.022303,100000000.0,1.0175
2014-07-28,1985.0797,103881646.4387,103879661.359,1.038816,100000000.0,1.0223
2014-07-29,55.2917,103983764.7757,103983709.484,1.039838,100000000.0,1.0388
2014-07-30,55.2917,103734206.4957,103734151.204,1.037342,100000000.0,1.0398
2014-07-31,55.2917,104291228.1847,104291172.893,1.042912,100000000.0,1.0373
2014-08-01,55.2917,103940733.8717,103940678.58,1.039407,100000000.0,1.0429
2014-08-04,55.2917,104882483.3777,104882428.086,1.048825,100000000.0,1.0394
2014-08-05,55.2917,104647041.9687,104646986.677,1.04647,100000000.0,1.0488
2014-08-06,55.2917,104380708.7337,104380653.442,1.043807,100000000.0,1.0465
2014-08-07,55.2917,103721965.1987,103721909.907,1.03722,100000000.0,1.0438
2014-08-08,55.2917,103774240.6397,103774185.348,1.037742,100000000.0,1.0372
2014-08-11,55.2917,104408294.4447,104408239.153,1.044083,100000000.0,1.0377
2014-08-12,55.2917,104128653.2947,104128598.003,1.041287,100000000.0,1.0441
2014-08-13,55.2917,104181780.0697,104181724.778,1.041818,100000000.0,1.0413
2014-08-14,55.2917,103810963.9577,103810908.666,1.03811,100000000.0,1.0418
2014-08-15,55.2917,104194833.8827,104194778.591,1.041948,100000000.0,1.0381
2014-08-18,55.2917,104317224.8227,104317169.531,1.043172,100000000.0,1.0419
2014-08-19,316.3481,104218565.3511,104218249.003,1.042186,100000000.0,1.0432
2014-08-20,316.3481,103965019.7751,103964703.427,1.03965,100000000.0,1.0422
2014-08-21,316.3481,104580975.7511,104580659.403,1.04581,100000000.0,1.0397
2014-08-22,316.3481,105003417.2341,105003100.886,1.050034,100000000.0,1.0458
2014-08-25,316.3481,104502673.0761,104502356.728,1.045027,100000000.0,1.05
2014-08-26,316.3481,103538302.3831,103537986.035,1.035383,100000000.0,1.045
2014-08-27,316.3481,103811363.6131,103811047.265,1.038114,100000000.0,1.0354
2014-08-28,316.3481,103324114.5531,103323798.205,1.033241,100000000.0,1.0381
2014-08-29,316.3481,103922360.5451,103922044.197,1.039224,100000000.0,1.0332
2014-09-01,316.3481,104790169.6371,104789853.289,1.047902,100000000.0,1.0392
2014-09-02,316.3481,105161965.7371,105161649.389,1.05162,100000000.0,1.0479
2014-09-03,316.3481,105531310.5971,105530994.249,1.055313,100000000.0,1.0516
2014-09-04,316.3481,106063323.5521,106063007.204,1.060633,100000000.0,1.0553
2014-09-05,84.8194,105914087.0304,105914002.211,1.059141,100000000.0,1.0606
2014-09-09,84.8194,106038430.9204,106038346.101,1.060384,100000000.0,1.0591
2014-09-10,84.8194,106284129.6374,106284044.818,1.062841,100000000.0,1.0604
2014-09-11,84.8194,106477499.3714,106477414.552,1.064775,100000000.0,1.0628
2014-09-12,84.8194,106729894.1864,106729809.367,1.067299,100000000.0,1.0648
2014-09-15,84.8194,106796478.1144,106796393.295,1.067965,100000000.0,1.0673
2014-09-16,84.8194,105638536.2774,105638451.458,1.056385,100000000.0,1.068
2014-09-17,84.8194,105780997.0994,105780912.28,1.05781,100000000.0,1.0564
2014-09-18,84.8194,106033104.5904,106033019.771,1.060331,100000000.0,1.0578
2014-09-19,84.8194,106273034.6274,106272949.808,1.06273,100000000.0,1.0603
2014-09-22,84.8194,105975358.3284,105975273.509,1.059754,100000000.0,1.0627
2014-09-23,84.8194,106394980.2814,106394895.462,1.06395,100000000.0,1.0598
2014-09-24,84.8194,106757265.0764,106757180.257,1.067573,100000000.0,1.0639
2014-09-25,84.8194,106554537.5594,106554452.74,1.065545,100000000.0,1.0676
2014-09-26,84.8194,106636066.4964,106635981.677,1.066361,100000000.0,1.0655
2014-09-29,84.8194,107014600.3264,107014515.507,1.070146,100000000.0,1.0664
2014-09-30,84.8194,107392025.3954,107391940.576,1.07392,100000000.0,1.0701
2014-10-08,84.8194,107825924.2074,107825839.388,1.078259,100000000.0,1.0739
2014-10-09,84.8194,107917431.3274,107917346.508,1.079174,100000000.0,1.0783
2014-10-10,84.8194,107786298.5404,107786213.721,1.077863,100000000.0,1.0792
2014-10-13,84.8194,107678137.0184,107678052.199,1.076781,100000000.0,1.0779
2014-10-14,84.8194,107505074.4964,107504989.677,1.075051,100000000.0,1.0768
2014-10-15,84.8194,107671215.1944,107671130.375,1.076712,100000000.0,1.0751
2014-10-16,84.8194,107281677.5254,107281592.706,1.072817,100000000.0,1.0767
2014-10-17,84.8194,106882279.3094,106882194.49,1.068823,100000000.0,1.0728
2014-10-20,33972110.1655,107419566.3675,73447456.202,1.074196,100000000.0,1.0688
2014-10-21,853.645,107425860.502,107425006.857,1.074259,100000000.0,1.0742
2014-10-22,853.645,107138975.639,107138121.994,1.07139,100000000.0,1.0743
2014-10-23,853.645,106543563.504,106542709.859,1.065436,100000000.0,1.0714
2014-10-24,33068414.1927,106558705.5227,73490291.33,1.065587,100000000.0,1.0654
2014-10-27,33068414.1927,106710158.2967,73641744.104,1.067102,100000000.0,1.0656
2014-10-28,1110.7265,106701298.7805,106700188.054,1.067013,100000000.0,1.0671
2014-10-29,1110.7265,106869650.5805,106868539.854,1.068697,100000000.0,1.067
2014-10-30,1110.7265,106790155.0825,106789044.356,1.067902,100000000.0,1.0687
2014-10-31,1110.7265,106551266.3705,106550155.644,1.065513,100000000.0,1.0679
2014-11-03,997.8932,106936438.0192,106935440.126,1.069364,100000000.0,1.0655
2014-11-04,997.8932,106937484.9152,106936487.022,1.069375,100000000.0,1.0694
2014-11-05,997.8932,106793322.1332,106792324.24,1.067933,100000000.0,1.0694
2014-11-06,997.8932,106774422.6092,106773424.716,1.067744,100000000.0,1.0679
2014-11-07,997.8932,106861192.0512,106860194.158,1.068612,100000000.0,1.0677
2014-11-10,997.8932,107837393.9912,107836396.098,1.078374,100000000.0,1.0686
2014-11-11,997.8932,108134959.8532,108133961.96,1.08135,100000000.0,1.0784
2014-11-12,997.8932,108569141.3412,108568143.448,1.085691,100000000.0,1.0813
2014-11-13,997.8932,108425945.6812,108424947.788,1.084259,100000000.0,1.0857
2014-11-14,997.8932,108511622.4112,108510624.518,1.085116,100000000.0,1.0843
2014-11-17,997.8932,108128522.6332,108127524.74,1.081285,100000000.0,1.0851
2014-11-18,997.8932,107607446.7212,107606448.828,1.076074,100000000.0,1.0813
2014-11-19,997.8932,107472481.0092,107471483.116,1.074725,100000000.0,1.0761
2014-11-20,997.8932,107541837.8972,107540840.004,1.075418,100000000.0,1.0747
2014-11-21,997.8932,108221198.9692,108220201.076,1.082212,100000000.0,1.0754
2014-11-24,997.8932,109118675.1092,109117677.216,1.091187,100000000.0,1.0822
2014-11-25,997.8932,109578322.3452,109577324.452,1.095783,100000000.0,1.0912
2014-11-26,125.7951,110290049.3751,110289923.58,1.1029,100000000.0,1.0958
2014-11-27,125.7951,110647104.5601,110646978.765,1.106471,100000000.0,1.1029
2014-11-28,125.7951,111387581.1051,111387455.31,1.113876,100000000.0,1.1065
2014-12-01,125.7951,111534816.1701,111534690.375,1.115348,100000000.0,1.1139
2014-12-02,125.7951,112690664.4201,112690538.625,1.126907,100000000.0,1.1153
2014-12-03,125.7951,113012346.0951,113012220.3,1.130123,100000000.0,1.1269
2014-12-04,125.7951,114465730.6101,114465604.815,1.144657,100000000.0,1.1301
2014-12-05,125.7951,114864299.0151,114864173.22,1.148643,100000000.0,1.1447
2014-12-08,125.7951,116263391.2401,116263265.445,1.162634,100000000.0,1.1486
2014-12-09,125.7951,114849726.4701,114849600.675,1.148497,100000000.0,1.1626
2014-12-10,125.7951,115831307.9601,115831182.165,1.158313,100000000.0,1.1485
2014-12-11,125.7951,115248870.2001,115248744.405,1.152489,100000000.0,1.1583
2014-12-12,125.7951,115230717.2001,115230591.405,1.152307,100000000.0,1.1525
2014-12-15,125.7951,115418961.0351,115418835.24,1.15419,100000000.0,1.1523
2014-12-16,125.7951,116461128.6951,116461002.9,1.164611,100000000.0,1.1542
2014-12-17,125.7951,117400202.6751,117400076.88,1.174002,100000000.0,1.1646
2014-12-18,125.7951,117306466.5351,117306340.74,1.173065,100000000.0,1.174
2014-12-19,125.7951,117739830.0351,117739704.24,1.177398,100000000.0,1.1731
2014-12-22,125.7951,118186617.5001,118186491.705,1.181866,100000000.0,1.1774
2014-12-23,125.7951,117570509.8701,117570384.075,1.175705,100000000.0,1.1819
2014-12-24,125.7951,116386167.6501,116386041.855,1.163862,100000000.0,1.1757
2014-12-25,125.7951,117575056.7301,117574930.935,1.175751,100000000.0,1.1639
2014-12-26,125.7951,118794024.4551,118793898.66,1.18794,100000000.0,1.1758
2014-12-29,125.7951,119066375.3901,119066249.595,1.190664,100000000.0,1.1879
2014-12-30,125.7951,119404976.9151,119404851.12,1.19405,100000000.0,1.1907
2014-12-31,125.7951,120143379.6351,120143253.84,1.201434,100000000.0,1.194
2015-01-05,125.7951,121310773.0701,121310647.275,1.213108,100000000.0,1.2014
2015-01-06,125.7951,121153392.0651,121153266.27,1.211534,100000000.0,1.2131
2015-01-07,125.7951,121199388.0351,121199262.24,1.211994,100000000.0,1.2115
2015-01-08,125.7951,120246407.0301,120246281.235,1.202464,100000000.0,1.212
2015-01-09,125.7951,120356024.6451,120355898.85,1.20356,100000000.0,1.2025
2015-01-12,125.7951,120048224.9301,120048099.135,1.200482,100000000.0,1.2036
2015-01-13,125.7951,119954166.3501,119954040.555,1.199542,100000000.0,1.2005
2015-01-14,125.7951,119943964.0101,119943838.215,1.19944,100000000.0,1.1995
2015-01-15,125.7951,121218047.1501,121217921.355,1.21218,100000000.0,1.1994
2015-01-16,125.7951,121479018.9951,121478893.2,1.21479,100000000.0,1.2122
2015-01-19,125.7951,118501512.3201,118501386.525,1.185015,100000000.0,1.2148
2015-01-20,125.7951,118664908.9701,118664783.175,1.186649,100000000.0,1.185
2015-01-21,329.6422,120295444.0502,120295114.408,1.202954,100000000.0,1.1866
2015-01-22,329.6422,120696145.4582,120695815.816,1.206961,100000000.0,1.203
2015-01-23,329.6422,119782827.1862,119782497.544,1.197828,100000000.0,1.207
2015-01-26,27.6035,120654583.2035,120654555.6,1.206546,100000000.0,1.1978
2015-01-27,27.6035,120745810.3375,120745782.734,1.207458,100000000.0,1.2065
2015-01-28,27.6035,120593120.2815,120593092.678,1.205931,100000000.0,1.2075
2015-01-29,27.6035,120374175.7515,120374148.148,1.203742,100000000.0,1.2059
2015-01-30,27.6035,119925165.8355,119925138.232,1.199252,100000000.0,1.2037
2015-02-02,27.6035,120244050.5435,120244022.94,1.202441,100000000.0,1.1993
2015-02-03,27.6035,120927698.3015,120927670.698,1.209277,100000000.0,1.2024
2015-02-04,27.6035,121046518.7135,121046491.11,1.210465,100000000.0,1.2093
2015-02-05,27.6035,121282169.0755,121282141.472,1.212822,100000000.0,1.2105
2015-02-06,27.6035,120770184.4275,120770156.824,1.207702,100000000.0,1.2128
2015-02-09,27.6035,120535711.9275,120535684.324,1.205357,100000000.0,1.2077
2015-02-10,27.6035,121020361.5955,121020333.992,1.210204,100000000.0,1.2054
2015-02-11,27.6035,121347239.1595,121347211.556,1.213472,100000000.0,1.2102
2015-02-12,27.6035,121659901.4935,121659873.89,1.216599,100000000.0,1.2135
2015-02-13,27.6035,122207265.3515,122207237.748,1.222073,100000000.0,1.2166
2015-02-16,27.6035,123109619.3675,123109591.764,1.231096,100000000.0,1.2221
2015-02-17,27.6035,123095161.9895,123095134.386,1.230952,100000000.0,1.2311
2015-02-25,27.6035,122988648.9655,122988621.362,1.229886,100000000.0,1.231
2015-02-26,27.6035,123049164.0695,123049136.466,1.230492,100000000.0,1.2299
2015-02-27,27.6035,123605551.7995,123605524.196,1.236056,100000000.0,1.2305
2015-03-02,27.6035,124385083.3655,124385055.762,1.243851,100000000.0,1.2361
2015-03-03,27.6035,124080972.7455,124080945.142,1.24081,100000000.0,1.2439
2015-03-04,27.6035,124694036.0275,124694008.424,1.24694,100000000.0,1.2408
