date,cash,transaction_cost,market_value,total_value
2014-04-16,934.209,15997.291,99983068.5,99984002.709
2014-04-17,934.209,0.0,99769011.636,99769945.845
2014-04-18,934.209,0.0,99738932.623,99739866.832
2014-04-21,934.209,0.0,98896709.428,98897643.637
2014-04-22,934.209,0.0,99273707.077,99274641.286
2014-04-23,934.209,0.0,99269893.458,99270827.667
2014-04-24,934.209,0.0,99248210.388,99249144.597
2014-04-25,789.3279,3349.2511,98797718.238,98798507.5659
2014-04-28,789.3279,0.0,98124265.213,98125054.5409
2014-04-29,789.3279,0.0,98746083.863,98746873.1909
2014-04-30,789.3279,0.0,98755717.289,98756506.6169
2014-05-05,789.3279,0.0,98574921.26,98575710.5879
2014-05-06,58942172.8134,0.0,39647955.519,98590128.3324
2014-05-07,58942172.8134,0.0,39653299.402,98595472.2154
2014-05-08,58942172.8134,0.0,39659487.056,98601659.8694
2014-05-09,58942172.8134,0.0,39673831.163,98616003.9764
2014-05-12,58942172.8134,0.0,39687331.499,98629504.3124
2014-05-13,58942172.8134,0.0,39696331.723,98638504.5364
2014-05-14,58942172.8134,0.0,39695769.209,98637942.0224
2014-05-15,58942172.8134,0.0,39695487.952,98637660.7654
2014-05-16,58942172.8134,0.0,39686768.985,98628941.7984
2014-05-19,58942172.8134,0.0,39694644.181,98636816.9944
2014-05-20,58942172.8134,0.0,39700831.835,98643004.6484
2014-05-21,58942172.8134,0.0,39706738.232,98648911.0454
2014-05-22,58942172.8134,0.0,39752301.866,98694474.6794
2014-05-23,58942172.8134,0.0,39706738.232,98648911.0454
2014-05-26,58942172.8134,0.0,39758489.52,98700662.3334
2014-05-27,58942172.8134,0.0,39772833.627,98715006.4404
2014-05-28,613.0495,9429.1409,98710589.39,98711202.4395
2014-05-29,613.0495,0.0,97641403.284,97642016.3335
2014-05-30,613.0495,0.0,97823839.431,97824452.4805
2014-06-03,613.0495,0.0,97918740.376,97919353.4255
2014-06-04,613.0495,0.0,98003828.16,98004441.2095
2014-06-05,613.0495,0.0,99490445.606,99491058.6555
2014-06-06,613.0495,0.0,99270808.95,99271421.9995
2014-06-09,613.0495,0.0,98227625.741,98228238.7905
2014-06-10,613.0495,0.0,99462572.984,99463186.0335
2014-06-11,613.0495,0.0,100069590.756,100070203.8055
2014-06-12,613.0495,0.0,99900830.866,99901443.9155
2014-06-13,59.6962,3421.6393,100739851.899,100739911.5952
2014-06-16,59.6962,0.0,101228808.45,101228868.1462
2014-06-17,59.6962,0.0,100581382.296,100581441.9922
2014-06-18,59.6962,0.0,100058840.934,100058900.6302
2014-06-19,59.6962,0.0,98503416.693,98503476.3892
2014-06-20,59.6962,0.0,98997606.396,98997666.0922
2014-06-23,59.6962,0.0,99986276.13,99986335.8262
2014-06-24,59.6962,0.0,100308916.329,100308976.0252
2014-06-25,59.6962,0.0,99931732.446,99931792.1422
2014-06-26,59.6962,0.0,100927483.293,100927542.9892
2014-06-27,59.6962,0.0,101021131.107,101021190.8032
2014-06-30,59.6962,0.0,101610981.825,101611041.5212
2014-07-01,59.6962,0.0,101872654.41,101872714.1062
2014-07-02,59.6962,0.0,102178738.065,102178797.7612
2014-07-03,59.6962,0.0,102278311.071,102278370.7672
2014-07-04,59.6962,0.0,101868029.121,101868088.8172
2014-07-07,59.6962,0.0,101244085.494,101244145.1902
2014-07-08,59.6962,0.0,101863794.963,101863854.6592
2014-07-09,59.6962,0.0,100919167.368,100919227.0642
2014-07-10,59.6962,0.0,100166517.66,100166577.3562
2014-07-11,59.6962,0.0,100013937.066,100013996.7622
2014-07-14,49588056.877,0.0,50712277.959,100300334.836
2014-07-15,49588056.877,0.0,50719767.588,100307824.465
2014-07-16,49588056.877,0.0,50700508.542,100288565.419
2014-07-17,49588056.877,0.0,50679822.9,100267879.777
2014-07-18,49588056.877,0.0,50683389.39,100271446.267
2014-07-21,49588056.877,0.0,50700865.191,100288922.068
2014-07-22,1985.0797,7932.5023,100288634.009,100290619.0887
2014-07-23,1985.0797,0.0,100626766.669,100628751.7487
2014-07-24,1985.0797,0.0,101743865.522,101745850.6017
2014-07-25,1985.0797,0.0,102228342.886,102230327.9657
2014-07-28,1985.0797,0.0,103879661.359,103881646.4387
2014-07-29,55.2917,3570.3359,103983709.484,103983764.7757
2014-07-30,55.2917,0.0,103734151.204,103734206.4957
2014-07-31,55.2917,0.0,104291172.893,104291228.1847
2014-08-01,55.2917,0.0,103940678.58,103940733.8717
2014-08-04,55.2917,0.0,104882428.086,104882483.3777
2014-08-05,55.2917,0.0,104646986.677,104647041.9687
2014-08-06,55.2917,0.0,104380653.442,104380708.7337
2014-08-07,55.2917,0.0,103721909.907,103721965.1987
2014-08-08,55.2917,0.0,103774185.348,103774240.6397
2014-08-11,55.2917,0.0,104408239.153,104408294.4447
2014-08-12,55.2917,0.0,104128598.003,104128653.2947
2014-08-13,55.2917,0.0,104181724.778,104181780.0697
2014-08-14,55.2917,0.0,103810908.666,103810963.9577
2014-08-15,55.2917,0.0,104194778.591,104194833.8827
2014-08-18,55.2917,0.0,104317169.531,104317224.8227
2014-08-19,316.3481,6747.1542,104218249.003,104218565.3511
2014-08-20,316.3481,0.0,103964703.427,103965019.7751
2014-08-21,316.3481,0.0,104580659.403,104580975.7511
2014-08-22,316.3481,0.0,105003100.886,105003417.2341
2014-08-25,316.3481,0.0,104502356.728,104502673.0761
2014-08-26,316.3481,0.0,103537986.035,103538302.3831
2014-08-27,316.3481,0.0,103811047.265,103811363.6131
2014-08-28,316.3481,0.0,103323798.205,103324114.5531
2014-08-29,316.3481,0.0,103922044.197,103922360.5451
2014-09-01,316.3481,0.0,104789853.289,104790169.6371
2014-09-02,316.3481,0.0,105161649.389,105161965.7371
2014-09-03,316.3481,0.0,105530994.249,105531310.5971
2014-09-04,316.3481,0.0,106063007.204,106063323.5521
2014-09-05,84.8194,3424.9177,105914002.211,105914087.0304
2014-09-09,84.8194,0.0,106038346.101,106038430.9204
2014-09-10,84.8194,0.0,106284044.818,106284129.6374
2014-09-11,84.8194,0.0,106477414.552,106477499.3714
2014-09-12,84.8194,0.0,106729809.367,106729894.1864
2014-09-15,84.8194,0.0,106796393.295,106796478.1144
2014-09-16,84.8194,0.0,105638451.458,105638536.2774
2014-09-17,84.8194,0.0,105780912.28,105780997.0994
2014-09-18,84.8194,0.0,106033019.771,106033104.5904
2014-09-19,84.8194,0.0,106272949.808,106273034.6274
2014-09-22,84.8194,0.0,105975273.509,105975358.3284
2014-09-23,84.8194,0.0,106394895.462,106394980.2814
2014-09-24,84.8194,0.0,106757180.257,106757265.0764
2014-09-25,84.8194,0.0,106554452.74,106554537.5594
2014-09-26,84.8194,0.0,106635981.677,106636066.4964
2014-09-29,84.8194,0.0,107014515.507,107014600.3264
2014-09-30,84.8194,0.0,107391940.576,107392025.3954
2014-10-08,84.8194,0.0,107825839.388,107825924.2074
2014-10-09,84.8194,0.0,107917346.508,107917431.3274
2014-10-10,84.8194,0.0,107786213.721,107786298.5404
2014-10-13,84.8194,0.0,107678052.199,107678137.0184
2014-10-14,84.8194,0.0,107504989.677,107505074.4964
2014-10-15,84.8194,0.0,107671130.375,107671215.1944
2014-10-16,84.8194,0.0,107281592.706,107281677.5254
2014-10-17,84.8194,0.0,106882194.49,106882279.3094
2014-10-20,33972110.1655,0.0,73447456.202,107419566.3675
2014-10-21,853.645,5434.5315,107425006.857,107425860.502
2014-10-22,853.645,0.0,107138121.994,107138975.639
2014-10-23,853.645,0.0,106542709.859,106543563.504
2014-10-24,33068414.1927,0.0,73490291.33,106558705.5227
