date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2014-04-16,2971.798,99984003.035,99981031.237,0.99984,100000000.0,1.0
2014-04-17,2971.798,99936048.7405,99933076.9425,0.99936,100000000.0,0.9998
2014-04-18,2971.798,100195715.1555,100192743.3575,1.001957,100000000.0,0.9994
2014-04-21,2971.798,98695819.0975,98692847.2995,0.986958,100000000.0,1.002
2014-04-22,2971.798,98850989.0675,98848017.2695,0.98851,100000000.0,0.987
2014-04-23,36713222.5074,98494825.9942,61781603.4868,0.984948,100000000.0,0.9885
2014-04-24,36713222.5074,98477527.0937,61764304.5863,0.984775,100000000.0,0.9849
2014-04-25,2572.3392,98122210.5151,98119638.1759,0.981222,100000000.0,0.9848
2014-04-28,598.695,96350366.3334,96349767.6384,0.963504,100000000.0,0.9812
2014-04-29,49040306.0699,98089302.705,49048996.6351,0.980893,100000000.0,0.9635
2014-04-30,48961712.2097,97923395.1235,48961682.9138,0.979234,100000000.0,0.9809
2014-05-05,43983132.5938,98362663.4293,54379530.8355,0.983627,100000000.0,0.9792
2014-05-06,43893523.1773,98188968.9539,54295445.7766,0.98189,100000000.0,0.9836
2014-05-07,43893523.1773,98183572.5863,54290049.409,0.981836,100000000.0,0.9819
2014-05-08,44046414.5308,98498287.0824,54451872.5516,0.984983,100000000.0,0.9818
2014-05-09,88460994.0932,98869737.7032,10408743.61,0.988697,100000000.0,0.985
2014-05-12,88460994.0932,98873279.6232,10412285.53,0.988733,100000000.0,0.9887
2014-05-13,88460994.0932,98875640.9032,10414646.81,0.988756,100000000.0,0.9887
2014-05-14,88460994.0932,98875493.3232,10414499.23,0.988755,100000000.0,0.9888
2014-05-15,88460994.0932,98875419.5332,10414425.44,0.988754,100000000.0,0.9888
2014-05-16,88460994.0932,98873132.0432,10412137.95,0.988731,100000000.0,0.9888
2014-05-19,88460994.0932,98875198.1632,10414204.07,0.988752,100000000.0,0.9887
2014-05-20,88460994.0932,98876821.5432,10415827.45,0.988768,100000000.0,0.9888
2014-05-21,88460994.0932,98878371.1332,10417377.04,0.988784,100000000.0,0.9888
2014-05-22,88460994.0932,98890325.1132,10429331.02,0.988903,100000000.0,0.9888
2014-05-23,88460994.0932,98878371.1332,10417377.04,0.988784,100000000.0,0.9889
2014-05-26,88460994.0932,98891948.4932,10430954.4,0.988919,100000000.0,0.9888
2014-05-27,88460994.0932,98895711.7832,10434717.69,0.988957,100000000.0,0.9889
2014-05-28,88460994.0932,98897187.5832,10436193.49,0.988972,100000000.0,0.989
2014-05-29,3017.7722,98888423.2412,98885405.469,0.988884,100000000.0,0.989
2014-05-30,44593379.7986,99558798.8666,54965419.068,0.995588,100000000.0,0.9889
2014-06-03,44593379.7986,99348834.2086,54755454.41,0.993488,100000000.0,0.9956
2014-06-04,44593379.7986,99099495.1736,54506115.375,0.990995,100000000.0,0.9935
2014-06-05,44593379.7986,99746026.6416,55152646.843,0.99746,100000000.0,0.991
2014-06-06,44593379.7986,99572239.1906,54978859.392,0.995722,100000000.0,0.9975
2014-06-09,3483.2458,98880443.4744,98876960.2286,0.988804,100000000.0,0.9957
