date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2014-04-16,934.209,99984002.709,99983068.5,0.99984,100000000.0,1.0
2014-04-17,934.209,99769945.845,99769011.636,0.997699,100000000.0,0.9998
2014-04-18,934.209,99739866.832,99738932.623,0.997399,100000000.0,0.9977
2014-04-21,934.209,98897643.637,98896709.428,0.988976,100000000.0,0.9974
2014-04-22,934.209,99274641.286,99273707.077,0.992746,100000000.0,0.989
2014-04-23,934.209,99270827.667,99269893.458,0.992708,100000000.0,0.9927
2014-04-24,934.209,99249144.597,99248210.388,0.992491,100000000.0,0.9927
2014-04-25,789.3279,98798507.5659,98797718.238,0.987985,100000000.0,0.9925
2014-04-28,789.3279,98125054.5409,98124265.213,0.981251,100000000.0,0.988
2014-04-29,59154703.1551,98737407.0501,39582703.895,0.987374,100000000.0,0.9813
2014-04-30,59154703.1551,98755970.0121,39601266.857,0.98756,100000000.0,0.9874
2014-05-05,1275.5768,98767601.2528,98766325.676,0.987676,100000000.0,0.9876
2014-05-06,59134027.1905,98781982.7095,39647955.519,0.98782,100000000.0,0.9877
2014-05-07,59134027.1905,98787326.5925,39653299.402,0.987873,100000000.0,0.9878
2014-05-08,59134027.1905,98793514.2465,39659487.056,0.987935,100000000.0,0.9879
2014-05-09,59134027.1905,98807858.3535,39673831.163,0.988079,100000000.0,0.9879
2014-05-12,59134027.1905,98821358.6895,39687331.499,0.988214,100000000.0,0.9881
2014-05-13,59134027.1905,98830358.9135,39696331.723,0.988304,100000000.0,0.9882
2014-05-14,59134027.1905,98829796.3995,39695769.209,0.988298,100000000.0,0.9883
2014-05-15,59134027.1905,98829515.1425,39695487.952,0.988295,100000000.0,0.9883
2014-05-16,59134027.1905,98820796.1755,39686768.985,0.988208,100000000.0,0.9883
2014-05-19,59134027.1905,98828671.3715,39694644.181,0.988287,100000000.0,0.9882
2014-05-20,59134027.1905,98834859.0255,39700831.835,0.988349,100000000.0,0.9883
2014-05-21,59134027.1905,98840765.4225,39706738.232,0.988408,100000000.0,0.9883
2014-05-22,59134027.1905,98886329.0565,39752301.866,0.988863,100000000.0,0.9884
2014-05-23,59134027.1905,98840765.4225,39706738.232,0.988408,100000000.0,0.9889
2014-05-26,59134027.1905,98892516.7105,39758489.52,0.988925,100000000.0,0.9884
2014-05-27,59134027.1905,98906860.8175,39772833.627,0.989069,100000000.0,0.9889
2014-05-28,963.9379,98903026.1809,98902062.243,0.98903,100000000.0,0.9891
2014-05-29,963.9379,97830299.5379,97829335.6,0.978303,100000000.0,0.989
2014-05-30,963.9379,98013295.5299,98012331.592,0.980133,100000000.0,0.9783
2014-06-03,963.9379,98108410.6889,98107446.751,0.981084,100000000.0,0.9801
2014-06-04,963.9379,98193797.7719,98192833.834,0.981938,100000000.0,0.9811
2014-06-05,963.9379,99685243.4699,99684279.532,0.996852,100000000.0,0.9819
2014-06-06,963.9379,99464886.8089,99463922.871,0.994649,100000000.0,0.9969
2014-06-09,963.9379,98418304.2039,98417340.266,0.984183,100000000.0,0.9946
2014-06-10,963.9379,99657140.4749,99656176.537,0.996571,100000000.0,0.9842
2014-06-11,963.9379,100266091.1779,100265127.24,1.002661,100000000.0,0.9966
2014-06-12,963.9379,100096809.4809,100095845.543,1.000968,100000000.0,1.0027
2014-06-13,138.4214,100937961.8484,100937823.427,1.00938,100000000.0,1.001
2014-06-16,138.4214,101427887.9494,101427749.528,1.014279,100000000.0,1.0094
2014-06-17,138.4214,100779176.4314,100779038.01,1.007792,100000000.0,1.0143
2014-06-18,138.4214,100255599.3774,100255460.956,1.002556,100000000.0,1.0078
2014-06-19,138.4214,98697087.5624,98696949.141,0.986971,100000000.0,1.0026
2014-06-20,138.4214,99192257.6294,99192119.208,0.991923,100000000.0,0.987
2014-06-23,138.4214,100182889.5654,100182751.144,1.001829,100000000.0,0.9919
2014-06-24,138.4214,100506169.0464,100506030.625,1.005062,100000000.0,1.0018
2014-06-25,138.4214,100128236.1274,100128097.706,1.001282,100000000.0,1.0051
2014-06-26,138.4214,101125963.3264,101125824.905,1.01126,100000000.0,1.0013
2014-06-27,138.4214,101219796.9404,101219658.519,1.012198,100000000.0,1.0113
2014-06-30,138.4214,101810817.7764,101810679.355,1.018108,100000000.0,1.0122
2014-07-01,138.4214,102073009.4194,102072870.998,1.02073,100000000.0,1.0181
2014-07-02,138.4214,102379700.2024,102379561.781,1.023797,100000000.0,1.0207
2014-07-03,138.4214,102479470.7124,102479332.291,1.024795,100000000.0,1.0238
2014-07-04,138.4214,102068374.9924,102068236.571,1.020684,100000000.0,1.0248
2014-07-07,138.4214,101443192.3014,101443053.88,1.014432,100000000.0,1.0207
2014-07-08,138.4214,102064131.3124,102063992.891,1.020641,100000000.0,1.0144
2014-07-09,138.4214,101117628.8394,101117490.418,1.011176,100000000.0,1.0206
2014-07-10,138.4214,100363485.4774,100363347.056,1.003635,100000000.0,1.0112
2014-07-11,138.4214,100210601.5994,100210463.178,1.002106,100000000.0,1.0036
2014-07-14,49686548.8935,100497507.4065,50810958.513,1.004975,100000000.0,1.0021
2014-07-15,49686548.8935,100505011.6095,50818462.716,1.00505,100000000.0,1.005
2014-07-16,49686548.8935,100485715.0875,50799166.194,1.004857,100000000.0,1.0051
2014-07-17,49686548.8935,100464989.1935,50778440.3,1.00465,100000000.0,1.0049
2014-07-18,49686548.8935,100468562.6235,50782013.73,1.004686,100000000.0,1.0046
2014-07-21,666.7401,100478123.9611,100477457.221,1.004781,100000000.0,1.0047
2014-07-22,666.7401,101060052.7521,101059386.012,1.010601,100000000.0,1.0048
2014-07-23,666.7401,101402810.5021,101402143.762,1.014028,100000000.0,1.0106
2014-07-24,666.7401,102535002.9161,102534336.176,1.02535,100000000.0,1.014
2014-07-25,666.7401,103025878.0251,103025211.285,1.030259,100000000.0,1.0254
2014-07-28,16.9954,104696103.4064,104696086.411,1.046961,100000000.0,1.0303
2014-07-29,16.9954,104785281.6234,104785264.628,1.047853,100000000.0,1.047
2014-07-30,16.9954,104528595.0074,104528578.012,1.045286,100000000.0,1.0479
2014-07-31,16.9954,105101659.8924,105101642.897,1.051017,100000000.0,1.0453
2014-08-01,16.9954,104739776.1994,104739759.204,1.047398,100000000.0,1.051
2014-08-04,16.9954,105709302.0094,105709285.014,1.057093,100000000.0,1.0474
2014-08-05,16.9954,105466549.3004,105466532.305,1.054665,100000000.0,1.0571
2014-08-06,16.9954,105191886.7814,105191869.786,1.051919,100000000.0,1.0547
2014-08-07,16.9954,104512996.6984,104512979.703,1.04513,100000000.0,1.0519
2014-08-08,16.9954,104566723.1914,104566706.196,1.045667,100000000.0,1.0451
2014-08-11,16.9954,105219020.9444,105219003.949,1.05219,100000000.0,1.0457
2014-08-12,16.9954,104930581.5144,104930564.519,1.049306,100000000.0,1.0522
2014-08-13,16.9954,104985069.6294,104985052.634,1.049851,100000000.0,1.0493
2014-08-14,16.9954,104602760.2054,104602743.21,1.046028,100000000.0,1.0499
2014-08-15,16.9954,104997776.2944,104997759.299,1.049978,100000000.0,1.046
2014-08-18,16.9954,105123131.1144,105123114.119,1.051231,100000000.0,1.05
2014-08-19,16.9954,105035389.1844,105035372.189,1.050354,100000000.0,1.0512
2014-08-20,16.9954,104846461.1584,104846444.163,1.048465,100000000.0,1.0504
2014-08-21,16.9954,104572648.2474,104572631.252,1.045726,100000000.0,1.0485
2014-08-22,16.9954,104782131.0294,104782114.034,1.047821,100000000.0,1.0457
2014-08-25,16.9954,104328592.3924,104328575.397,1.043286,100000000.0,1.0478
2014-08-26,173.5198,104092356.9888,104092183.469,1.040924,100000000.0,1.0433
2014-08-27,173.5198,104372283.4728,104372109.953,1.043723,100000000.0,1.0409
2014-08-28,173.5198,103872794.0678,103872620.548,1.038728,100000000.0,1.0437
2014-08-29,173.5198,104486177.8858,104486004.366,1.044862,100000000.0,1.0387
2014-09-01,173.5198,105374405.7038,105374232.184,1.053744,100000000.0,1.0449
2014-09-02,173.5198,105754981.9458,105754808.426,1.05755,100000000.0,1.0537
2014-09-03,173.5198,106133554.6618,106133381.142,1.061336,100000000.0,1.0575
2014-09-04,30.6801,106674857.5021,106674826.822,1.066749,100000000.0,1.0613
2014-09-05,30.6801,106571921.2581,106571890.578,1.065719,100000000.0,1.0667
2014-09-09,30.6801,106697544.0781,106697513.398,1.066975,100000000.0,1.0657
2014-09-10,30.6801,106946318.2441,106946287.564,1.069463,100000000.0,1.067
2014-09-11,30.6801,107142009.2761,107141978.596,1.07142,100000000.0,1.0695
2014-09-12,30.6801,107397545.2461,107397514.566,1.073975,100000000.0,1.0714
2014-09-15,30.6801,107464767.0901,107464736.41,1.074648,100000000.0,1.074
2014-09-16,30.6801,106291987.7641,106291957.084,1.06292,100000000.0,1.0746
2014-09-17,30.6801,106436163.0201,106436132.34,1.064362,100000000.0,1.0629
2014-09-18,30.6801,106691527.7381,106691497.058,1.066915,100000000.0,1.0644
2014-09-19,30.6801,106933981.2641,106933950.584,1.06934,100000000.0,1.0669
2014-09-22,30.6801,106632044.0621,106632013.382,1.06632,100000000.0,1.0693
2014-09-23,30.6801,107056715.7561,107056685.076,1.070567,100000000.0,1.0663
2014-09-24,30.6801,107423610.9661,107423580.286,1.074236,100000000.0,1.0706
2014-09-25,30.6801,107218343.0001,107218312.32,1.072183,100000000.0,1.0742
2014-09-26,30.6801,107300751.9261,107300721.246,1.073008,100000000.0,1.0722
2014-09-29,30.6801,107683613.6661,107683582.986,1.076836,100000000.0,1.073
2014-09-30,30.6801,108065338.2281,108065307.548,1.080653,100000000.0,1.0768
2014-10-08,30.6801,108504137.3041,108504106.624,1.085041,100000000.0,1.0807
2014-10-09,30.6801,108596693.9641,108596663.284,1.085967,100000000.0,1.085
2014-10-10,30.6801,108463683.8381,108463653.158,1.084637,100000000.0,1.086
2014-10-13,30.6801,108353940.8821,108353910.202,1.083539,100000000.0,1.0846
2014-10-14,30.6801,108178393.0261,108178362.346,1.081784,100000000.0,1.0835
2014-10-15,30.6801,108346433.3301,108346402.65,1.083464,100000000.0,1.0818
2014-10-16,30.6801,107951647.7681,107951617.088,1.079516,100000000.0,1.0835
2014-10-17,30.6801,107547709.9001,107547679.22,1.075477,100000000.0,1.0795
2014-10-20,34402585.9104,108091150.0064,73688564.096,1.080912,100000000.0,1.0755
2014-10-21,34402585.9104,108102917.1744,73700331.264,1.081029,100000000.0,1.0809
2014-10-22,1153.0077,108099971.9057,108098818.898,1.081,100000000.0,1.081
2014-10-23,1048.7716,107845088.4326,107844039.661,1.078451,100000000.0,1.081
2014-10-24,34006737.6147,107738277.4547,73731539.84,1.077383,100000000.0,1.0785
2014-10-27,34006737.6147,107890227.4067,73883489.792,1.078902,100000000.0,1.0774
2014-10-28,34006737.6147,107886646.0947,73879908.48,1.078866,100000000.0,1.0789
2014-10-29,1301.0513,107875066.7033,107873765.652,1.078751,100000000.0,1.0789
2014-10-30,1301.0513,107793463.8943,107792162.843,1.077935,100000000.0,1.0788
2014-10-31,1301.0513,107548444.8183,107547143.767,1.075484,100000000.0,1.0779
2014-11-03,1301.0513,107952658.8313,107951357.78,1.079527,100000000.0,1.0755
2014-11-04,1301.0513,107672205.6233,107670904.572,1.076722,100000000.0,1.0795
2014-11-05,2019.6462,107589427.5622,107587407.916,1.075894,100000000.0,1.0767
2014-11-06,2019.6462,107570019.6882,107568000.042,1.0757,100000000.0,1.0759
2014-11-07,2019.6462,107657548.3582,107655528.712,1.076575,100000000.0,1.0757
2014-11-10,2019.6462,108649606.5582,108647586.912,1.086496,100000000.0,1.0766
2014-11-11,2019.6462,108950704.6922,108948685.046,1.089507,100000000.0,1.0865
2014-11-12,2019.6462,109391713.0522,109389693.406,1.093917,100000000.0,1.0895
2014-11-13,2019.6462,109245983.8622,109243964.216,1.09246,100000000.0,1.0939
2014-11-14,2019.6462,109332991.4702,109330971.824,1.09333,100000000.0,1.0925
2014-11-17,2019.6462,108943542.3722,108941522.726,1.089435,100000000.0,1.0933
2014-11-18,2019.6462,108413650.3782,108411630.732,1.084137,100000000.0,1.0894
2014-11-19,2019.6462,108276330.0202,108274310.374,1.082763,100000000.0,1.0841
2014-11-20,2019.6462,108346408.5522,108344388.906,1.083464,100000000.0,1.0828
2014-11-21,2019.6462,109037028.7682,109035009.122,1.09037,100000000.0,1.0835
2014-11-24,2019.6462,109949386.7022,109947367.056,1.099494,100000000.0,1.0904
2014-11-25,123.7452,110413049.5732,110412925.828,1.10413,100000000.0,1.0995
2014-11-26,123.7452,110932558.7312,110932434.986,1.109326,100000000.0,1.1041
2014-11-27,123.7452,111304340.9452,111304217.2,1.113043,100000000.0,1.1093
2014-11-28,123.7452,112074391.5812,112074267.836,1.120744,100000000.0,1.113
2014-12-01,123.7452,112227222.4122,112227098.667,1.122272,100000000.0,1.1207
2014-12-02,123.7452,113430785.3882,113430661.643,1.134308,100000000.0,1.1223
2014-12-03,123.7452,113765499.5092,113765375.764,1.137655,100000000.0,1.1343
2014-12-04,123.7452,115278665.6832,115278541.938,1.152787,100000000.0,1.1377
2014-12-05,123.7452,115693506.5552,115693382.81,1.156935,100000000.0,1.1528
2014-12-08,123.7452,117148195.4682,117148071.723,1.171482,100000000.0,1.1569
2014-12-09,123.7452,115675016.3872,115674892.642,1.15675,100000000.0,1.1715
2014-12-10,123.7452,116698382.1052,116698258.36,1.166984,100000000.0,1.1568
2014-12-11,123.7452,116092302.9522,116092179.207,1.160923,100000000.0,1.167
2014-12-12,123.7452,116074206.8622,116074083.117,1.160742,100000000.0,1.1609
2014-12-15,123.7452,116268447.0772,116268323.332,1.162684,100000000.0,1.1607
2014-12-16,123.7452,117352587.0932,117352463.348,1.173526,100000000.0,1.1627
2014-12-17,123.7452,118328219.0812,118328095.336,1.183282,100000000.0,1.1735
2014-12-18,123.7452,118230443.4222,118230319.677,1.182304,100000000.0,1.1833
2014-12-19,123.7452,118684025.1522,118683901.407,1.18684,100000000.0,1.1823
2014-12-22,123.7452,119150324.6032,119150200.858,1.191503,100000000.0,1.1868
2014-12-23,123.7452,118508603.0762,118508479.331,1.185086,100000000.0,1.1915
2014-12-24,123.7452,117274304.5802,117274180.835,1.172743,100000000.0,1.1851
2014-12-25,123.7452,118509589.8162,118509466.071,1.185096,100000000.0,1.1727
2014-12-26,123.7452,119777340.6632,119777216.918,1.197773,100000000.0,1.1851
2014-12-29,123.7452,120059760.0092,120059636.264,1.200598,100000000.0,1.1978
2014-12-30,123.7452,120410938.4592,120410814.714,1.204109,100000000.0,1.2006
2014-12-31,123.7452,121181800.8622,121181677.117,1.211818,100000000.0,1.2041
2015-01-05,123.7452,122393984.4392,122393860.694,1.22394,100000000.0,1.2118
2015-01-06,123.7452,122229600.4392,122229476.694,1.222296,100000000.0,1.2239
2015-01-07,123.7452,122276978.1362,122276854.391,1.22277,100000000.0,1.2223
2015-01-08,123.7452,121283736.1992,121283612.454,1.212837,100000000.0,1.2228
2015-01-09,123.7452,121393844.0292,121393720.284,1.213938,100000000.0,1.2128
2015-01-12,123.7452,121071735.6352,121071611.89,1.210717,100000000.0,1.2139
2015-01-13,123.7452,120972312.8432,120972189.098,1.209723,100000000.0,1.2107
2015-01-14,123.7452,120959790.9762,120959667.231,1.209598,100000000.0,1.2097
2015-01-15,123.7452,122281871.1452,122281747.4,1.222819,100000000.0,1.2096
2015-01-16,123.7452,122551105.5612,122550981.816,1.225511,100000000.0,1.2228
2015-01-19,123.7452,119449067.7042,119448943.959,1.194491,100000000.0,1.2255
2015-01-20,123.7452,119618349.5972,119618225.852,1.196183,100000000.0,1.1945
2015-01-21,123.7452,121326038.5512,121325914.806,1.21326,100000000.0,1.1962
2015-01-22,123.7452,121366126.0672,121366002.322,1.213661,100000000.0,1.2133
2015-01-23,123.7452,121542729.3062,121542605.561,1.215427,100000000.0,1.2137
2015-01-26,115.9824,121771616.8494,121771500.867,1.217716,100000000.0,1.2154
2015-01-27,115.9824,121527422.1734,121527306.191,1.215274,100000000.0,1.2177
2015-01-28,115.9824,121208675.8114,121208559.829,1.212087,100000000.0,1.2153
2015-01-29,115.9824,120938799.3694,120938683.387,1.209388,100000000.0,1.2121
2015-01-30,1666.6272,120569063.1152,120567396.488,1.205691,100000000.0,1.2094
2015-02-02,1666.6272,120886378.1372,120884711.51,1.208864,100000000.0,1.2057
2015-02-03,1666.6272,121561307.4592,121559640.832,1.215613,100000000.0,1.2089
2015-02-04,1666.6272,121679326.4172,121677659.79,1.216793,100000000.0,1.2156
2015-02-05,1666.6272,121912546.6752,121910880.048,1.219125,100000000.0,1.2168
2015-02-06,1666.6272,121407883.5432,121406216.916,1.214079,100000000.0,1.2191
2015-02-09,1666.6272,121177395.5932,121175728.966,1.211774,100000000.0,1.2141
2015-02-10,1666.6272,121655727.2052,121654060.578,1.216557,100000000.0,1.2118
2015-02-11,1666.6272,121978627.0812,121976960.454,1.219786,100000000.0,1.2166
2015-02-12,1666.6272,122289741.4372,122288074.81,1.222897,100000000.0,1.2198
2015-02-13,1666.6272,122831966.0592,122830299.432,1.22832,100000000.0,1.2229
2015-02-16,1666.6272,123722878.4032,123721211.776,1.237229,100000000.0,1.2283
2015-02-17,1666.6272,123708933.2512,123707266.624,1.237089,100000000.0,1.2372
2015-02-25,1666.6272,123606320.2852,123604653.658,1.236063,100000000.0,1.2371
2015-02-26,1666.6272,123666381.8712,123664715.244,1.236664,100000000.0,1.2361
2015-02-27,1666.6272,124214659.8912,124212993.264,1.242147,100000000.0,1.2367
2015-03-02,1666.6272,124985006.8352,124983340.208,1.24985,100000000.0,1.2421
2015-03-03,1666.6272,124685104.9052,124683438.278,1.246851,100000000.0,1.2499
