date,cash,transaction_cost,market_value,total_value
2014-04-16,934.209,15997.291,99983068.5,99984002.709
2014-04-17,934.209,0.0,99769011.636,99769945.845
2014-04-18,934.209,0.0,99738932.623,99739866.832
2014-04-21,934.209,0.0,98896709.428,98897643.637
2014-04-22,934.209,0.0,99273707.077,99274641.286
2014-04-23,934.209,0.0,99269893.458,99270827.667
2014-04-24,934.209,0.0,99248210.388,99249144.597
2014-04-25,789.3279,3349.2511,98797718.238,98798507.5659
2014-04-28,789.3279,0.0,98124265.213,98125054.5409
2014-04-29,59154703.1551,0.0,39582703.895,98737407.0501
2014-04-30,59154703.1551,0.0,39601266.857,98755970.0121
2014-05-05,1275.5768,9463.0343,98766325.676,98767601.2528
2014-05-06,59134027.1905,0.0,39647955.519,98781982.7095
2014-05-07,59134027.1905,0.0,39653299.402,98787326.5925
2014-05-08,59134027.1905,0.0,39659487.056,98793514.2465
2014-05-09,59134027.1905,0.0,39673831.163,98807858.3535
2014-05-12,59134027.1905,0.0,39687331.499,98821358.6895
2014-05-13,59134027.1905,0.0,39696331.723,98830358.9135
2014-05-14,59134027.1905,0.0,39695769.209,98829796.3995
2014-05-15,59134027.1905,0.0,39695487.952,98829515.1425
2014-05-16,59134027.1905,0.0,39686768.985,98820796.1755
2014-05-19,59134027.1905,0.0,39694644.181,98828671.3715
2014-05-20,59134027.1905,0.0,39700831.835,98834859.0255
2014-05-21,59134027.1905,0.0,39706738.232,98840765.4225
2014-05-22,59134027.1905,0.0,39752301.866,98886329.0565
2014-05-23,59134027.1905,0.0,39706738.232,98840765.4225
2014-05-26,59134027.1905,0.0,39758489.52,98892516.7105
2014-05-27,59134027.1905,0.0,39772833.627,98906860.8175
2014-05-28,963.9379,9459.7766,98902062.243,98903026.1809
2014-05-29,963.9379,0.0,97829335.6,97830299.5379
2014-05-30,963.9379,0.0,98012331.592,98013295.5299
2014-06-03,963.9379,0.0,98107446.751,98108410.6889
2014-06-04,963.9379,0.0,98192833.834,98193797.7719
2014-06-05,963.9379,0.0,99684279.532,99685243.4699
2014-06-06,963.9379,0.0,99463922.871,99464886.8089
2014-06-09,963.9379,0.0,98417340.266,98418304.2039
2014-06-10,963.9379,0.0,99656176.537,99657140.4749
2014-06-11,963.9379,0.0,100265127.24,100266091.1779
2014-06-12,963.9379,0.0,100095845.543,100096809.4809
2014-06-13,138.4214,3453.0935,100937823.427,100937961.8484
2014-06-16,138.4214,0.0,101427749.528,101427887.9494
2014-06-17,138.4214,0.0,100779038.01,100779176.4314
2014-06-18,138.4214,0.0,100255460.956,100255599.3774
2014-06-19,138.4214,0.0,98696949.141,98697087.5624
2014-06-20,138.4214,0.0,99192119.208,99192257.6294
2014-06-23,138.4214,0.0,100182751.144,100182889.5654
2014-06-24,138.4214,0.0,100506030.625,100506169.0464
2014-06-25,138.4214,0.0,100128097.706,100128236.1274
2014-06-26,138.4214,0.0,101125824.905,101125963.3264
2014-06-27,138.4214,0.0,101219658.519,101219796.9404
2014-06-30,138.4214,0.0,101810679.355,101810817.7764
2014-07-01,138.4214,0.0,102072870.998,102073009.4194
2014-07-02,138.4214,0.0,102379561.781,102379700.2024
2014-07-03,138.4214,0.0,102479332.291,102479470.7124
2014-07-04,138.4214,0.0,102068236.571,102068374.9924
2014-07-07,138.4214,0.0,101443053.88,101443192.3014
2014-07-08,138.4214,0.0,102063992.891,102064131.3124
2014-07-09,138.4214,0.0,101117490.418,101117628.8394
2014-07-10,138.4214,0.0,100363347.056,100363485.4774
2014-07-11,138.4214,0.0,100210463.178,100210601.5994
2014-07-14,49686548.8935,0.0,50810958.513,100497507.4065
2014-07-15,49686548.8935,0.0,50818462.716,100505011.6095
2014-07-16,49686548.8935,0.0,50799166.194,100485715.0875
2014-07-17,49686548.8935,0.0,50778440.3,100464989.1935
2014-07-18,49686548.8935,0.0,50782013.73,100468562.6235
2014-07-21,666.7401,7948.4694,100477457.221,100478123.9611
2014-07-22,666.7401,0.0,101059386.012,101060052.7521
2014-07-23,666.7401,0.0,101402143.762,101402810.5021
2014-07-24,666.7401,0.0,102534336.176,102535002.9161
2014-07-25,666.7401,0.0,103025211.285,103025878.0251
2014-07-28,16.9954,3387.0587,104696086.411,104696103.4064
2014-07-29,16.9954,0.0,104785264.628,104785281.6234
2014-07-30,16.9954,0.0,104528578.012,104528595.0074
2014-07-31,16.9954,0.0,105101642.897,105101659.8924
2014-08-01,16.9954,0.0,104739759.204,104739776.1994
2014-08-04,16.9954,0.0,105709285.014,105709302.0094
2014-08-05,16.9954,0.0,105466532.305,105466549.3004
2014-08-06,16.9954,0.0,105191869.786,105191886.7814
2014-08-07,16.9954,0.0,104512979.703,104512996.6984
2014-08-08,16.9954,0.0,104566706.196,104566723.1914
2014-08-11,16.9954,0.0,105219003.949,105219020.9444
2014-08-12,16.9954,0.0,104930564.519,104930581.5144
2014-08-13,16.9954,0.0,104985052.634,104985069.6294
2014-08-14,16.9954,0.0,104602743.21,104602760.2054
2014-08-15,16.9954,0.0,104997759.299,104997776.2944
2014-08-18,16.9954,0.0,105123114.119,105123131.1144
2014-08-19,16.9954,0.0,105035372.189,105035389.1844
2014-08-20,16.9954,0.0,104846444.163,104846461.1584
2014-08-21,16.9954,0.0,104572631.252,104572648.2474
2014-08-22,16.9954,0.0,104782114.034,104782131.0294
2014-08-25,16.9954,0.0,104328575.397,104328592.3924
2014-08-26,173.5198,6793.1632,104092183.469,104092356.9888
2014-08-27,173.5198,0.0,104372109.953,104372283.4728
2014-08-28,173.5198,0.0,103872620.548,103872794.0678
2014-08-29,173.5198,0.0,104486004.366,104486177.8858
2014-09-01,173.5198,0.0,105374232.184,105374405.7038
2014-09-02,173.5198,0.0,105754808.426,105754981.9458
2014-09-03,173.5198,0.0,106133381.142,106133554.6618
2014-09-04,30.6801,3652.3187,106674826.822,106674857.5021
2014-09-05,30.6801,0.0,106571890.578,106571921.2581
2014-09-09,30.6801,0.0,106697513.398,106697544.0781
2014-09-10,30.6801,0.0,106946287.564,106946318.2441
2014-09-11,30.6801,0.0,107141978.596,107142009.2761
2014-09-12,30.6801,0.0,107397514.566,107397545.2461
2014-09-15,30.6801,0.0,107464736.41,107464767.0901
2014-09-16,30.6801,0.0,106291957.084,106291987.7641
2014-09-17,30.6801,0.0,106436132.34,106436163.0201
2014-09-18,30.6801,0.0,106691497.058,106691527.7381
2014-09-19,30.6801,0.0,106933950.584,106933981.2641
2014-09-22,30.6801,0.0,106632013.382,106632044.0621
2014-09-23,30.6801,0.0,107056685.076,107056715.7561
2014-09-24,30.6801,0.0,107423580.286,107423610.9661
2014-09-25,30.6801,0.0,107218312.32,107218343.0001
2014-09-26,30.6801,0.0,107300721.246,107300751.9261
2014-09-29,30.6801,0.0,107683582.986,107683613.6661
2014-09-30,30.6801,0.0,108065307.548,108065338.2281
2014-10-08,30.6801,0.0,108504106.624,108504137.3041
2014-10-09,30.6801,0.0,108596663.284,108596693.9641
2014-10-10,30.6801,0.0,108463653.158,108463683.8381
2014-10-13,30.6801,0.0,108353910.202,108353940.8821
2014-10-14,30.6801,0.0,108178362.346,108178393.0261
2014-10-15,30.6801,0.0,108346402.65,108346433.3301
2014-10-16,30.6801,0.0,107951617.088,107951647.7681
2014-10-17,30.6801,0.0,107547679.22,107547709.9001
2014-10-20,34402585.9104,0.0,73688564.096,108091150.0064
2014-10-21,34402585.9104,0.0,73700331.264,108102917.1744
2014-10-22,1153.0077,5503.3487,108098818.898,108099971.9057
2014-10-23,1048.7716,10926.081,107844039.661,107845088.4326
