date,cash,transaction_cost,market_value,total_value
2014-04-16,4463.7641,15996.7263,99979539.5096,99984003.2737
2014-04-17,24263164.9669,9.6457,75708356.92,99971521.8869
2014-04-18,23975014.7799,46.0967,76166481.1324,100141495.9123
2014-04-21,1447.5358,3835.1571,99158043.2447,99159490.7805
2014-04-22,19165029.5999,1091.2094,80091968.4058,99256998.0057
2014-04-23,45487667.0304,592.6761,53550644.9968,99038312.0272
2014-04-24,54916902.2085,1828.792,44107557.2467,99024459.4552
2014-04-25,55705701.6587,126.2281,43060793.7456,98766495.4043
2014-04-28,56089577.5583,61.43,42254513.7792,98344091.3375
2014-04-29,57116458.5735,164.3273,41780902.324,98897360.8975
2014-04-30,57221216.8591,16.764,41598939.5264,98820156.3855
2014-05-05,55745468.6126,236.0819,43308371.9845,99053840.5971
2014-05-06,54811910.6236,149.3454,44143282.7111,98955193.3347
2014-05-07,55021406.018,33.5246,43931747.8145,98953153.8325
2014-05-08,55170220.2687,23.8141,43979941.5242,99150161.7929
2014-05-09,82695088.6848,0.0,16688972.408,99384061.0928
2014-05-12,82695088.6848,0.0,16694651.384,99389740.0688
2014-05-13,82695088.6848,0.0,16698437.368,99393526.0528
2014-05-14,82695088.6848,0.0,16698200.744,99393289.4288
2014-05-15,82695088.6848,0.0,16698082.432,99393171.1168
2014-05-16,82695088.6848,0.0,16694414.76,99389503.4448
2014-05-19,82695088.6848,0.0,16697727.496,99392816.1808
2014-05-20,82695088.6848,0.0,16700330.36,99395419.0448
2014-05-21,82695088.6848,0.0,16702814.912,99397903.5968
2014-05-22,82695088.6848,0.0,16721981.456,99417070.1408
2014-05-23,82695088.6848,0.0,16702814.912,99397903.5968
2014-05-26,82695088.6848,0.0,16724584.32,99419673.0048
2014-05-27,82695088.6848,0.0,16730618.232,99425706.9168
2014-05-28,82695088.6848,0.0,16732984.472,99428073.1568
2014-05-29,109431.9543,13211.5912,99314066.3873,99423498.3416
2014-05-30,109431.9543,0.0,99779771.262,99889203.2163
2014-06-03,303061.2584,30.9856,99557436.7134,99860497.9718
2014-06-04,89956.6941,34.0913,99227941.7088,99317898.4029
2014-06-05,28575371.6463,156.788,72308737.149,100884108.7953
2014-06-06,28575371.6463,0.0,71934005.9908,100509377.6371
2014-06-09,28301068.4156,43.8815,71426822.7088,99727891.1244
2014-06-10,27325145.0194,156.1228,73554180.2563,100879325.2757
