date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2014-04-16,5589.5426,99984003.4538,99978413.9112,0.99984,100000000.0,1.0
2014-04-17,9031478.5902,99990092.9224,90958614.3322,0.999901,100000000.0,0.9998
2014-04-18,1072090.0848,100059448.3384,98987358.2536,1.000594,100000000.0,0.9999
2014-04-21,6048859.0483,99569778.0645,93520919.0162,0.995698,100000000.0,1.0006
2014-04-22,13171907.4052,99590841.9594,86418934.5542,0.995908,100000000.0,0.9957
2014-04-23,19492879.1529,99522676.5257,80029797.3728,0.995227,100000000.0,0.9959
2014-04-24,19492879.1529,99522716.5077,80029837.3548,0.995227,100000000.0,0.9952
2014-04-25,19492879.1529,99456534.4005,79963655.2476,0.994565,100000000.0,0.9952
2014-04-28,19492879.1529,99347473.5777,79854594.4248,0.993475,100000000.0,0.9946
2014-04-29,19492879.1529,99501923.6445,80009044.4916,0.995019,100000000.0,0.9935
2014-04-30,19492879.1529,99512217.1105,80019337.9576,0.995122,100000000.0,0.995
2014-05-05,19492879.1529,99614667.1669,80121788.014,0.996147,100000000.0,0.9951
2014-05-06,19492879.1529,99632670.5341,80139791.3812,0.996327,100000000.0,0.9961
2014-05-07,19492879.1529,99641421.0429,80148541.89,0.996414,100000000.0,0.9963
2014-05-08,19492879.1529,99703332.2961,80210453.1432,0.997033,100000000.0,0.9964
2014-05-09,26682352.3739,99789282.4219,73106930.048,0.997893,100000000.0,0.997
2014-05-12,26682352.3739,99814159.4779,73131807.104,0.998142,100000000.0,0.9979
2014-05-13,26682352.3739,99830744.1819,73148391.808,0.998307,100000000.0,0.9981
2014-05-14,26682352.3739,99829707.6379,73147355.264,0.998297,100000000.0,0.9983
2014-05-15,26682352.3739,99829189.3659,73146836.992,0.998292,100000000.0,0.9983
2014-05-16,26682352.3739,99813122.9339,73130770.56,0.998131,100000000.0,0.9983
2014-05-19,26682352.3739,99827634.5499,73145282.176,0.998276,100000000.0,0.9981
2014-05-20,26682352.3739,99839036.5339,73156684.16,0.99839,100000000.0,0.9983
2014-05-21,26682352.3739,99849920.2459,73167567.872,0.998499,100000000.0,0.9984
2014-05-22,16338430.7992,99932225.5472,83593794.748,0.999322,100000000.0,0.9985
2014-05-23,16338430.7992,99836411.2952,83497980.496,0.998364,100000000.0,0.9993
2014-05-26,16338430.7992,99945237.3592,83606806.56,0.999452,100000000.0,0.9984
2014-05-27,16338430.7992,99975401.1052,83636970.306,0.999754,100000000.0,0.9995
2014-05-28,16338430.7992,99987230.0252,83648799.226,0.999872,100000000.0,0.9998
2014-05-29,1441.5878,100027792.0831,100026350.4953,1.000278,100000000.0,0.9999
2014-05-30,1441.5878,100138612.4978,100137170.91,1.001386,100000000.0,1.0003
2014-06-03,1441.5878,100191888.5109,100190446.9231,1.001919,100000000.0,1.0014
2014-06-04,1441.5878,100076473.916,100075032.3282,1.000765,100000000.0,1.0019
2014-06-05,5037600.3914,100393688.7614,95356088.37,1.003937,100000000.0,1.0008
2014-06-06,1053.7379,100318644.2356,100317590.4977,1.003186,100000000.0,1.0039
2014-06-09,1053.7379,100167711.8508,100166658.1129,1.001677,100000000.0,1.0032
2014-06-10,5072000.6495,100512730.7954,95440730.1459,1.005127,100000000.0,1.0017
2014-06-11,5072000.6495,100580760.5459,95508759.8964,1.005808,100000000.0,1.0051
2014-06-12,5072000.6495,100540821.0155,95468820.366,1.005408,100000000.0,1.0058
2014-06-13,5072000.6495,100711478.4363,95639477.7868,1.007115,100000000.0,1.0054
2014-06-16,5072000.6495,100860745.454,95788744.8045,1.008607,100000000.0,1.0071
2014-06-17,4850218.018,100757795.6699,95907577.6519,1.007578,100000000.0,1.0086
2014-06-18,4850218.018,100616631.4759,95766413.4579,1.006166,100000000.0,1.0076
2014-06-19,1393875.0494,100228007.8142,98834132.7648,1.00228,100000000.0,1.0062
2014-06-20,1612193.1489,100371857.9208,98759664.7719,1.003719,100000000.0,1.0023
2014-06-23,1612193.1489,100608639.3239,98996446.175,1.006086,100000000.0,1.0037
2014-06-24,1612193.1489,100728581.12,99116387.9711,1.007286,100000000.0,1.0061
2014-06-25,1612193.1489,100655248.207,99043055.0581,1.006552,100000000.0,1.0073
2014-06-26,1612193.1489,100894539.5084,99282346.3595,1.008945,100000000.0,1.0066
2014-06-27,1612193.1489,100983806.3216,99371613.1727,1.009838,100000000.0,1.0089
2014-06-30,1612193.1489,101169946.2555,99557753.1066,1.011699,100000000.0,1.0098
2014-07-01,1612193.1489,101332724.2517,99720531.1028,1.013327,100000000.0,1.0117
2014-07-02,1612193.1489,101404091.3709,99791898.222,1.014041,100000000.0,1.0133
2014-07-03,1612193.1489,101374927.6586,99762734.5097,1.013749,100000000.0,1.014
2014-07-04,1612193.1489,101336140.7429,99723947.594,1.013361,100000000.0,1.0137
2014-07-07,1612193.1489,101230235.4205,99618042.2716,1.012302,100000000.0,1.0134
2014-07-08,1612193.1489,101386958.2035,99774765.0546,1.01387,100000000.0,1.0123
2014-07-09,1612193.1489,101053824.4206,99441631.2717,1.010538,100000000.0,1.0139
2014-07-10,9180151.0377,100873079.3737,91692928.336,1.008731,100000000.0,1.0105
2014-07-11,9180151.0377,100915978.3437,91735827.306,1.00916,100000000.0,1.0087
2014-07-14,16925304.6458,101023602.8318,84098298.186,1.010236,100000000.0,1.0092
2014-07-15,16925304.6458,101036023.1978,84110718.552,1.01036,100000000.0,1.0102
2014-07-16,16925304.6458,101004085.1138,84078780.468,1.010041,100000000.0,1.0104
2014-07-17,16925304.6458,100969781.2458,84044476.6,1.009698,100000000.0,1.01
2014-07-18,5229684.2419,100973824.7059,95744140.464,1.009738,100000000.0,1.0097
2014-07-21,5656492.9113,100997157.9417,95340665.0304,1.009972,100000000.0,1.0097
2014-07-22,5509562.8983,101233073.0203,95723510.122,1.012331,100000000.0,1.01
2014-07-23,5269927.0591,101248985.6158,95979058.5567,1.01249,100000000.0,1.0123
2014-07-24,5110100.93,101454379.195,96344278.265,1.014544,100000000.0,1.0125
2014-07-25,4824438.9881,101694763.1786,96870324.1905,1.016948,100000000.0,1.0145
2014-07-28,2203236.2032,102124038.9482,99920802.745,1.02124,100000000.0,1.0169
2014-07-29,2203236.2032,102154368.0642,99951131.861,1.021544,100000000.0,1.0212
2014-07-30,6069677.1908,102118243.5777,96048566.3869,1.021182,100000000.0,1.0215
2014-07-31,5874063.8451,102372730.9041,96498667.059,1.023727,100000000.0,1.0212
2014-08-01,3687134.5396,102216805.0368,98529670.4972,1.022168,100000000.0,1.0237
2014-08-04,2667196.0918,102660362.454,99993166.3622,1.026604,100000000.0,1.0222
2014-08-05,2810891.5468,102673974.086,99863082.5392,1.02674,100000000.0,1.0266
2014-08-06,2810891.5468,102790897.099,99980005.5522,1.027909,100000000.0,1.0267
