date,cash,transaction_cost,market_value,total_value
2014-04-16,4463.7641,15996.7263,99979539.5096,99984003.2737
2014-04-17,24323460.149,0.0,75648071.3836,99971531.5326
2014-04-18,24323460.149,0.0,75817833.4288,100141293.5778
2014-04-21,24176284.1915,23.5444,74995332.7337,99171616.9252
2014-04-22,48119890.2538,18.6477,51149026.0134,99268916.2672
2014-04-23,47947195.123,27.6268,51051028.9536,98998224.0766
2014-04-24,54895317.7076,2227.7775,44089917.3045,98985235.0121
2014-04-25,54723828.415,27.4339,44003646.1992,98727474.6142
2014-04-28,54431375.7514,46.7849,43858499.2022,98289874.9536
2014-04-29,54822520.3901,62.5932,44055459.8281,98877980.2182
2014-04-30,54761055.9609,9.8327,44032008.667,98793064.6279
2014-05-05,54925201.388,26.2675,44123766.704,99048968.092
2014-05-06,54850780.0082,11.9055,44096303.2771,98947083.2853
2014-05-07,54850780.0082,0.0,44094302.6975,98945082.7057
2014-05-08,54977679.8315,20.3072,44165619.37,99143299.2015
2014-05-09,82696316.5779,0.0,16682483.694,99378800.2719
2014-05-12,82696316.5779,0.0,16688160.462,99384477.0399
2014-05-13,82696316.5779,0.0,16691944.974,99388261.5519
2014-05-14,82696316.5779,0.0,16691708.442,99388025.0199
2014-05-15,82696316.5779,0.0,16691590.176,99387906.7539
2014-05-16,82696316.5779,0.0,16687923.93,99384240.5079
2014-05-19,82696316.5779,0.0,16691235.378,99387551.9559
2014-05-20,82696316.5779,0.0,16693837.23,99390153.8079
2014-05-21,82696316.5779,0.0,16696320.816,99392637.3939
2014-05-22,82696316.5779,0.0,16715479.908,99411796.4859
2014-05-23,82696316.5779,0.0,16696320.816,99392637.3939
2014-05-26,82696316.5779,0.0,16718081.76,99414398.3379
2014-05-27,82696316.5779,0.0,16724113.326,99420429.9039
2014-05-28,82696316.5779,0.0,16726478.646,99422795.2239
2014-05-29,1666.9102,13229.0273,99416532.7044,99418199.6146
2014-05-30,1666.9102,0.0,99882847.532,99884514.4422
2014-06-03,1666.9102,0.0,99854113.2848,99855780.195
2014-06-04,1666.9102,0.0,99311299.8606,99312966.7708
2014-06-05,27795267.4265,40.1902,73085449.307,100880716.7335
2014-06-06,27795267.4265,0.0,72706175.1334,100501442.5599
2014-06-09,27795267.4265,0.0,71913369.2858,99708636.7123
2014-06-10,27795267.4265,0.0,73075808.3698,100871075.7963
2014-06-11,27795267.4265,0.0,73288279.8888,101083547.3153
2014-06-12,27795267.4265,0.0,73174780.247,100970047.6735
2014-06-13,28059646.5603,42.3074,73681887.8844,101741534.4447
2014-06-16,28281922.4175,35.5698,74013916.8945,102295839.312
2014-06-17,28281922.4175,0.0,73427756.6493,101709679.0668
2014-06-18,28281922.4175,0.0,73019501.9493,101301424.3668
2014-06-19,27518466.1702,122.1335,71799926.349,99318392.5192
2014-06-20,27518466.1702,0.0,72275408.5905,99793874.7607
2014-06-23,27741303.6665,35.6597,72946832.196,100688135.8625
2014-06-24,27741303.6665,0.0,73236340.0838,100977643.7503
2014-06-25,27741303.6665,0.0,72890592.9418,100631896.6083
2014-06-26,27992058.3143,40.1272,73557979.824,101550038.1383
2014-06-27,28172482.9128,28.8726,73698127.8502,101870610.763
2014-06-30,28362419.5001,30.3947,74124796.3116,102487215.8117
2014-07-01,28550761.4227,30.1395,74497820.1896,103048581.6123
2014-07-02,28550761.4227,0.0,74710718.736,103261480.1587
2014-07-03,28550761.4227,0.0,74594583.8174,103145345.2401
2014-07-04,28550761.4227,0.0,74523618.834,103074380.2567
2014-07-07,28550761.4227,0.0,74021973.2252,102572734.6479
2014-07-08,28550761.4227,0.0,74548890.4452,103099651.8679
2014-07-09,28550761.4227,0.0,73302566.7434,101853328.1661
2014-07-10,56256194.9276,126.935,44941496.772,101197691.6996
2014-07-11,56256194.9276,0.0,45029463.804,101285658.7316
2014-07-14,84785379.0657,0.0,16816360.806,101601739.8717
2014-07-15,84785379.0657,0.0,16818844.392,101604223.4577
2014-07-16,84785379.0657,0.0,16812458.028,101597837.0937
2014-07-17,84785379.0657,0.0,16805598.6,101590977.6657
2014-07-18,3166.5848,13562.9839,101575430.757,101578597.3418
2014-07-21,135456.1007,4518.6663,101407568.8316,101543024.9323
2014-07-22,135456.1007,0.0,103051304.776,103186760.8767
2014-07-23,135456.1007,0.0,103222918.3978,103358374.4985
2014-07-24,135456.1007,0.0,104669537.184,104804993.2847
2014-07-25,135456.1007,0.0,106228141.7894,106363597.8901
2014-07-28,135456.1007,0.0,109100339.517,109235795.6177
2014-07-29,135456.1007,0.0,109197825.119,109333281.2197
2014-07-30,135456.1007,0.0,109058186.7262,109193642.8269
2014-07-31,135456.1007,0.0,110818424.595,110953880.6957
2014-08-01,135456.1007,0.0,109465088.1032,109600544.2039
2014-08-04,135456.1007,0.0,112112625.9754,112248082.0761
2014-08-05,135456.1007,0.0,112169030.3484,112304486.4491
2014-08-06,135456.1007,0.0,112807582.7804,112943038.8811
2014-08-07,135456.1007,0.0,110986197.1414,111121653.2421
2014-08-08,135456.1007,0.0,111365256.7286,111500712.8293
2014-08-11,135456.1007,0.0,112842009.925,112977466.0257
2014-08-12,135456.1007,0.0,112785797.9706,112921254.0713
2014-08-13,135456.1007,0.0,112989643.623,113125099.7237
2014-08-14,135456.1007,0.0,111452959.7384,111588415.8391
2014-08-15,135456.1007,0.0,112637330.9198,112772787.0205
2014-08-18,135456.1007,0.0,113314950.0194,113450406.1201
2014-08-19,84.9523,5332.6808,113045845.4836,113045930.4359
2014-08-20,84.9523,0.0,112760393.6036,112760478.5559
