date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2014-04-16,1623.2156,9998400.5156,9996777.3,0.99984,10000000.0,1.0
2014-04-17,1623.2156,9977918.3396,9976295.124,0.997792,10000000.0,0.9998
2014-04-18,1623.2156,9975078.7726,9973455.557,0.997508,10000000.0,0.9978
2014-04-21,440878.5305,9894277.0755,9453398.545,0.989428,10000000.0,0.9975
2014-04-22,440878.5305,9927018.0395,9486139.509,0.992702,10000000.0,0.9894
2014-04-23,440878.5305,9926402.8485,9485524.318,0.99264,10000000.0,0.9927
2014-04-24,521714.5147,9924545.5497,9402831.035,0.992455,10000000.0,0.9926
2014-04-25,497676.6613,9886366.3353,9388689.674,0.988637,10000000.0,0.9925
2014-04-28,396680.9635,9838867.1195,9442186.156,0.983887,10000000.0,0.9886
2014-04-29,366662.2713,9884053.8823,9517391.611,0.988405,10000000.0,0.9839
2014-04-30,438673.2117,9885831.4647,9447158.253,0.988583,10000000.0,0.9884
2014-05-05,534360.1074,9874113.7674,9339753.66,0.987411,10000000.0,0.9886
2014-05-06,2778422.9551,9876393.3391,7097970.384,0.987639,10000000.0,0.9874
2014-05-07,2778422.9551,9877350.0271,7098927.072,0.987735,10000000.0,0.9876
2014-05-08,2778422.9551,9878457.7711,7100034.816,0.987846,10000000.0,0.9877
2014-05-09,2778422.9551,9881025.7231,7102602.768,0.988103,10000000.0,0.9878
2014-05-12,2778422.9551,9883442.6191,7105019.664,0.988344,10000000.0,0.9881
2014-05-13,2778422.9551,9885053.8831,7106630.928,0.988505,10000000.0,0.9883
2014-05-14,2778422.9551,9884953.1791,7106530.224,0.988495,10000000.0,0.9885
2014-05-15,2778422.9551,9884902.8271,7106479.872,0.98849,10000000.0,0.9885
2014-05-16,2778422.9551,9883341.9151,7104918.96,0.988334,10000000.0,0.9885
2014-05-19,2778422.9551,9884751.7711,7106328.816,0.988475,10000000.0,0.9883
2014-05-20,2778422.9551,9885859.5151,7107436.56,0.988586,10000000.0,0.9885
2014-05-21,2778422.9551,9886916.9071,7108493.952,0.988692,10000000.0,0.9886
2014-05-22,2778422.9551,9895073.9311,7116650.976,0.989507,10000000.0,0.9887
2014-05-23,2778422.9551,9886916.9071,7108493.952,0.988692,10000000.0,0.9895
2014-05-26,2778422.9551,9896181.6751,7117758.72,0.989618,10000000.0,0.9887
2014-05-27,2778422.9551,9898749.6271,7120326.672,0.989875,10000000.0,0.9896
2014-05-28,268789.824,9899355.19,9630565.366,0.989936,10000000.0,0.9899
2014-05-29,221470.6222,9856624.9502,9635154.328,0.985662,10000000.0,0.9899
2014-05-30,237285.6154,9865912.7414,9628627.126,0.986591,10000000.0,0.9857
2014-06-03,237285.6154,9873942.2014,9636656.586,0.987394,10000000.0,0.9866
2014-06-04,267680.2654,9876651.0514,9608970.786,0.987665,10000000.0,0.9874
2014-06-05,308338.2191,9940052.7491,9631714.53,0.994005,10000000.0,0.9877
2014-06-06,294831.5884,9931113.4774,9636281.889,0.993111,10000000.0,0.994
2014-06-09,253698.0831,9887563.7091,9633865.626,0.988756,10000000.0,0.9931
2014-06-10,253698.0831,9945652.8851,9691954.802,0.994565,10000000.0,0.9888
2014-06-11,319322.2056,9973300.5816,9653978.376,0.99733,10000000.0,0.9946
2014-06-12,319322.2056,9965133.5116,9645811.306,0.996513,10000000.0,0.9973
2014-06-13,319322.2056,10001101.8756,9681779.67,1.00011,10000000.0,0.9965
2014-06-16,319322.2056,10027843.1116,9708520.906,1.002784,10000000.0,1.0001
2014-06-17,238040.7736,9996127.2366,9758086.463,0.999613,10000000.0,1.0028
2014-06-18,220306.0535,9965694.2235,9745388.17,0.996569,10000000.0,0.9996
2014-06-19,150300.1393,9885277.8083,9734977.669,0.988528,10000000.0,0.9966
2014-06-20,163637.825,9912947.135,9749309.31,0.991295,10000000.0,0.9885
2014-06-23,310632.866,9965990.705,9655357.839,0.996599,10000000.0,0.9913
2014-06-24,310632.866,9984814.925,9674182.059,0.998481,10000000.0,0.9966
2014-06-25,287531.1343,9966724.5023,9679193.368,0.996672,10000000.0,0.9985
2014-06-26,344359.2334,10017437.2144,9673077.981,1.001744,10000000.0,0.9967
2014-06-27,344359.2334,10022267.6044,9677908.371,1.002227,10000000.0,1.0017
2014-06-30,383684.8203,10053069.1303,9669384.31,1.005307,10000000.0,1.0022
2014-07-01,383684.8203,10066623.4363,9682938.616,1.006662,10000000.0,1.0053
2014-07-02,404980.4674,10082532.8694,9677552.402,1.008253,10000000.0,1.0067
2014-07-03,404980.4674,10087675.8334,9682695.366,1.008768,10000000.0,1.0083
2014-07-04,404980.4674,10066417.7434,9661437.276,1.006642,10000000.0,1.0088
2014-07-07,370127.6669,10037674.1579,9667546.491,1.003767,10000000.0,1.0066
2014-07-08,391285.1561,10069284.8801,9677999.724,1.006928,10000000.0,1.0038
2014-07-09,337277.9354,10023081.0644,9685803.129,1.002308,10000000.0,1.0069
2014-07-10,309995.9309,9985011.5209,9675015.59,0.998501,10000000.0,1.0023
2014-07-11,309995.9309,9978338.1089,9668342.178,0.997834,10000000.0,0.9985
2014-07-14,2834570.2244,9994171.4564,7159601.232,0.999417,10000000.0,0.9978
2014-07-15,2834570.2244,9995228.8484,7160658.624,0.999523,10000000.0,0.9994
2014-07-16,2834570.2244,9992509.8404,7157939.616,0.999251,10000000.0,0.9995
2014-07-17,2834570.2244,9989589.4244,7155019.2,0.998959,10000000.0,0.9993
2014-07-18,2834570.2244,9990092.9444,7155522.72,0.999009,10000000.0,0.999
2014-07-21,2834570.2244,9992560.1924,7157989.968,0.999256,10000000.0,0.999
2014-07-22,329529.9191,9993518.9541,9663989.035,0.999352,10000000.0,0.9993
2014-07-23,329529.9191,10010277.7441,9680747.825,1.001028,10000000.0,0.9994
2014-07-24,308752.0551,10067097.1851,9758345.13,1.00671,10000000.0,1.001
2014-07-25,308752.0551,10093089.4941,9784337.439,1.009309,10000000.0,1.0067
2014-07-28,172430.7552,10177871.0832,10005440.328,1.017787,10000000.0,1.0093
