date,cash,transaction_cost,market_value,total_value
2014-04-16,1623.2156,1599.4844,9996777.3,9998400.5156
2014-04-17,1623.2156,0.0,9976295.124,9977918.3396
2014-04-18,1623.2156,0.0,9973455.557,9975078.7726
2014-04-21,440878.5305,70.2921,9453398.545,9894277.0755
2014-04-22,440878.5305,0.0,9486139.509,9927018.0395
2014-04-23,440878.5305,0.0,9485524.318,9926402.8485
2014-04-24,521714.5147,12.9358,9402831.035,9924545.5497
2014-04-25,497676.6613,3.8454,9388689.674,9886366.3353
2014-04-28,396680.9635,16.1567,9442186.156,9838867.1195
2014-04-29,366662.2713,4.8022,9517391.611,9884053.8823
2014-04-30,438673.2117,11.5236,9447158.253,9885831.4647
2014-05-05,534360.1074,15.3124,9339753.66,9874113.7674
2014-05-06,2778422.9551,301.7596,7097970.384,9876393.3391
2014-05-07,2778422.9551,0.0,7098927.072,9877350.0271
2014-05-08,2778422.9551,0.0,7100034.816,9878457.7711
2014-05-09,2778422.9551,0.0,7102602.768,9881025.7231
2014-05-12,2778422.9551,0.0,7105019.664,9883442.6191
2014-05-13,2778422.9551,0.0,7106630.928,9885053.8831
2014-05-14,2778422.9551,0.0,7106530.224,9884953.1791
2014-05-15,2778422.9551,0.0,7106479.872,9884902.8271
2014-05-16,2778422.9551,0.0,7104918.96,9883341.9151
2014-05-19,2778422.9551,0.0,7106328.816,9884751.7711
2014-05-20,2778422.9551,0.0,7107436.56,9885859.5151
2014-05-21,2778422.9551,0.0,7108493.952,9886916.9071
2014-05-22,2778422.9551,0.0,7116650.976,9895073.9311
2014-05-23,2778422.9551,0.0,7108493.952,9886916.9071
2014-05-26,2778422.9551,0.0,7117758.72,9896181.6751
2014-05-27,2778422.9551,0.0,7120326.672,9898749.6271
2014-05-28,268789.824,401.4771,9630565.366,9899355.19
2014-05-29,221470.6222,7.5699,9635154.328,9856624.9502
2014-05-30,237285.6154,2.5308,9628627.126,9865912.7414
2014-06-03,237285.6154,0.0,9636656.586,9873942.2014
2014-06-04,267680.2654,4.8639,9608970.786,9876651.0514
2014-06-05,308338.2191,6.5063,9631714.53,9940052.7491
2014-06-06,294831.5884,2.1607,9636281.889,9931113.4774
2014-06-09,253698.0831,6.5803,9633865.626,9887563.7091
