date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2014-04-16,1349.7755,99984002.7755,99982653.0,0.99984,100000000.0,1.0
2014-04-17,1349.7755,99760394.8235,99759045.048,0.997604,100000000.0,0.9998
2014-04-18,1349.7755,99728573.4145,99727223.639,0.997286,100000000.0,0.9976
2014-04-21,1349.7755,98850252.0295,98848902.254,0.988503,100000000.0,0.9973
2014-04-22,1349.7755,99243123.2365,99241773.461,0.992431,100000000.0,0.9885
2014-04-23,1349.7755,99240532.5695,99239182.794,0.992405,100000000.0,0.9924
2014-04-24,1349.7755,99217747.8095,99216398.034,0.992177,100000000.0,0.9924
2014-04-25,1349.7755,98751946.0195,98750596.244,0.987519,100000000.0,0.9922
2014-04-28,1349.7755,98175285.6095,98173935.834,0.981753,100000000.0,0.9875
2014-04-29,1349.7755,98709376.6345,98708026.859,0.987094,100000000.0,0.9818
2014-04-30,1349.7755,98724225.3225,98722875.547,0.987242,100000000.0,0.9871
2014-05-05,1349.7755,98576715.1755,98575365.4,0.985767,100000000.0,0.9872
2014-05-06,70852040.5529,98594910.0209,27742869.468,0.985949,100000000.0,0.9858
2014-05-07,70852040.5529,98598649.2969,27746608.744,0.985986,100000000.0,0.9859
2014-05-08,70852040.5529,98602978.9849,27750938.432,0.98603,100000000.0,0.986
2014-05-09,70852040.5529,98613015.9889,27760975.436,0.98613,100000000.0,0.986
2014-05-12,70852040.5529,98622462.5809,27770422.028,0.986225,100000000.0,0.9861
2014-05-13,70852040.5529,98628760.3089,27776719.756,0.986288,100000000.0,0.9862
2014-05-14,70852040.5529,98628366.7009,27776326.148,0.986284,100000000.0,0.9863
2014-05-15,70852040.5529,98628169.8969,27776129.344,0.986282,100000000.0,0.9863
2014-05-16,70852040.5529,98622068.9729,27770028.42,0.986221,100000000.0,0.9863
2014-05-19,70852040.5529,98627579.4849,27775538.932,0.986276,100000000.0,0.9862
2014-05-20,70852040.5529,98631909.1729,27779868.62,0.986319,100000000.0,0.9863
2014-05-21,70852040.5529,98636042.0569,27784001.504,0.98636,100000000.0,0.9863
2014-05-22,70852040.5529,98667924.3049,27815883.752,0.986679,100000000.0,0.9864
2014-05-23,70852040.5529,98636042.0569,27784001.504,0.98636,100000000.0,0.9867
2014-05-26,70852040.5529,98672253.9929,27820213.44,0.986723,100000000.0,0.9864
2014-05-27,70852040.5529,98682290.9969,27830250.444,0.986823,100000000.0,0.9867
2014-05-28,1106.491,98674892.741,98673786.25,0.986749,100000000.0,0.9868
2014-05-29,1106.491,97379359.779,97378253.288,0.973794,100000000.0,0.9867
2014-05-30,1106.491,97593571.713,97592465.222,0.975936,100000000.0,0.9738
2014-06-03,1106.491,97693095.713,97691989.222,0.976931,100000000.0,0.9759
2014-06-04,1106.491,97798907.871,97797801.38,0.977989,100000000.0,0.9769
2014-06-05,1106.491,99585619.663,99584513.172,0.995856,100000000.0,0.978
2014-06-06,1106.491,99320615.581,99319509.09,0.993206,100000000.0,0.9959
2014-06-09,1106.491,98065098.993,98063992.502,0.980651,100000000.0,0.9932
