date,cash,transaction_cost,market_value,total_value
2014-04-16,1349.7755,15997.2245,99982653.0,99984002.7755
2014-04-17,1349.7755,0.0,99759045.048,99760394.8235
2014-04-18,1349.7755,0.0,99727223.639,99728573.4145
2014-04-21,1349.7755,0.0,98848902.254,98850252.0295
2014-04-22,1349.7755,0.0,99241773.461,99243123.2365
2014-04-23,1349.7755,0.0,99239182.794,99240532.5695
2014-04-24,1349.7755,0.0,99216398.034,99217747.8095
2014-04-25,1349.7755,0.0,98750596.244,98751946.0195
2014-04-28,1349.7755,0.0,98173935.834,98175285.6095
2014-04-29,1349.7755,0.0,98708026.859,98709376.6345
2014-04-30,1349.7755,0.0,98722875.547,98724225.3225
2014-05-05,1349.7755,0.0,98575365.4,98576715.1755
2014-05-06,70852040.5529,3251.6463,27742869.468,98594910.0209
2014-05-07,70852040.5529,0.0,27746608.744,98598649.2969
2014-05-08,70852040.5529,0.0,27750938.432,98602978.9849
2014-05-09,70852040.5529,0.0,27760975.436,98613015.9889
2014-05-12,70852040.5529,0.0,27770422.028,98622462.5809
2014-05-13,70852040.5529,0.0,27776719.756,98628760.3089
2014-05-14,70852040.5529,0.0,27776326.148,98628366.7009
2014-05-15,70852040.5529,0.0,27776129.344,98628169.8969
2014-05-16,70852040.5529,0.0,27770028.42,98622068.9729
2014-05-19,70852040.5529,0.0,27775538.932,98627579.4849
2014-05-20,70852040.5529,0.0,27779868.62,98631909.1729
2014-05-21,70852040.5529,0.0,27784001.504,98636042.0569
2014-05-22,70852040.5529,0.0,27815883.752,98667924.3049
2014-05-23,70852040.5529,0.0,27784001.504,98636042.0569
2014-05-26,70852040.5529,0.0,27820213.44,98672253.9929
2014-05-27,70852040.5529,0.0,27830250.444,98682290.9969
2014-05-28,1106.491,11334.336,98673786.25,98674892.741
2014-05-29,1106.491,0.0,97378253.288,97379359.779
2014-05-30,1106.491,0.0,97592465.222,97593571.713
2014-06-03,1106.491,0.0,97691989.222,97693095.713
2014-06-04,1106.491,0.0,97797801.38,97798907.871
2014-06-05,1106.491,0.0,99584513.172,99585619.663
2014-06-06,1106.491,0.0,99319509.09,99320615.581
2014-06-09,1106.491,0.0,98063992.502,98065098.993
2014-06-10,1106.491,0.0,99529392.618,99530499.109
2014-06-11,1106.491,0.0,100252985.592,100254092.083
2014-06-12,1106.491,0.0,100054224.282,100055330.773
2014-06-13,1106.491,0.0,101063253.73,101064360.221
2014-06-16,1106.491,0.0,101756582.242,101757688.733
2014-06-17,1106.491,0.0,100801442.498,100802548.989
2014-06-18,1106.491,0.0,100071099.066,100072205.557
2014-06-19,1106.491,0.0,97787614.438,97788720.929
2014-06-20,1106.491,0.0,98498596.82,98499703.311
2014-06-23,1106.491,0.0,99941999.506,99943105.997
2014-06-24,1106.491,0.0,100388261.142,100389367.633
2014-06-25,1106.491,0.0,99827218.192,99828324.683
2014-06-26,1106.491,0.0,101283210.434,101284316.925
2014-06-27,1106.491,0.0,101418484.702,101419591.193
2014-06-30,1106.491,0.0,102266707.32,102267813.811
2014-07-01,1106.491,0.0,102642164.152,102643270.643
2014-07-02,1106.491,0.0,103080769.554,103081876.045
2014-07-03,1106.491,0.0,103223391.382,103224497.873
2014-07-04,1106.491,0.0,102636388.952,102637495.443
2014-07-07,1106.491,0.0,101708381.382,101709487.873
2014-07-08,1106.491,0.0,102604026.898,102605133.389
2014-07-09,1106.491,0.0,101222911.466,101224017.957
2014-07-10,1106.491,0.0,100126931.964,100128038.455
2014-07-11,1106.491,0.0,99893430.06,99894536.551
2014-07-14,72315739.7181,0.0,27983757.564,100299497.2821
2014-07-15,72315739.7181,0.0,27987890.448,100303630.1661
2014-07-16,72315739.7181,0.0,27977263.032,100293002.7501
2014-07-17,72315739.7181,0.0,27965848.4,100281588.1181
2014-07-18,72315739.7181,0.0,27967816.44,100283556.1581
2014-07-21,72315739.7181,0.0,27977459.836,100293199.5541
2014-07-22,615.6742,11568.5689,100286329.019,100286944.6932
2014-07-23,615.6742,0.0,100782686.729,100783302.4032
2014-07-24,615.6742,0.0,102407956.702,102408572.3762
2014-07-25,615.6742,0.0,103101250.441,103101866.1152
2014-07-28,1478038.8207,236.4255,104024720.532,105502759.3527
2014-07-29,1478038.8207,0.0,104169020.806,105647059.6267
2014-07-30,939153.3628,86.2079,104271510.812,105210664.1748
2014-07-31,1452020.8309,82.0719,104744052.736,106196073.5669
2014-08-01,1452020.8309,0.0,104081663.196,105533684.0269
2014-08-04,3331200.1641,300.7168,103880750.727,107211950.8911
2014-08-05,3331200.1641,0.0,103458469.367,106789669.5311
2014-08-06,3610797.7893,44.7428,102699104.838,106309902.6273
2014-08-07,5889974.7226,364.7267,99253173.921,105143148.6436
2014-08-08,5889974.7226,0.0,99337976.4,105227951.1226
2014-08-11,7591333.7026,272.261,98686206.036,106277539.7386
2014-08-12,8519743.5453,148.5693,97281334.704,105801078.2493
2014-08-13,8519743.5453,0.0,97360875.564,105880619.1093
2014-08-14,10041298.4685,243.4877,95221346.145,105262644.6135
2014-08-15,1.5628,1795.3357,105863194.631,105863196.1938
2014-08-18,1.5628,0.0,106039196.201,106039197.7638
2014-08-19,263.8496,10748.8385,105881760.617,105882024.4666
2014-08-20,263.8496,0.0,105467717.489,105467981.3386
2014-08-21,263.8496,0.0,106434653.121,106434916.9706
2014-08-22,263.8496,0.0,107092037.122,107092300.9716
2014-08-25,263.8496,0.0,106269844.856,106270108.7056
2014-08-26,263.8496,0.0,104738996.017,104739259.8666
2014-08-27,263.8496,0.0,105176538.139,105176801.9886
2014-08-28,263.8496,0.0,104396088.119,104396351.9686
2014-08-29,1734989.4911,277.6005,103622580.597,105357570.0881
2014-09-01,1203163.8746,85.0785,105468522.623,106671686.4976
2014-09-02,2725089.6145,243.5471,104514777.372,107239866.9865
2014-09-03,1302.5393,435.7362,107804313.819,107805616.3583
2014-09-04,1302.5393,0.0,108642990.196,108644292.7353
2014-09-05,1302.5393,0.0,108390728.104,108392030.6433
2014-09-09,1302.5393,0.0,108602944.014,108604246.5533
2014-09-10,1302.5393,0.0,109114244.552,109115547.0913
2014-09-11,1302.5393,0.0,109500019.553,109501322.0923
2014-09-12,1302.5393,0.0,110022217.163,110023519.7023
2014-09-15,1302.5393,0.0,110127983.88,110129286.4193
2014-09-16,1302.5393,0.0,107660710.612,107662013.1513
2014-09-17,1302.5393,0.0,107945637.845,107946940.3843
2014-09-18,1302.5393,0.0,108487309.144,108488611.6833
2014-09-19,1302.5393,0.0,108906137.662,108907440.2013
2014-09-22,1302.5393,0.0,108196964.026,108198266.5653
2014-09-23,1302.5393,0.0,109036196.268,109037498.8073
2014-09-24,1302.5393,0.0,109802799.998,109804102.5373
2014-09-25,1302.5393,0.0,109380440.21,109381742.7493
2014-09-26,1302.5393,0.0,109526533.228,109527835.7673
2014-09-29,1302.5393,0.0,110245453.398,110246755.9373
2014-09-30,1302.5393,0.0,110959627.739,110960930.2783
2014-10-08,1302.5393,0.0,111773525.182,111774827.7213
2014-10-09,1302.5393,0.0,111947872.287,111949174.8263
2014-10-10,1302.5393,0.0,111635412.444,111636714.9833
2014-10-13,1302.5393,0.0,111372159.836,111373462.3753
2014-10-14,1302.5393,0.0,110958496.803,110959799.3423
2014-10-15,1302.5393,0.0,111274045.3,111275347.8393
2014-10-16,1302.5393,0.0,110401022.409,110402324.9483
2014-10-17,1302.5393,0.0,109646972.51,109648275.0493
2014-10-20,71585705.562,0.0,39084684.253,110670389.815
2014-10-21,650.6074,11451.7765,110664528.78,110665179.3874
2014-10-22,650.6074,0.0,110055982.049,110056632.6564
2014-10-23,650.6074,0.0,108797299.174,108797949.7814
2014-10-24,69681415.5089,0.0,39107478.745,108788894.2539
2014-10-27,69681415.5089,0.0,39188073.556,108869489.0649
2014-10-28,1382.2912,11147.0218,108855060.211,108856442.5022
2014-10-29,1382.2912,0.0,109219452.591,109220834.8822
2014-10-30,1382.2912,0.0,109029448.714,109030831.0052
2014-10-31,1382.2912,0.0,108474653.446,108476035.7372
2014-11-03,1397.1795,11200.8522,109231662.075,109233059.2545
2014-11-04,1397.1795,0.0,109203346.797,109204743.9765
2014-11-05,1397.1795,0.0,108876272.836,108877670.0155
2014-11-06,1397.1795,0.0,108813958.168,108815355.3475
2014-11-07,1397.1795,0.0,108915677.255,108917074.4345
2014-11-10,1397.1795,0.0,110916517.145,110917914.3245
2014-11-11,1397.1795,0.0,111374077.586,111375474.7655
2014-11-12,1397.1795,0.0,112237585.234,112238982.4135
2014-11-13,1397.1795,0.0,111919777.934,111921175.1135
2014-11-14,1397.1795,0.0,112088268.987,112089666.1665
2014-11-17,1397.1795,0.0,111288225.696,111289622.8755
2014-11-18,1397.1795,0.0,110178964.17,110180361.3495
2014-11-19,1397.1795,0.0,109883318.26,109884715.4395
2014-11-20,1397.1795,0.0,109978063.54,109979460.7195
