date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2014-04-16,2564.5855,99984002.9699,99981438.3844,0.99984,100000000.0,1.0
2014-04-17,485.4412,99937796.5142,99937311.073,0.999378,100000000.0,0.9998
2014-04-18,485.4412,100190816.8262,100190331.385,1.001908,100000000.0,0.9994
2014-04-21,485.4412,98732027.7982,98731542.357,0.98732,100000000.0,1.0019
2014-04-22,485.4412,98882854.6942,98882369.253,0.988829,100000000.0,0.9873
2014-04-23,4755.4137,98529629.0545,98524873.6408,0.985296,100000000.0,0.9888
2014-04-24,2446.6486,98342548.2093,98340101.5607,0.983425,100000000.0,0.9853
2014-04-25,2619368.034,96885080.8271,94265712.7931,0.968851,100000000.0,0.9834
2014-04-28,4336157.287,95363673.2226,91027515.9356,0.953637,100000000.0,0.9689
2014-04-29,43328038.8713,96739333.0012,53411294.1299,0.967393,100000000.0,0.9536
2014-04-30,43499782.0222,96622340.4604,53122558.4382,0.966223,100000000.0,0.9674
2014-05-05,41290480.6516,96960860.9586,55670380.307,0.969609,100000000.0,0.9662
2014-05-06,39941782.9929,96810902.6253,56869119.6324,0.968109,100000000.0,0.9696
2014-05-07,40250459.7817,96806843.0317,56556383.25,0.968068,100000000.0,0.9681
2014-05-08,40429852.3031,97094718.1767,56664865.8736,0.970947,100000000.0,0.9681
2014-05-09,80861130.6457,97435422.0867,16574291.441,0.974354,100000000.0,0.9709
2014-05-12,80861130.6457,97441062.0387,16579931.393,0.974411,100000000.0,0.9744
2014-05-13,80861130.6457,97444822.0067,16583691.361,0.974448,100000000.0,0.9744
2014-05-14,80861130.6457,97444587.0087,16583456.363,0.974446,100000000.0,0.9744
2014-05-15,80861130.6457,97444469.5097,16583338.864,0.974445,100000000.0,0.9744
2014-05-16,80861130.6457,97440827.0407,16579696.395,0.974408,100000000.0,0.9744
2014-05-19,80861130.6457,97444117.0127,16582986.367,0.974441,100000000.0,0.9744
2014-05-20,80861130.6457,97446701.9907,16585571.345,0.974467,100000000.0,0.9744
2014-05-21,80861130.6457,97449169.4697,16588038.824,0.974492,100000000.0,0.9745
2014-05-22,80861130.6457,97468204.3077,16607073.662,0.974682,100000000.0,0.9745
2014-05-23,80861130.6457,97449169.4697,16588038.824,0.974492,100000000.0,0.9747
