date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2015-11-02,1318.4534,99984002.7705,99982684.3171,0.99984,100000000.0,1.0
2015-11-03,9665974.5002,100109904.808,90443930.3078,1.001099,100000000.0,0.9998
2015-11-04,3461.6905,101064760.4461,101061298.7556,1.010648,100000000.0,1.0011
2015-11-05,10558187.2967,101909943.7112,91351756.4145,1.019099,100000000.0,1.0106
2015-11-06,2379.9039,102879950.5747,102877570.6708,1.0288,100000000.0,1.0191
2015-11-09,11096728.563,102778637.6048,91681909.0418,1.027786,100000000.0,1.0288
2015-11-10,11096728.563,102999215.8847,91902487.3217,1.029992,100000000.0,1.0278
2015-11-11,11241969.0828,103266131.2681,92024162.1853,1.032661,100000000.0,1.03
2015-11-12,11119056.934,103022954.5657,91903897.6317,1.03023,100000000.0,1.0327
2015-11-13,11119056.934,103136118.1552,92017061.2212,1.031361,100000000.0,1.0302
2015-11-16,11119056.934,103009164.0829,91890107.1489,1.030092,100000000.0,1.0314
2015-11-17,11119056.934,103131829.0528,92012772.1188,1.031318,100000000.0,1.0301
2015-11-18,10926383.5592,102689880.5312,91763496.972,1.026899,100000000.0,1.0313
2015-11-19,11060188.307,102987223.2926,91927034.9856,1.029872,100000000.0,1.0269
2015-11-20,11060188.307,102799997.3843,91739809.0773,1.028,100000000.0,1.0299
2015-11-23,10884185.188,102677524.3714,91793339.1834,1.026775,100000000.0,1.028
2015-11-24,11006720.6792,102932253.5265,91925532.8473,1.029323,100000000.0,1.0268
2015-11-25,11006720.6792,102981737.565,91975016.8858,1.029817,100000000.0,1.0293
2015-11-26,11006720.6792,102915668.5447,91908947.8655,1.029157,100000000.0,1.0298
2015-11-27,4540.1829,101921782.8223,101917242.6394,1.019218,100000000.0,1.0292
2015-11-30,10513906.2251,101841145.9794,91327239.7543,1.018411,100000000.0,1.0192
2015-12-01,10513906.2251,101834146.5474,91320240.3223,1.018341,100000000.0,1.0184
