date,cash,transaction_cost,market_value,total_value
2014-04-16,1638.6959,15997.1783,99982364.1258,99984002.8217
2014-04-17,58277.2484,9.0636,99919283.8662,99977561.1146
2014-04-18,1077566.0444,163.1123,99001127.2143,100078693.2587
2014-04-21,6060529.0545,797.4017,93517254.3424,99577783.3969
2014-04-22,6844828.1757,125.5079,92771206.3992,99616034.5749
2014-04-23,6858189.1522,1582.7169,92638752.0028,99496941.155
2014-04-24,9790540.096,469.2512,89653467.8628,99444007.9588
2014-04-25,6598953.0391,510.5722,92529831.9023,99128784.9414
2014-04-28,4194264.0366,384.6887,94545353.9712,98739618.0078
2014-04-29,15020283.6363,0.0,84115204.1184,99135487.7547
2014-04-30,15020283.6363,0.0,84111609.6064,99131893.2427
2014-05-05,15020283.6363,0.0,84250985.68,99271269.3163
2014-05-06,15020283.6363,0.0,84252053.7568,99272337.3931
2014-05-07,15020283.6363,0.0,84260167.344,99280450.9803
2014-05-08,15020283.6363,0.0,84351413.5488,99371697.1851
2014-05-09,26385284.4843,0.0,73106930.048,99492214.5323
2014-05-12,26385284.4843,0.0,73131807.104,99517091.5883
2014-05-13,26385284.4843,0.0,73148391.808,99533676.2923
2014-05-14,26385284.4843,0.0,73147355.264,99532639.7483
2014-05-15,26385284.4843,0.0,73146836.992,99532121.4763
2014-05-16,26385284.4843,0.0,73130770.56,99516055.0443
2014-05-19,26385284.4843,0.0,73145282.176,99530566.6603
2014-05-20,26385284.4843,0.0,73156684.16,99541968.6443
2014-05-21,26385284.4843,0.0,73167567.872,99552852.3563
2014-05-22,16289874.8692,1615.0071,83345322.544,99635197.4132
2014-05-23,16289874.8692,0.0,83249793.088,99539667.9572
2014-05-26,16289874.8692,0.0,83358295.68,99648170.5492
2014-05-27,16289874.8692,0.0,83388369.768,99678244.6372
2014-05-28,16289874.8692,0.0,83400163.528,99690038.3972
2014-05-29,2703.3866,2605.5306,99727776.704,99730480.0906
2014-05-30,2703.3866,0.0,99873773.952,99876477.3386
2014-06-03,2703.3866,0.0,99885671.464,99888374.8506
2014-06-04,2703.3866,0.0,99688237.896,99690941.2826
2014-06-05,1057.7308,1350.5475,99876257.664,99877315.3948
2014-06-06,1057.7308,0.0,99769019.6145,99770077.3453
2014-06-09,1057.7308,0.0,99545249.1305,99546306.8613
2014-06-10,793658.3685,126.8364,99164765.1364,99958423.5049
2014-06-11,4156843.2964,538.1957,95883169.2108,100040012.5072
2014-06-12,4520055.3811,58.1232,95478279.051,99998334.4321
2014-06-13,4520055.3811,0.0,95652576.1348,100172631.5159
2014-06-16,4778824.2895,41.4097,95545360.6005,100324184.89
2014-06-17,4778824.2895,0.0,95443743.6993,100222567.9888
2014-06-18,4778824.2895,0.0,95304317.3953,100083141.6848
2014-06-19,1122800.6923,584.8702,98573867.1102,99696667.8025
2014-06-20,1860093.1638,117.9857,97983236.6849,99843329.8487
2014-06-23,4970145.9677,497.6881,95099983.067,100070129.0347
2014-06-24,4970145.9677,0.0,95201171.9187,100171317.8864
2014-06-25,4793469.111,28.2638,95326244.0647,100119713.1757
2014-06-26,5859791.5071,170.6389,94442888.7835,100302680.2906
2014-06-27,5859791.5071,0.0,94505741.2077,100365532.7148
2014-06-30,5859791.5071,0.0,94643385.2696,100503176.7767
2014-07-01,6028132.5176,26.9389,94592469.7324,100620602.25
2014-07-02,6198745.2992,27.3024,94475437.652,100674182.9512
2014-07-03,6198745.2992,0.0,94459415.7954,100658161.0946
2014-07-04,6416308.9504,34.8158,94208773.061,100625082.0114
2014-07-07,6416308.9504,0.0,94150297.2684,100566606.2188
2014-07-08,6416308.9504,0.0,94260614.0124,100676922.9628
2014-07-09,6416308.9504,0.0,94041034.7543,100457343.7047
2014-07-10,6207678.7581,778.4683,94126816.113,100334494.8711
2014-07-11,6207678.7581,0.0,94199541.345,100407220.1031
2014-07-14,6207678.7581,0.0,94381746.586,100589425.3441
