date,order_book_id,symbol,quantity,last_price,avg_price,market_value
2014-04-16,399975.XSHE,证券公司,70206.0,519.2674,519.2674,36455687.0844
2014-04-16,000819.XSHG,有色金属,11546.0,3157.238,3157.238,36453469.948
2014-04-16,000012.XSHG,国债指数,192436.0,140.682,140.682,27072281.352
2014-04-17,399975.XSHE,证券公司,70206.0,519.7029,519.2674,36486261.7974
2014-04-17,000819.XSHG,有色金属,11546.0,3150.188,3157.238,36372070.648
2014-04-17,000012.XSHG,国债指数,192436.0,140.706,140.682,27076899.816
2014-04-18,399975.XSHE,证券公司,70206.0,521.9277,519.2674,36642456.1062
2014-04-18,000819.XSHG,有色金属,11546.0,3158.29,3157.238,36465616.34
2014-04-18,000012.XSHG,国债指数,192436.0,140.723,140.682,27080171.228
2014-04-21,399975.XSHE,证券公司,70206.0,509.1779,519.2674,35747343.6474
2014-04-21,000819.XSHG,有色金属,11546.0,3108.741,3157.238,35893523.586
2014-04-21,000012.XSHG,国债指数,192436.0,140.767,140.682,27088638.412
2014-04-22,399975.XSHE,证券公司,70206.0,513.4279,519.2674,36045719.1474
2014-04-22,000819.XSHG,有色金属,11546.0,3096.127,3157.238,35747882.342
2014-04-22,000012.XSHG,国债指数,192436.0,140.757,140.682,27086714.052
2014-04-23,399975.XSHE,证券公司,70359.0,507.8456,519.2426,35731508.5704
2014-04-23,000012.XSHG,国债指数,192436.0,140.71,140.682,27077669.56
2014-04-24,399975.XSHE,证券公司,80728.0,507.5891,517.7457,40976652.8648
2014-04-24,000012.XSHG,国债指数,117706.0,140.717,140.682,16563235.202
2014-04-24,399932.XSHE,800消费,7602.0,5389.293,5389.293,40969405.386
2014-04-25,399975.XSHE,证券公司,80728.0,502.8207,517.7457,40591709.4696
2014-04-25,000012.XSHG,国债指数,117706.0,140.718,140.682,16563352.908
2014-04-25,399932.XSHE,800消费,7602.0,5236.912,5389.293,39811005.024
2014-04-28,399975.XSHE,证券公司,80728.0,494.7646,517.7457,39941356.6288
2014-04-28,000012.XSHG,国债指数,117706.0,140.725,140.682,16564176.85
2014-04-28,399932.XSHE,800消费,7602.0,5110.772,5389.293,38852088.744
2014-04-29,399975.XSHE,证券公司,79363.0,505.4357,517.7457,40112893.4591
2014-04-29,000012.XSHG,国债指数,117706.0,140.735,140.682,16565353.91
2014-04-30,399975.XSHE,证券公司,79490.0,503.7262,517.7234,40041195.638
2014-04-30,000012.XSHG,国债指数,117706.0,140.801,140.682,16573122.506
2014-05-05,399975.XSHE,证券公司,79135.0,508.2715,517.7234,40222065.1525
2014-05-05,000012.XSHG,国债指数,117706.0,140.876,140.682,16581950.456
2014-05-06,399975.XSHE,证券公司,79297.0,506.1869,517.6998,40139102.6093
2014-05-06,000012.XSHG,国债指数,117706.0,140.967,140.682,16592661.702
2014-05-07,399975.XSHE,证券公司,79297.0,506.1085,517.6998,40132885.7245
2014-05-07,000012.XSHG,国债指数,117706.0,140.986,140.682,16594898.116
2014-05-08,399975.XSHE,证券公司,79024.0,509.7194,517.6998,40280065.8656
2014-05-08,000012.XSHG,国债指数,117706.0,141.008,140.682,16597487.648
2014-05-09,000012.XSHG,国债指数,117706.0,141.059,140.682,16603490.654
2014-05-12,000012.XSHG,国债指数,117706.0,141.107,140.682,16609140.542
2014-05-13,000012.XSHG,国债指数,117706.0,141.139,140.682,16612907.134
2014-05-14,000012.XSHG,国债指数,117706.0,141.137,140.682,16612671.722
2014-05-15,000012.XSHG,国债指数,117706.0,141.136,140.682,16612554.016
2014-05-16,000012.XSHG,国债指数,117706.0,141.105,140.682,16608905.13
2014-05-19,000012.XSHG,国债指数,117706.0,141.133,140.682,16612200.898
2014-05-20,000012.XSHG,国债指数,117706.0,141.155,140.682,16614790.43
2014-05-21,000012.XSHG,国债指数,117706.0,141.176,140.682,16617262.256
2014-05-22,000012.XSHG,国债指数,117706.0,141.338,140.682,16636330.628
2014-05-23,000012.XSHG,国债指数,117706.0,141.176,140.682,16617262.256
2014-05-26,000012.XSHG,国债指数,117706.0,141.36,140.682,16638920.16
2014-05-27,000012.XSHG,国债指数,117706.0,141.411,140.682,16644923.166
2014-05-28,000012.XSHG,国债指数,117706.0,141.431,140.682,16647277.286
2014-05-28,000819.XSHG,有色金属,13041.0,3100.98,3100.98,40439880.18
2014-05-28,000993.XSHG,全指信息,11051.0,3659.454,3659.454,40440626.154
