datetime,datetime,trading_datetime,order_book_id,symbol,side,position_effect,exec_id,tax,commission,last_quantity,last_price,order_id,transaction_cost
2014-04-16 15:00:00,2014-04-16 15:00:00,2014-04-16 15:00:00,399975.XSHE,证券公司,BUY,OPEN,16582372090000,0,5606.093933184,67476,519.2674,16582372090012,5606.093933184
2014-04-16 15:00:00,2014-04-16 15:00:00,2014-04-16 15:00:00,000819.XSHG,有色金属,BUY,OPEN,16582372090001,0,5605.73921376,11097,3157.238,16582372090016,5605.73921376
2014-04-16 15:00:00,2014-04-16 15:00:00,2014-04-16 15:00:00,000012.XSHG,国债指数,BUY,OPEN,16582372090002,0,4785.123784320001,212586,140.682,16582372090052,4785.123784320001
2014-04-23 15:00:00,2014-04-23 15:00:00,2014-04-23 15:00:00,000819.XSHG,有色金属,SELL,CLOSE,16582372090003,0,5506.3402776,11097,3101.255,16582372090053,5506.3402776
2014-04-23 15:00:00,2014-04-23 15:00:00,2014-04-23 15:00:00,399975.XSHE,证券公司,BUY,OPEN,16582372090004,0,11.944528512,147,507.8456,16582372090055,11.944528512
2014-04-24 15:00:00,2014-04-24 15:00:00,2014-04-24 15:00:00,000012.XSHG,国债指数,SELL,CLOSE,16582372090005,0,1743.1121371200004,77421,140.717,16582372090056,1743.1121371200004
2014-04-24 15:00:00,2014-04-24 15:00:00,2014-04-24 15:00:00,399975.XSHE,证券公司,BUY,OPEN,16582372090006,0,872.403537952,10742,507.5891,16582372090060,872.403537952
2014-04-24 15:00:00,2014-04-24 15:00:00,2014-04-24 15:00:00,399932.XSHE,800消费,BUY,OPEN,16582372090007,0,6362.814887520002,7379,5389.293,16582372090063,6362.814887520002
2014-04-29 15:00:00,2014-04-29 15:00:00,2014-04-29 15:00:00,399932.XSHE,800消费,SELL,CLOSE,16582372090008,0,6122.450751200001,7379,5185.705,16582372090064,6122.450751200001
2014-04-29 15:00:00,2014-04-29 15:00:00,2014-04-29 15:00:00,399975.XSHE,证券公司,SELL,CLOSE,16582372090009,0,107.1523684,1325,505.4357,16582372090065,107.1523684
2014-04-30 15:00:00,2014-04-30 15:00:00,2014-04-30 15:00:00,399975.XSHE,证券公司,BUY,OPEN,16582372090010,0,9.913331616,123,503.7262,16582372090067,9.913331616
2014-05-05 15:00:00,2014-05-05 15:00:00,2014-05-05 15:00:00,399975.XSHE,证券公司,SELL,CLOSE,16582372090011,0,27.975263360000003,344,508.2715,16582372090068,27.975263360000003
2014-05-06 15:00:00,2014-05-06 15:00:00,2014-05-06 15:00:00,399975.XSHE,证券公司,BUY,OPEN,16582372090012,0,12.715414928000001,157,506.1869,16582372090070,12.715414928000001
2014-05-08 15:00:00,2014-05-08 15:00:00,2014-05-08 15:00:00,399975.XSHE,证券公司,SELL,CLOSE,16582372090013,0,21.693657664000003,266,509.7194,16582372090071,21.693657664000003
