date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2014-04-16,740.7681,99984002.6781,99983261.91,0.99984,100000000.0,1.0
2014-04-17,740.7681,99779117.1021,99778376.334,0.997791,100000000.0,0.9998
2014-04-18,740.7681,99750711.1801,99749970.412,0.997507,100000000.0,0.9978
2014-04-21,4411345.5054,98942444.9854,94531099.48,0.989424,100000000.0,0.9975
2014-04-22,4411345.5054,99269823.2794,94858477.774,0.992698,100000000.0,0.9894
2014-04-23,4411345.5054,99263669.9334,94852324.428,0.992637,100000000.0,0.9927
2014-04-24,5233851.6444,99245096.7234,94011245.079,0.992451,100000000.0,0.9926
2014-04-25,4975444.7199,98863467.2039,93888022.484,0.988635,100000000.0,0.9925
2014-04-28,3957566.5114,98388473.8354,94430907.324,0.983885,100000000.0,0.9886
2014-04-29,46798540.2227,98833617.6527,52035077.43,0.988336,100000000.0,0.9839
2014-04-30,46798540.2227,98858020.3607,52059480.138,0.98858,100000000.0,0.9883
2014-05-05,5440594.9701,98879134.4981,93438539.528,0.988791,100000000.0,0.9886
2014-05-06,27822117.1398,98901907.5498,71079790.41,0.989019,100000000.0,0.9888
2014-05-07,27822117.1398,98911487.9198,71089370.78,0.989115,100000000.0,0.989
2014-05-08,27822117.1398,98922580.9798,71100463.84,0.989226,100000000.0,0.9891
2014-05-09,27822117.1398,98948296.7098,71126179.57,0.989483,100000000.0,0.9892
2014-05-12,27822117.1398,98972499.7498,71150382.61,0.989725,100000000.0,0.9895
2014-05-13,27822117.1398,98988635.1098,71166517.97,0.989886,100000000.0,0.9897
2014-05-14,27822117.1398,98987626.6498,71165509.51,0.989876,100000000.0,0.9899
2014-05-15,27822117.1398,98987122.4198,71165005.28,0.989871,100000000.0,0.9899
2014-05-16,27822117.1398,98971491.2898,71149374.15,0.989715,100000000.0,0.9899
2014-05-19,27822117.1398,98985609.7298,71163492.59,0.989856,100000000.0,0.9897
2014-05-20,27822117.1398,98996702.7898,71174585.65,0.989967,100000000.0,0.9899
2014-05-21,27822117.1398,99007291.6198,71185174.48,0.990073,100000000.0,0.99
2014-05-22,27822117.1398,99088976.8798,71266859.74,0.99089,100000000.0,0.9901
2014-05-23,27822117.1398,99007291.6198,71185174.48,0.990073,100000000.0,0.9909
2014-05-26,27822117.1398,99100069.9398,71277952.8,0.991001,100000000.0,0.9901
2014-05-27,27822117.1398,99125785.6698,71303668.53,0.991258,100000000.0,0.991
2014-05-28,2684271.0869,99131848.8579,96447577.771,0.991318,100000000.0,0.9913
2014-05-29,2208450.2237,98703830.3397,96495380.116,0.987038,100000000.0,0.9913
2014-05-30,2375825.5684,98796861.5304,96421035.962,0.987969,100000000.0,0.987
