date,cash,transaction_cost,market_value,total_value
2014-04-16,740.7681,15997.3219,99983261.91,99984002.6781
2014-04-17,740.7681,0.0,99778376.334,99779117.1021
2014-04-18,740.7681,0.0,99749970.412,99750711.1801
2014-04-21,4411345.5054,705.8097,94531099.48,98942444.9854
2014-04-22,4411345.5054,0.0,94858477.774,99269823.2794
2014-04-23,4411345.5054,0.0,94852324.428,99263669.9334
2014-04-24,5233851.6444,131.622,94011245.079,99245096.7234
2014-04-25,4975444.7199,41.3385,93888022.484,98863467.2039
2014-04-28,3957566.5114,162.8345,94430907.324,98388473.8354
2014-04-29,46798540.2227,0.0,52035077.43,98833617.6527
2014-04-30,46798540.2227,0.0,52059480.138,98858020.3607
2014-05-05,5440594.9701,6616.2126,93438539.528,98879134.4981
2014-05-06,27822117.1398,3033.4294,71079790.41,98901907.5498
2014-05-07,27822117.1398,0.0,71089370.78,98911487.9198
2014-05-08,27822117.1398,0.0,71100463.84,98922580.9798
2014-05-09,27822117.1398,0.0,71126179.57,98948296.7098
2014-05-12,27822117.1398,0.0,71150382.61,98972499.7498
2014-05-13,27822117.1398,0.0,71166517.97,98988635.1098
2014-05-14,27822117.1398,0.0,71165509.51,98987626.6498
2014-05-15,27822117.1398,0.0,71165005.28,98987122.4198
2014-05-16,27822117.1398,0.0,71149374.15,98971491.2898
2014-05-19,27822117.1398,0.0,71163492.59,98985609.7298
2014-05-20,27822117.1398,0.0,71174585.65,98996702.7898
2014-05-21,27822117.1398,0.0,71185174.48,99007291.6198
2014-05-22,27822117.1398,0.0,71266859.74,99088976.8798
2014-05-23,27822117.1398,0.0,71185174.48,99007291.6198
2014-05-26,27822117.1398,0.0,71277952.8,99100069.9398
2014-05-27,27822117.1398,0.0,71303668.53,99125785.6698
2014-05-28,2684271.0869,4021.4119,96447577.771,99131848.8579
2014-05-29,2208450.2237,76.1192,96495380.116,98703830.3397
2014-05-30,2375825.5684,26.7843,96421035.962,98796861.5304
2014-06-03,2375825.5684,0.0,96501442.64,98877268.2084
2014-06-04,2691665.6279,50.5425,96212725.846,98904391.4739
2014-06-05,3086047.7786,63.1112,96452938.032,99538985.8106
2014-06-06,2938825.5038,23.5518,96510639.705,99449465.2088
2014-06-09,2527490.4507,65.8031,96485652.865,99013143.3157
2014-06-10,2527490.4507,0.0,97067592.335,99595082.7857
2014-06-11,3197403.3675,107.2032,96674657.82,99872061.1875
2014-06-12,3197403.3675,0.0,96592875.305,99790278.6725
2014-06-13,3197403.3675,0.0,96953048.705,100150452.0725
2014-06-16,3197403.3675,0.0,97220826.325,100418229.6925
2014-06-17,2372190.1855,132.013,97728448.414,100100638.5995
2014-06-18,2196207.1938,28.1528,97599574.953,99795782.1468
2014-06-19,1500110.6511,111.3576,97490111.26,98990221.9111
2014-06-20,1648158.9616,23.6915,97619174.978,99267333.9396
2014-06-23,3111304.0459,234.1407,96686981.852,99798285.8979
2014-06-24,3111304.0459,0.0,96875473.046,99986777.0919
2014-06-25,2865338.5498,39.3482,96940298.52,99805637.0698
2014-06-26,3447480.0522,93.1575,96866238.175,100313718.2272
2014-06-27,3447480.0522,0.0,96914608.465,100362088.5172
2014-06-30,3853376.2884,64.9538,96817149.11,100670525.3984
2014-07-01,3853376.2884,0.0,96952818.076,100806194.3644
2014-07-02,4053555.3716,32.0338,96911883.625,100965438.9966
2014-07-03,4053555.3716,0.0,96963385.595,101016940.9666
2014-07-04,4053555.3716,0.0,96750505.72,100804061.0916
2014-07-07,3703633.2541,55.9786,96812587.794,100516221.0481
2014-07-08,3926492.1409,35.6631,96906289.81,100832781.9509
2014-07-09,3376726.3295,87.9485,96993553.095,100370279.4245
2014-07-10,3094357.5837,45.1718,96894703.904,99989061.4877
2014-07-11,3094357.5837,0.0,96827848.644,99922206.2277
2014-07-14,28383839.759,0.0,71696967.93,100080807.689
2014-07-15,28383839.759,0.0,71707556.76,100091396.519
2014-07-16,28383839.759,0.0,71680328.34,100064168.099
2014-07-17,28383839.759,0.0,71651083.0,100034922.759
2014-07-18,28383839.759,0.0,71656125.3,100039965.059
2014-07-21,3329367.4948,4008.0743,96731296.76,100060664.2548
2014-07-22,3329367.4948,0.0,97033487.645,100362855.1398
2014-07-23,3548804.9032,35.1156,96983612.871,100532417.7742
2014-07-24,3289081.6041,41.5491,97813206.928,101102288.5321
2014-07-25,3289081.6041,0.0,98074345.002,101363426.6061
2014-07-28,1934523.9255,216.6946,100280883.562,102215407.4875
2014-07-29,2168572.9077,37.4538,100110457.82,102279030.7277
2014-07-30,2168572.9077,0.0,99936733.54,102105306.4477
2014-07-31,2168572.9077,0.0,100322797.07,102491369.9777
2014-08-01,2168572.9077,0.0,100096424.52,102264997.4277
2014-08-04,1016377.873,184.3217,101892808.953,102909186.826
2014-08-05,1016377.873,0.0,101729960.191,102746338.064
2014-08-06,229757.8739,125.8391,102332947.206,102562705.0799
2014-08-07,1767.2353,36.4727,102089213.787,102090981.0223
2014-08-08,1767.2353,0.0,102128623.128,102130390.3633
2014-08-11,1767.2353,0.0,102599252.803,102601020.0383
2014-08-12,1767.2353,0.0,102400293.953,102402061.1883
2014-08-13,1767.2353,0.0,102441642.203,102443409.4383
2014-08-14,1767.2353,0.0,102175827.771,102177595.0063
2014-08-15,1767.2353,0.0,102459602.681,102461369.9163
2014-08-18,1767.2353,0.0,102556830.746,102558597.9813
2014-08-19,1767.2353,0.0,102495089.024,102496856.2593
2014-08-20,1767.2353,0.0,102366955.47,102368722.7053
2014-08-21,1767.2353,0.0,102181094.873,102182862.1083
2014-08-22,1767.2353,0.0,102335918.204,102337685.4393
2014-08-25,1767.2353,0.0,102028399.473,102030166.7083
2014-08-26,1089.956,4780.2988,101860238.37,101861328.326
2014-08-27,1089.956,0.0,102056018.07,102057108.026
2014-08-28,1089.956,0.0,101706535.23,101707625.186
2014-08-29,1089.956,0.0,102134160.558,102135250.514
2014-09-01,1089.956,0.0,102775233.286,102776323.242
2014-09-02,1089.956,0.0,103049455.326,103050545.282
2014-09-03,1089.956,0.0,103315052.486,103316142.442
2014-09-04,1089.956,0.0,103702341.336,103703431.292
2014-09-05,2146109.098,343.258,101460967.36,103607076.458
2014-09-09,1951855.8125,31.0756,101768971.054,103720826.8665
2014-09-10,1951855.8125,0.0,101989441.108,103941296.9205
2014-09-11,2585707.246,101.4325,101529984.652,104115691.898
2014-09-12,2945342.2512,57.5508,101392296.257,104337638.5082
2014-09-15,4002784.5883,169.2178,100395049.49,104397834.0783
2014-09-16,3078984.2939,147.7844,100354511.25,103433495.5439
2014-09-17,3078984.2939,0.0,100478707.928,103557692.2219
2014-09-18,3980766.1208,144.3082,99793583.132,103774349.2528
2014-09-19,3980766.1208,0.0,100002574.604,103983340.7248
2014-09-22,2948187.2466,165.1862,100794088.496,103742275.7426
2014-09-23,2948187.2466,0.0,101161520.16,104109707.4066
2014-09-24,2130166.4652,130.8624,102293394.151,104423560.6162
2014-09-25,2375998.9337,39.3395,101866459.108,104242458.0417
2014-09-26,2702399.8132,52.2325,101613808.484,104316208.2972
