date,cash,transaction_cost,market_value,total_value
2014-04-16,1245.182,15997.2412,99982757.5768,99984002.7588
2014-04-17,33351604.1676,0.0,66608956.0558,99960560.2234
2014-04-18,33351604.1676,0.0,66837272.8814,100188877.049
2014-04-21,33150955.9765,32.0986,65696542.0664,98847498.0429
2014-04-22,65987067.191,25.3839,32996470.8493,98983538.0403
2014-04-23,65749865.3496,37.9462,32874877.0704,98624742.42
2014-04-24,65749865.3496,0.0,32858272.7994,98608138.149
2014-04-25,65533114.9534,34.6745,32766310.9155,98299425.8689
2014-04-28,65183260.4134,55.9678,32591133.7312,97774394.1446
2014-04-29,65651218.9863,74.8854,32826026.9722,98477245.9585
2014-04-30,65577663.194,11.767,32788545.8104,98366209.0044
2014-05-05,65774332.7924,31.4722,32887707.4075,98662040.1999
2014-05-06,65685229.6437,14.2542,32841912.2589,98527141.9026
2014-05-07,65685229.6437,0.0,32836825.5885,98522055.2322
2014-05-08,65837101.7215,24.3034,32919208.0102,98756309.7317
2014-05-09,99031107.2285,0.0,0.0,99031107.2285
2014-05-12,99031107.2285,0.0,0.0,99031107.2285
2014-05-13,99031107.2285,0.0,0.0,99031107.2285
2014-05-14,99031107.2285,0.0,0.0,99031107.2285
2014-05-15,99031107.2285,0.0,0.0,99031107.2285
2014-05-16,99031107.2285,0.0,0.0,99031107.2285
2014-05-19,99031107.2285,0.0,0.0,99031107.2285
2014-05-20,99031107.2285,0.0,0.0,99031107.2285
2014-05-21,99031107.2285,0.0,0.0,99031107.2285
2014-05-22,99031107.2285,0.0,0.0,99031107.2285
2014-05-23,99031107.2285,0.0,0.0,99031107.2285
2014-05-26,99031107.2285,0.0,0.0,99031107.2285
2014-05-27,99031107.2285,0.0,0.0,99031107.2285
2014-05-28,99031107.2285,0.0,0.0,99031107.2285
2014-05-29,6928.2408,15841.334,99008337.6537,99015265.8945
2014-05-30,6928.2408,0.0,99561625.08,99568553.3208
2014-06-03,6928.2408,0.0,99512644.8849,99519573.1257
2014-06-04,6928.2408,0.0,98866207.5298,98873135.7706
2014-06-05,33287401.164,48.0195,67462822.256,100750223.42
2014-06-06,33287401.164,0.0,67007641.5501,100295042.7141
2014-06-09,33287401.164,0.0,66056707.1317,99344108.2957
2014-06-10,33287401.164,0.0,67429598.8277,100716999.9917
2014-06-11,33471459.9647,29.4541,67493848.0584,100965308.0231
2014-06-12,33471459.9647,0.0,67362861.732,100834321.6967
2014-06-13,33693144.3315,35.4752,68059735.4468,101752879.7783
2014-06-16,33913761.4136,35.3044,68493345.407,102407106.8206
2014-06-17,33913761.4136,0.0,67787223.1866,101700984.6002
2014-06-18,33913761.4136,0.0,67312655.2466,101226416.6602
2014-06-19,32952601.4961,153.761,65893981.085,98846582.5811
2014-06-20,32952601.4961,0.0,66459283.346,99411884.8421
2014-06-23,33220327.1211,42.843,67263115.047,100483442.1681
2014-06-24,33410606.163,30.4495,67408844.1035,100819450.2665
2014-06-25,33410606.163,0.0,66990711.5485,100401317.7115
2014-06-26,33617397.3336,33.0919,67882575.099,101499972.4326
2014-06-27,33784700.1431,26.7727,68097814.3006,101882514.4437
2014-06-30,33989501.3328,32.7734,68626003.1486,102615504.4814
2014-07-01,34201177.653,33.8736,69083665.868,103284843.521
2014-07-02,34201177.653,0.0,69335173.65,103536351.303
2014-07-03,34201177.653,0.0,69195241.6865,103396419.3395
2014-07-04,34201177.653,0.0,69115217.862,103316395.515
2014-07-07,34201177.653,0.0,68506746.584,102707924.237
2014-07-08,34201177.653,0.0,69134174.283,103335351.936
2014-07-09,34201177.653,0.0,67640385.8405,101841563.4935
2014-07-10,67366289.9969,155.675,33690918.564,101057208.5609
2014-07-11,67366289.9969,0.0,33791446.062,101157736.0589
2014-07-14,101530727.985,0.0,0.0,101530727.985
2014-07-15,101530727.985,0.0,0.0,101530727.985
2014-07-16,101530727.985,0.0,0.0,101530727.985
2014-07-17,101530727.985,0.0,0.0,101530727.985
2014-07-18,7436.908,16241.128,101507049.949,101514486.857
2014-07-21,165789.902,5411.1733,101299156.102,101464946.004
2014-07-22,110816.0876,8.7944,103318627.838,103429443.9256
2014-07-23,110816.0876,0.0,103525967.9355,103636784.0231
2014-07-24,110816.0876,0.0,105258475.78,105369291.8676
2014-07-25,110816.0876,0.0,107119882.6985,107230698.7861
2014-07-28,110816.0876,0.0,110559075.7415,110669891.8291
2014-07-29,110816.0876,0.0,110672896.7985,110783712.8861
2014-07-30,110816.0876,0.0,110509655.8055,110620471.8931
2014-07-31,110816.0876,0.0,112611297.1645,112722113.2521
2014-08-01,110816.0876,0.0,110982588.063,111093404.1506
2014-08-04,110816.0876,0.0,114149037.8485,114259853.9361
2014-08-05,110816.0876,0.0,114214873.153,114325689.2406
2014-08-06,110816.0876,0.0,114977518.32,115088334.4076
2014-08-07,110816.0876,0.0,112793137.9995,112903954.0871
2014-08-08,110816.0876,0.0,113245927.1285,113356743.2161
2014-08-11,110816.0876,0.0,115007193.7225,115118009.8101
2014-08-12,110816.0876,0.0,114936811.7665,115047627.8541
2014-08-13,110816.0876,0.0,115179072.9485,115289889.0361
2014-08-14,110816.0876,0.0,113335685.72,113446501.8076
2014-08-15,110816.0876,0.0,114751343.1115,114862159.1991
2014-08-18,110816.0876,0.0,115556718.6595,115667534.7471
2014-08-19,420.5083,6395.2943,115182078.465,115182498.9733
2014-08-20,420.5083,0.0,114836887.375,114837307.8833
2014-08-21,420.5083,0.0,114435989.52,114436410.0283
2014-08-22,420.5083,0.0,115100508.845,115100929.3533
2014-08-25,420.5083,0.0,113764326.51,113764747.0183
2014-08-26,37266787.3355,0.0,74845068.7,112111856.0355
2014-08-27,37266787.3355,0.0,75214491.94,112481279.2755
2014-08-28,37266787.3355,0.0,74469286.245,111736073.5805
2014-08-29,75025064.7723,121.1056,37520528.682,112545593.4543
2014-09-01,2455.1689,12182.0153,113371985.4382,113374440.6071
2014-09-02,2455.1689,0.0,114815983.903,114818439.0719
2014-09-03,2455.1689,0.0,116105992.7222,116108447.8911
2014-09-04,38761397.5357,0.0,77958187.9782,116719585.5139
2014-09-05,38761397.5357,0.0,77797586.5326,116558984.0683
2014-09-09,443.9956,6200.7604,116763418.8632,116763862.8588
2014-09-10,443.9956,0.0,116654611.4494,116655055.445
2014-09-11,443.9956,0.0,116839392.9666,116839836.9622
2014-09-12,443.9956,0.0,117363409.8857,117363853.8813
2014-09-15,443.9956,0.0,117801251.01,117801695.0056
2014-09-16,37498471.5228,0.0,75819286.3722,113317757.895
2014-09-17,37684340.4226,29.7438,75932170.2655,113616510.6881
2014-09-18,37684340.4226,0.0,76258308.1827,113942648.6053
2014-09-19,37928111.5273,39.0096,76611747.6178,114539859.1451
2014-09-22,75822433.0224,78.6394,37917863.36,113740296.3824
2014-09-23,75822433.0224,0.0,38509758.84,114332191.8624
2014-09-24,3502.7305,12356.8238,114787923.4682,114791426.1987
2014-09-25,3502.7305,0.0,114478446.7592,114481949.4897
2014-09-26,3502.7305,0.0,114712852.6689,114716355.3994
2014-09-29,3502.7305,0.0,115850148.2844,115853651.0149
2014-09-30,3502.7305,0.0,116575606.7267,116579109.4572
2014-10-08,3502.7305,0.0,118765243.966,118768746.6965
2014-10-09,3502.7305,0.0,118126225.4018,118129728.1323
2014-10-10,3502.7305,0.0,117611728.492,117615231.2225
2014-10-13,3502.7305,0.0,117398676.3072,117402179.0377
2014-10-14,2037.574,6226.6795,116824391.393,116826428.967
2014-10-15,2037.574,0.0,117756240.996,117758278.57
2014-10-16,2037.574,0.0,116042836.718,116044874.292
2014-10-17,162.6607,6332.4665,115383252.3776,115383415.0383
2014-10-20,38370869.8526,77.4094,78265729.8895,116636599.7421
2014-10-21,38493835.7563,19.6777,77374704.4639,115868540.2202
2014-10-22,38351811.0096,22.7203,76255215.4035,114607026.4131
2014-10-23,38147269.4675,32.7214,75656079.9312,113803349.3987
2014-10-24,37992845.1732,24.7039,75502712.8732,113495558.0464
2014-10-27,37768709.2487,35.856,74809838.5373,112578547.786
2014-10-28,37989504.0258,35.3328,76675123.962,114664627.9878
2014-10-29,38306295.1421,50.6947,77594477.931,115900773.0731
2014-10-30,38526024.8706,35.1624,77735178.3564,116261203.227
2014-10-31,38812711.0944,45.8771,78496285.4934,117308996.5878
2014-11-03,38963524.0625,24.1339,78390646.287,117354170.3495
2014-11-04,38963524.0625,0.0,77921870.7075,116885394.77
2014-11-05,39110820.5799,23.5712,78657312.3192,117768132.8991
2014-11-06,78648600.2078,44.2145,39327665.52,117976265.7278
2014-11-07,79512963.2806,138.3202,39757504.031,119270467.3116
2014-11-10,80635251.9145,179.5949,40318460.888,120953712.8025
2014-11-11,80817958.2268,29.2377,40409637.9,121227596.1268
2014-11-12,82062267.2475,199.1213,41031283.501,123093550.7485
2014-11-13,81616755.2786,71.2705,40807972.8564,122424728.135
2014-11-14,81374059.6455,38.8251,40685945.404,122060005.0495
2014-11-17,81044047.5965,52.7935,40521451.4145,121565499.011
2014-11-18,80758961.0981,45.6065,40378649.8404,121137610.9385
2014-11-19,80627421.4092,21.043,40313664.1012,120941085.5104
2014-11-20,81068122.3677,70.5234,40534357.0914,121602479.4591
2014-11-21,2133.225,13492.7343,124044799.6518,124046932.8768
2014-11-24,2133.225,0.0,128404875.5276,128407008.7526
2014-11-25,2133.225,0.0,130668706.5895,130670839.8145
2014-11-26,2133.225,0.0,133148124.3826,133150257.6076
2014-11-27,2133.225,0.0,136165691.8471,136167825.0721
2014-11-28,2133.225,0.0,135535707.3972,135537840.6222
2014-12-01,2133.225,0.0,135763928.6972,135766061.9222
2014-12-02,2133.225,0.0,141262058.7312,141264191.9562
2014-12-03,2133.225,0.0,146530343.4372,146532476.6622
2014-12-04,2133.225,0.0,153144833.7288,153146966.9538
2014-12-05,2133.225,0.0,156530446.3285,156532579.5535
2014-12-08,2133.225,0.0,163455785.7616,163457918.9866
2014-12-09,4173.2249,10078.2297,158695692.6248,158699865.8497
2014-12-10,4173.2249,0.0,162625820.7604,162629993.9853
2014-12-11,4173.2249,0.0,158221020.5826,158225193.8075
2014-12-12,4173.2249,0.0,160587460.3136,160591633.5385
2014-12-15,1347.342,8950.4449,163291546.5294,163292893.8714
2014-12-16,1347.342,0.0,169323309.92,169324657.262
2014-12-17,1347.342,0.0,171045467.7488,171046815.0908
2014-12-18,1347.342,0.0,166798973.5922,166800320.9342
2014-12-19,1347.342,0.0,165321854.9218,165323202.2638
2014-12-22,1347.342,0.0,161396345.4696,161397692.8116
2014-12-23,1347.342,0.0,159190923.719,159192271.061
2014-12-24,4809.5336,8512.1793,154919365.0458,154924174.5794
2014-12-25,4809.5336,0.0,158527665.3675,158532474.9011
2014-12-26,4809.5336,0.0,165443270.4586,165448079.9922
2014-12-29,4809.5336,0.0,163539953.7554,163544763.289
