date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2014-04-16,1245.182,99984002.7588,99982757.5768,0.99984,100000000.0,1.0
2014-04-17,33351604.1676,99960560.2234,66608956.0558,0.999606,100000000.0,0.9998
2014-04-18,33351604.1676,100188877.049,66837272.8814,1.001889,100000000.0,0.9996
2014-04-21,33150955.9765,98847498.0429,65696542.0664,0.988475,100000000.0,1.0019
2014-04-22,65987067.191,98983538.0403,32996470.8493,0.989835,100000000.0,0.9885
2014-04-23,65749865.3496,98624742.42,32874877.0704,0.986247,100000000.0,0.9898
2014-04-24,65749865.3496,98608138.149,32858272.7994,0.986081,100000000.0,0.9862
2014-04-25,65533114.9534,98299425.8689,32766310.9155,0.982994,100000000.0,0.9861
2014-04-28,65183260.4134,97774394.1446,32591133.7312,0.977744,100000000.0,0.983
2014-04-29,65651218.9863,98477245.9585,32826026.9722,0.984772,100000000.0,0.9777
2014-04-30,65577663.194,98366209.0044,32788545.8104,0.983662,100000000.0,0.9848
2014-05-05,65774332.7924,98662040.1999,32887707.4075,0.98662,100000000.0,0.9837
2014-05-06,65685229.6437,98527141.9026,32841912.2589,0.985271,100000000.0,0.9866
2014-05-07,65685229.6437,98522055.2322,32836825.5885,0.985221,100000000.0,0.9853
2014-05-08,65837101.7215,98756309.7317,32919208.0102,0.987563,100000000.0,0.9852
2014-05-09,99031107.2285,99031107.2285,0.0,0.990311,100000000.0,0.9876
2014-05-12,99031107.2285,99031107.2285,0.0,0.990311,100000000.0,0.9903
2014-05-13,99031107.2285,99031107.2285,0.0,0.990311,100000000.0,0.9903
2014-05-14,99031107.2285,99031107.2285,0.0,0.990311,100000000.0,0.9903
2014-05-15,99031107.2285,99031107.2285,0.0,0.990311,100000000.0,0.9903
2014-05-16,99031107.2285,99031107.2285,0.0,0.990311,100000000.0,0.9903
2014-05-19,99031107.2285,99031107.2285,0.0,0.990311,100000000.0,0.9903
2014-05-20,99031107.2285,99031107.2285,0.0,0.990311,100000000.0,0.9903
2014-05-21,99031107.2285,99031107.2285,0.0,0.990311,100000000.0,0.9903
2014-05-22,99031107.2285,99031107.2285,0.0,0.990311,100000000.0,0.9903
2014-05-23,99031107.2285,99031107.2285,0.0,0.990311,100000000.0,0.9903
2014-05-26,99031107.2285,99031107.2285,0.0,0.990311,100000000.0,0.9903
2014-05-27,99031107.2285,99031107.2285,0.0,0.990311,100000000.0,0.9903
2014-05-28,99031107.2285,99031107.2285,0.0,0.990311,100000000.0,0.9903
2014-05-29,6928.2408,99015265.8945,99008337.6537,0.990153,100000000.0,0.9903
2014-05-30,6928.2408,99568553.3208,99561625.08,0.995686,100000000.0,0.9902
2014-06-03,6928.2408,99519573.1257,99512644.8849,0.995196,100000000.0,0.9957
2014-06-04,6928.2408,98873135.7706,98866207.5298,0.988731,100000000.0,0.9952
2014-06-05,33287401.164,100750223.42,67462822.256,1.007502,100000000.0,0.9887
2014-06-06,33287401.164,100295042.7141,67007641.5501,1.00295,100000000.0,1.0075
2014-06-09,33287401.164,99344108.2957,66056707.1317,0.993441,100000000.0,1.003
2014-06-10,33287401.164,100716999.9917,67429598.8277,1.00717,100000000.0,0.9934
2014-06-11,33471459.9647,100965308.0231,67493848.0584,1.009653,100000000.0,1.0072
2014-06-12,33471459.9647,100834321.6967,67362861.732,1.008343,100000000.0,1.0097
2014-06-13,33693144.3315,101752879.7783,68059735.4468,1.017529,100000000.0,1.0083
2014-06-16,33913761.4136,102407106.8206,68493345.407,1.024071,100000000.0,1.0175
2014-06-17,33913761.4136,101700984.6002,67787223.1866,1.01701,100000000.0,1.0241
2014-06-18,33913761.4136,101226416.6602,67312655.2466,1.012264,100000000.0,1.017
2014-06-19,32952601.4961,98846582.5811,65893981.085,0.988466,100000000.0,1.0123
2014-06-20,32952601.4961,99411884.8421,66459283.346,0.994119,100000000.0,0.9885
2014-06-23,33220327.1211,100483442.1681,67263115.047,1.004834,100000000.0,0.9941
2014-06-24,33410606.163,100819450.2665,67408844.1035,1.008195,100000000.0,1.0048
2014-06-25,33410606.163,100401317.7115,66990711.5485,1.004013,100000000.0,1.0082
2014-06-26,33617397.3336,101499972.4326,67882575.099,1.015,100000000.0,1.004
2014-06-27,33784700.1431,101882514.4437,68097814.3006,1.018825,100000000.0,1.015
2014-06-30,33989501.3328,102615504.4814,68626003.1486,1.026155,100000000.0,1.0188
2014-07-01,34201177.653,103284843.521,69083665.868,1.032848,100000000.0,1.0262
2014-07-02,34201177.653,103536351.303,69335173.65,1.035364,100000000.0,1.0328
2014-07-03,34201177.653,103396419.3395,69195241.6865,1.033964,100000000.0,1.0354
2014-07-04,34201177.653,103316395.515,69115217.862,1.033164,100000000.0,1.034
2014-07-07,34201177.653,102707924.237,68506746.584,1.027079,100000000.0,1.0332
2014-07-08,34201177.653,103335351.936,69134174.283,1.033354,100000000.0,1.0271
2014-07-09,34201177.653,101841563.4935,67640385.8405,1.018416,100000000.0,1.0334
2014-07-10,67366289.9969,101057208.5609,33690918.564,1.010572,100000000.0,1.0184
2014-07-11,67366289.9969,101157736.0589,33791446.062,1.011577,100000000.0,1.0106
2014-07-14,101530727.985,101530727.985,0.0,1.015307,100000000.0,1.0116
2014-07-15,101530727.985,101530727.985,0.0,1.015307,100000000.0,1.0153
2014-07-16,101530727.985,101530727.985,0.0,1.015307,100000000.0,1.0153
2014-07-17,101530727.985,101530727.985,0.0,1.015307,100000000.0,1.0153
