date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2014-04-16,2051.5158,99984002.8878,99981951.372,0.99984,100000000.0,1.0
2014-04-17,2051.5158,99538452.3438,99536400.828,0.995385,100000000.0,0.9998
2014-04-18,2051.5158,99466142.9598,99464091.444,0.994661,100000000.0,0.9954
2014-04-21,2051.5158,97748989.9938,97746938.478,0.97749,100000000.0,0.9947
2014-04-22,2051.5158,98510723.5518,98508672.036,0.985107,100000000.0,0.9775
2014-04-23,2051.5158,98536548.3318,98534496.816,0.985365,100000000.0,0.9851
2014-04-24,2051.5158,98488163.4138,98486111.898,0.984882,100000000.0,0.9854
2014-04-25,2051.5158,97592140.9998,97590089.484,0.975921,100000000.0,0.9849
2014-04-28,2051.5158,96479092.9818,96477041.466,0.964791,100000000.0,0.9759
2014-04-29,2051.5158,97499171.7918,97497120.276,0.974992,100000000.0,0.9648
2014-04-30,2051.5158,97484456.5398,97482405.024,0.974845,100000000.0,0.975
2014-05-05,2051.5158,97151755.4118,97149703.896,0.971518,100000000.0,0.9748
2014-05-06,97133337.0851,97133337.0851,0.0,0.971333,100000000.0,0.9715
2014-05-07,97133337.0851,97133337.0851,0.0,0.971333,100000000.0,0.9713
2014-05-08,97133337.0851,97133337.0851,0.0,0.971333,100000000.0,0.9713
2014-05-09,97133337.0851,97133337.0851,0.0,0.971333,100000000.0,0.9713
2014-05-12,97133337.0851,97133337.0851,0.0,0.971333,100000000.0,0.9713
2014-05-13,97133337.0851,97133337.0851,0.0,0.971333,100000000.0,0.9713
2014-05-14,97133337.0851,97133337.0851,0.0,0.971333,100000000.0,0.9713
2014-05-15,97133337.0851,97133337.0851,0.0,0.971333,100000000.0,0.9713
2014-05-16,97133337.0851,97133337.0851,0.0,0.971333,100000000.0,0.9713
2014-05-19,97133337.0851,97133337.0851,0.0,0.971333,100000000.0,0.9713
2014-05-20,97133337.0851,97133337.0851,0.0,0.971333,100000000.0,0.9713
2014-05-21,97133337.0851,97133337.0851,0.0,0.971333,100000000.0,0.9713
2014-05-22,97133337.0851,97133337.0851,0.0,0.971333,100000000.0,0.9713
2014-05-23,97133337.0851,97133337.0851,0.0,0.971333,100000000.0,0.9713
2014-05-26,97133337.0851,97133337.0851,0.0,0.971333,100000000.0,0.9713
2014-05-27,97133337.0851,97133337.0851,0.0,0.971333,100000000.0,0.9713
2014-05-28,892.7792,97117798.3802,97116905.601,0.971178,100000000.0,0.9713
2014-05-29,892.7792,95322003.3512,95321110.572,0.95322,100000000.0,0.9712
2014-05-30,892.7792,95605962.2162,95605069.437,0.95606,100000000.0,0.9532
2014-06-03,892.7792,95714613.6542,95713720.875,0.957146,100000000.0,0.9561
2014-06-04,892.7792,95866421.0372,95865528.258,0.958664,100000000.0,0.9571
2014-06-05,892.7792,98315357.7212,98314464.942,0.983154,100000000.0,0.9587
2014-06-06,892.7792,97950164.1362,97949271.357,0.979502,100000000.0,0.9832
2014-06-09,892.7792,96225957.2042,96225064.425,0.96226,100000000.0,0.9795
