date,cash,transaction_cost,market_value,total_value
2015-10-08,686.1414,15997.3306,99983316.528,99984002.6694
2015-10-09,686.1414,0.0,101185913.088,101186599.2294
2015-10-12,686.1414,0.0,105756464.736,105757150.8774
2015-10-13,686.1414,0.0,106909396.272,106910082.4134
2015-10-14,686.1414,0.0,105218776.944,105219463.0854
2015-10-15,686.1414,0.0,109762122.384,109762808.5254
2015-10-16,686.1414,0.0,111793321.44,111794007.5814
2015-10-19,686.1414,0.0,111088927.152,111089613.2934
2015-10-20,686.1414,0.0,114629614.272,114630300.4134
2015-10-21,686.1414,0.0,107032691.52,107033377.6614
2015-10-22,686.1414,0.0,112209083.424,112209769.5654
2015-10-23,686.1414,0.0,115872107.184,115872793.3254
2015-10-26,686.1414,0.0,115374270.096,115374956.2374
2015-10-27,686.1414,0.0,117039554.784,117040240.9254
2015-10-28,686.1414,0.0,113446007.28,113446693.4214
2015-10-29,686.1414,0.0,113447878.848,113448564.9894
2015-10-30,686.1414,0.0,113128388.496,113129074.6374
2015-11-02,686.1414,0.0,111017670.624,111018356.7654
2015-11-03,686.1414,0.0,110891316.96,110892003.1014
2015-11-04,686.1414,0.0,117968902.416,117969588.5574
2015-11-05,686.1414,0.0,117074429.856,117075115.9974
2015-11-06,686.1414,0.0,121488134.976,121488821.1174
2015-11-09,686.1414,0.0,124373408.112,124374094.2534
2015-11-10,686.1414,0.0,125377207.632,125377893.7734
2015-11-11,686.1414,0.0,128027895.696,128028581.8374
2015-11-12,686.1414,0.0,127051987.104,127052673.2454
2015-11-13,686.1414,0.0,123713429.328,123714115.4694
2015-11-16,686.1414,0.0,127684850.976,127685537.1174
2015-11-17,686.1414,0.0,124027989.696,124028675.8374
2015-11-18,686.1414,0.0,121476859.92,121477546.0614
2015-11-19,686.1414,0.0,126479287.296,126479973.4374
2015-11-20,686.1414,0.0,127821247.2,127821933.3414
2015-11-23,686.1414,0.0,126471298.896,126471985.0374
2015-11-24,686.1414,0.0,128546959.104,128547645.2454
2015-11-25,686.1414,0.0,132268229.712,132268915.8534
2015-11-26,686.1414,0.0,129329822.304,129330508.4454
2015-11-27,686.1414,0.0,120946658.4,120947344.5414
2015-11-30,686.1414,0.0,121997977.488,121998663.6294
2015-12-01,686.1414,0.0,121211188.56,121211874.7014
2015-12-02,686.1414,0.0,119290229.424,119290915.5654
2015-12-03,917.8032,19772.8984,123580614.88,123581532.6832
2015-12-04,1517.9785,19323.6855,120773034.621,120774552.5995
2015-12-07,1517.9785,0.0,122836102.289,122837620.2675
2015-12-08,1517.9785,0.0,120750469.538,120751987.5165
2015-12-09,119667568.5785,0.0,0.0,119667568.5785
2015-12-10,119667568.5785,0.0,0.0,119667568.5785
2015-12-11,119667568.5785,0.0,0.0,119667568.5785
2015-12-14,119667568.5785,0.0,0.0,119667568.5785
2015-12-15,119667568.5785,0.0,0.0,119667568.5785
2015-12-16,62.4125,19143.738,119648362.428,119648424.8405
2015-12-17,62.4125,0.0,122791524.702,122791587.1145
2015-12-18,62.4125,0.0,122555875.218,122555937.6305
2015-12-21,62.4125,0.0,122541239.142,122541301.5545
2015-12-22,1395.3835,19668.895,122930594.0345,122931989.418
2015-12-23,1395.3835,0.0,123046481.234,123047876.6175
2015-12-24,1395.3835,0.0,121915611.5395,121917006.923
2015-12-25,1395.3835,0.0,122204882.077,122206277.4605
2015-12-28,1395.3835,0.0,118586222.589,118587617.9725
2015-12-29,1395.3835,0.0,119676287.327,119677682.7105
2015-12-30,1395.3835,0.0,119694778.8825,119696174.266
2015-12-31,1893.0986,19020.4826,118878016.448,118879909.5466
2016-01-04,1893.0986,0.0,109118803.24,109120696.3386
2016-01-05,105839928.0281,0.0,0.0,105839928.0281
2016-01-06,105839928.0281,0.0,0.0,105839928.0281
2016-01-07,105839928.0281,0.0,0.0,105839928.0281
2016-01-08,105839928.0281,0.0,0.0,105839928.0281
2016-01-11,105839928.0281,0.0,0.0,105839928.0281
2016-01-12,105839928.0281,0.0,0.0,105839928.0281
2016-01-13,105839928.0281,0.0,0.0,105839928.0281
2016-01-14,105839928.0281,0.0,0.0,105839928.0281
2016-01-15,105839928.0281,0.0,0.0,105839928.0281
2016-01-18,105839928.0281,0.0,0.0,105839928.0281
2016-01-19,105839928.0281,0.0,0.0,105839928.0281
2016-01-20,105839928.0281,0.0,0.0,105839928.0281
2016-01-21,105839928.0281,0.0,0.0,105839928.0281
2016-01-22,105839928.0281,0.0,0.0,105839928.0281
2016-01-25,105839928.0281,0.0,0.0,105839928.0281
