date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2014-04-16,346.4554,99984002.615,99983656.1596,0.99984,100000000.0,1.0
2014-04-17,346.4554,99914300.242,99913953.7866,0.999143,100000000.0,0.9998
2014-04-18,346.4554,100256777.7052,100256431.2498,1.002568,100000000.0,0.9991
2014-04-21,346.4554,98244744.594,98244398.1386,0.982447,100000000.0,1.0026
2014-04-22,346.4554,98454179.018,98453832.5626,0.984542,100000000.0,0.9824
2014-04-23,3797.5093,97982234.7987,97978437.2894,0.979822,100000000.0,0.9845
2014-04-24,3797.5093,97703814.3957,97700016.8864,0.977038,100000000.0,0.9798
2014-04-25,3797.5093,95864017.2131,95860219.7038,0.95864,100000000.0,0.977
2014-04-28,3797.5093,93945469.7017,93941672.1924,0.939455,100000000.0,0.9586
2014-04-29,46983952.4867,95644269.0685,48660316.5818,0.956443,100000000.0,0.9395
2014-04-30,46983952.4867,95479688.6655,48495736.1788,0.954797,100000000.0,0.9564
2014-05-05,46983952.4867,95917282.8777,48933330.391,0.959173,100000000.0,0.9548
2014-05-06,46983952.4867,95716590.0973,48732637.6106,0.957166,100000000.0,0.9592
2014-05-07,46983952.4867,95709042.2157,48725089.729,0.95709,100000000.0,0.9572
2014-05-08,46983952.4867,96056678.0023,49072725.5156,0.960567,100000000.0,0.9571
2014-05-09,96466319.1494,96466319.1494,0.0,0.964663,100000000.0,0.9606
2014-05-12,96466319.1494,96466319.1494,0.0,0.964663,100000000.0,0.9647
2014-05-13,96466319.1494,96466319.1494,0.0,0.964663,100000000.0,0.9647
2014-05-14,96466319.1494,96466319.1494,0.0,0.964663,100000000.0,0.9647
2014-05-15,96466319.1494,96466319.1494,0.0,0.964663,100000000.0,0.9647
2014-05-16,96466319.1494,96466319.1494,0.0,0.964663,100000000.0,0.9647
2014-05-19,96466319.1494,96466319.1494,0.0,0.964663,100000000.0,0.9647
2014-05-20,96466319.1494,96466319.1494,0.0,0.964663,100000000.0,0.9647
2014-05-21,96466319.1494,96466319.1494,0.0,0.964663,100000000.0,0.9647
2014-05-22,96466319.1494,96466319.1494,0.0,0.964663,100000000.0,0.9647
2014-05-23,96466319.1494,96466319.1494,0.0,0.964663,100000000.0,0.9647
2014-05-26,96466319.1494,96466319.1494,0.0,0.964663,100000000.0,0.9647
2014-05-27,96466319.1494,96466319.1494,0.0,0.964663,100000000.0,0.9647
2014-05-28,96466319.1494,96466319.1494,0.0,0.964663,100000000.0,0.9647
2014-05-29,2598.7623,96450887.4233,96448288.661,0.964509,100000000.0,0.9647
2014-05-30,2598.7623,97186818.5083,97184219.746,0.971868,100000000.0,0.9645
2014-06-03,2598.7623,96890889.8223,96888291.06,0.968909,100000000.0,0.9719
2014-06-04,2598.7623,95828368.8203,95825770.058,0.958284,100000000.0,0.9689
2014-06-05,576.3272,96936474.7692,96935898.442,0.969365,100000000.0,0.9583
2014-06-06,576.3272,96287010.1441,96286433.8169,0.96287,100000000.0,0.9694
2014-06-09,576.3272,94918643.2185,94918066.8913,0.949186,100000000.0,0.9629
2014-06-10,576.3272,96893200.0225,96892623.6953,0.968932,100000000.0,0.9492
2014-06-11,576.3272,97252813.106,97252236.7788,0.972528,100000000.0,0.9689
2014-06-12,576.3272,97067605.4472,97067029.12,0.970676,100000000.0,0.9725
2014-06-13,576.3272,98392511.8268,98391935.4996,0.983925,100000000.0,0.9707
2014-06-16,576.3272,99337790.4527,99337214.1255,0.993378,100000000.0,0.9839
2014-06-17,576.3272,98316200.3365,98315624.0093,0.983162,100000000.0,0.9934
2014-06-18,576.3272,97629991.1545,97629414.8273,0.9763,100000000.0,0.9832
