date,cash,transaction_cost,market_value,total_value
2014-04-16,346.4554,15997.385,99983656.1596,99984002.615
2014-04-17,346.4554,0.0,99913953.7866,99914300.242
2014-04-18,346.4554,0.0,100256431.2498,100256777.7052
2014-04-21,346.4554,0.0,98244398.1386,98244744.594
2014-04-22,346.4554,0.0,98453832.5626,98454179.018
2014-04-23,48991604.5692,16.9824,48998467.0248,97990071.594
2014-04-24,48991604.5692,0.0,48973719.1353,97965323.7045
2014-04-25,48752726.5223,38.2144,48752489.4306,97505215.9529
2014-04-28,48362294.7938,62.4591,48361755.3562,96724050.15
2014-04-29,48883315.6239,83.3767,48883719.1612,97767034.7851
2014-04-30,48801195.1161,13.1372,48800490.5298,97601685.6459
2014-05-05,49020733.2724,35.1317,49021261.3605,98041994.6329
2014-05-06,48920492.2302,16.036,48920432.9505,97840925.1807
2014-05-07,48920492.2302,0.0,48912855.9825,97833348.2127
2014-05-08,49090711.2703,27.2394,49091585.1334,98182296.4037
2014-05-09,98592094.9841,0.0,0.0,98592094.9841
2014-05-12,98592094.9841,0.0,0.0,98592094.9841
2014-05-13,98592094.9841,0.0,0.0,98592094.9841
2014-05-14,98592094.9841,0.0,0.0,98592094.9841
2014-05-15,98592094.9841,0.0,0.0,98592094.9841
2014-05-16,98592094.9841,0.0,0.0,98592094.9841
2014-05-19,98592094.9841,0.0,0.0,98592094.9841
2014-05-20,98592094.9841,0.0,0.0,98592094.9841
2014-05-21,98592094.9841,0.0,0.0,98592094.9841
2014-05-22,98592094.9841,0.0,0.0,98592094.9841
2014-05-23,98592094.9841,0.0,0.0,98592094.9841
2014-05-26,98592094.9841,0.0,0.0,98592094.9841
2014-05-27,98592094.9841,0.0,0.0,98592094.9841
2014-05-28,98592094.9841,0.0,0.0,98592094.9841
2014-05-29,3169.4325,15771.7046,98573153.847,98576323.2795
2014-05-30,3169.4325,0.0,99325297.422,99328466.8545
2014-06-03,3169.4325,0.0,99022847.1,99026016.5325
2014-06-04,3169.4325,0.0,97936923.384,97940092.8165
2014-06-05,346.1193,7879.89,99072268.72,99072614.8393
2014-06-06,346.1193,0.0,98408491.4462,98408837.5655
2014-06-09,346.1193,0.0,97009966.6894,97010312.8087
2014-06-10,346.1193,0.0,99028041.1214,99028387.2407
2014-06-11,346.1193,0.0,99395580.2664,99395926.3857
2014-06-12,346.1193,0.0,99206291.644,99206637.7633
2014-06-13,346.1193,0.0,100560397.9608,100560744.0801
2014-06-16,346.1193,0.0,101526509.433,101526855.5523
2014-06-17,346.1193,0.0,100482405.5654,100482751.6847
2014-06-18,346.1193,0.0,99781073.9054,99781420.0247
2014-06-19,346.1193,0.0,96251920.9196,96252267.0389
2014-06-20,346.1193,0.0,97079973.3218,97080319.4411
2014-06-23,346.1193,0.0,98643896.856,98644242.9753
2014-06-24,346.1193,0.0,99136413.9062,99136760.0255
2014-06-25,346.1193,0.0,98521349.0422,98521695.1615
2014-06-26,346.1193,0.0,100137310.811,100137656.9303
2014-06-27,346.1193,0.0,100702062.4554,100702408.5747
2014-06-30,346.1193,0.0,101784195.3512,101784541.4705
2014-07-01,346.1193,0.0,102776517.4716,102776863.5909
2014-07-02,346.1193,0.0,103150597.628,103150943.7473
2014-07-03,346.1193,0.0,102937780.6334,102938126.7527
2014-07-04,346.1193,0.0,102818992.306,102819338.4253
2014-07-07,346.1193,0.0,101912387.8072,101912733.9265
2014-07-08,346.1193,0.0,102844042.9232,102844389.0425
2014-07-09,346.1193,0.0,100622090.7234,100622436.8427
2014-07-10,900.5622,8159.0746,99448066.67,99448967.2322
2014-07-11,900.5622,0.0,99968351.154,99969251.7162
2014-07-14,900.5622,0.0,101527532.59,101528433.1522
2014-07-15,900.5622,0.0,100863991.136,100864891.6982
2014-07-16,900.5622,0.0,99602029.97,99602930.5322
2014-07-17,1588.3799,8082.7261,99287410.088,99288998.4679
2014-07-18,1588.3799,0.0,100085112.124,100086700.5039
2014-07-21,1588.3799,0.0,99806223.552,99807811.9319
2014-07-22,1588.3799,0.0,101924775.552,101926363.9319
2014-07-23,1588.3799,0.0,101855323.2,101856911.5799
2014-07-24,1588.3799,0.0,102667170.512,102668758.8919
2014-07-25,1588.3799,0.0,104653430.868,104655019.2479
2014-07-28,1588.3799,0.0,107044153.892,107045742.2719
2014-07-29,1588.3799,0.0,107035359.412,107036947.7919
2014-07-30,1588.3799,0.0,106533949.392,106535537.7719
2014-07-31,1588.3799,0.0,108802590.884,108804179.2639
2014-08-01,1588.3799,0.0,107720379.7,107721968.0799
2014-08-04,1588.3799,0.0,110134246.96,110135835.3399
2014-08-05,1588.3799,0.0,110366479.728,110368068.1079
2014-08-06,1588.3799,0.0,111261918.892,111263507.2719
2014-08-07,1588.3799,0.0,109536630.348,109538218.7279
2014-08-08,1588.3799,0.0,110187122.272,110188710.6519
2014-08-11,1588.3799,0.0,111755147.516,111756735.8959
2014-08-12,1588.3799,0.0,111863114.612,111864702.9919
2014-08-13,1588.3799,0.0,111959649.452,111961237.8319
2014-08-14,1588.3799,0.0,110148792.852,110150381.2319
2014-08-15,1588.3799,0.0,110852301.644,110853890.0239
2014-08-18,1588.3799,0.0,111745084.38,111746672.7599
