date,order_book_id,symbol,quantity,last_price,avg_price,market_value
2015-11-02,399975.XSHE,证券公司,58028.0,861.503,861.503,49991296.084
2015-11-02,000819.XSHG,有色金属,12155.0,4112.7036,4112.7036,49989912.258
2015-11-03,399975.XSHE,证券公司,58202.0,864.589,861.5122,50320808.978
2015-11-04,399975.XSHE,证券公司,55556.0,950.946,861.5122,52830755.976
2015-11-04,000819.XSHG,有色金属,12145.0,4349.0629,4349.0629,52819368.9205
2015-11-05,399975.XSHE,证券公司,53836.0,1024.266,861.5122,55142384.376
2015-11-05,000819.XSHG,有色金属,12542.0,4395.0137,4395.0137,55122261.8254
2015-11-06,399975.XSHE,证券公司,52118.0,1117.862,861.5122,58260731.716
2015-11-06,000819.XSHG,有色金属,12965.0,4492.0149,4492.0149,58238973.1785
2015-11-09,399975.XSHE,证券公司,52555.0,1104.952,863.5365,58070752.36
2015-11-09,000819.XSHG,有色金属,12854.0,4516.127,4516.127,58050296.458
2015-11-10,399975.XSHE,证券公司,53088.0,1126.87,866.1803,59823274.56
2015-11-10,000819.XSHG,有色金属,12722.0,4700.6866,4700.6866,59802134.9252
2015-11-11,399975.XSHE,证券公司,52271.0,1152.887,866.1803,60262556.377
2015-11-11,000819.XSHG,有色金属,12920.0,4662.4629,4662.4629,60239020.668
2015-11-12,399975.XSHE,证券公司,53178.0,1127.454,870.6366,59955748.812
2015-11-12,000819.XSHG,有色金属,12699.0,4719.6551,4719.6551,59934900.1149
2015-11-13,399975.XSHE,证券公司,52159.0,1138.474,870.6366,59381665.366
2015-11-13,000819.XSHG,有色金属,12948.0,4584.3887,4584.3887,59358664.8876
2015-11-16,399975.XSHE,证券公司,52920.0,1124.468,874.2867,59506846.56
2015-11-16,000819.XSHG,有色金属,12760.0,4661.8075,4661.8075,59484663.7
2015-11-17,399975.XSHE,证券公司,52386.0,1135.1,874.2867,59463348.6
2015-11-17,000819.XSHG,有色金属,12888.0,4612.1832,4612.1832,59441817.0816
2015-11-18,399975.XSHE,证券公司,53058.0,1088.376,876.9982,57747053.808
2015-11-18,000819.XSHG,有色金属,12722.0,4537.4108,4537.4108,57724940.1976
2015-11-19,399975.XSHE,证券公司,53058.0,1115.218,876.9982,59171236.644
2015-11-20,399975.XSHE,证券公司,53527.0,1094.149,878.9009,58566513.523
2015-11-20,000819.XSHG,有色金属,12395.0,4724.1363,4724.1363,58555669.4385
2015-11-23,399975.XSHE,证券公司,53347.0,1079.601,878.9009,57593474.547
2015-11-24,399975.XSHE,证券公司,52751.0,1104.1,878.9009,58242379.1
2015-11-24,000819.XSHG,有色金属,12554.0,4638.4712,4638.4712,58231367.4448
2015-11-25,399975.XSHE,证券公司,53049.0,1109.302,880.1952,58847361.798
2015-11-26,399975.XSHE,证券公司,53371.0,1095.827,881.4961,58485382.817
2015-11-27,399975.XSHE,证券公司,55857.0,1002.448,886.8793,55993737.936
2015-11-27,000819.XSHG,有色金属,12498.0,4479.3797,4479.3797,55983287.4906
2015-11-30,399975.XSHE,证券公司,56265.0,989.356,887.6224,55666115.34
2015-12-01,399975.XSHE,证券公司,56265.0,986.668,887.6224,55514875.02
2015-12-02,399975.XSHE,证券公司,54705.0,1047.311,887.6224,57293148.255
2015-12-02,000819.XSHG,有色金属,12663.0,4523.2383,4523.2383,57277766.5929
2015-12-03,399975.XSHE,证券公司,54705.0,1048.057,887.6224,57333958.185
2015-12-03,000819.XSHG,有色金属,12663.0,4579.5049,4523.2383,57990270.5487
2015-12-04,399975.XSHE,证券公司,54705.0,1019.851,887.6224,55790948.955
2015-12-04,000819.XSHG,有色金属,12663.0,4524.9474,4523.2383,57299408.9262
2015-12-07,000819.XSHG,有色金属,12342.0,4585.7198,4523.2383,56596953.7716
2015-12-07,000993.XSHG,全指信息,7270.0,7781.3812,7781.3812,56570641.324
2015-12-08,000819.XSHG,有色金属,12342.0,4484.9497,4523.2383,55353249.1974
2015-12-08,000993.XSHG,全指信息,7270.0,7673.2119,7781.3812,55784250.513
2015-12-17,000819.XSHG,有色金属,11570.0,4804.9392,4804.9392,55593146.544
2015-12-17,399913.XSHE,300医药,6852.0,8113.183,8113.183,55591529.916
2015-12-18,000819.XSHG,有色金属,11570.0,4777.5901,4804.9392,55276717.457
2015-12-18,399913.XSHE,300医药,6852.0,8127.974,8113.183,55692877.848
2015-12-21,000819.XSHG,有色金属,11570.0,4820.6206,4804.9392,55774580.342
2015-12-21,399913.XSHE,300医药,6852.0,8469.719,8113.183,58034514.588
2015-12-22,000819.XSHG,有色金属,11570.0,4889.1483,4804.9392,56567445.831
2015-12-22,399913.XSHE,300医药,6852.0,8436.318,8113.183,57805650.936
2015-12-23,000819.XSHG,有色金属,11570.0,4796.0791,4804.9392,55490635.187
2015-12-23,399913.XSHE,300医药,6852.0,8413.851,8113.183,57651707.052
2015-12-24,000819.XSHG,有色金属,11570.0,4802.8012,4804.9392,55568409.884
2015-12-24,399913.XSHE,300医药,6852.0,8264.912,8113.183,56631177.024
2015-12-25,000819.XSHG,有色金属,11570.0,4801.519,4804.9392,55553574.83
2015-12-25,399913.XSHE,300医药,6852.0,8270.514,8113.183,56669561.928
2015-12-28,000819.XSHG,有色金属,11570.0,4648.3451,4804.9392,53781352.807
2015-12-28,399913.XSHE,300医药,6852.0,8153.513,8113.183,55867871.076
2015-12-29,000819.XSHG,有色金属,11570.0,4691.6106,4804.9392,54281934.642
2015-12-29,399913.XSHE,300医药,6852.0,8215.524,8113.183,56292770.448
2015-12-30,000819.XSHG,有色金属,11570.0,4719.3664,4804.9392,54603069.248
2015-12-30,399913.XSHE,300医药,6852.0,8215.846,8113.183,56294976.792
2015-12-31,000819.XSHG,有色金属,11570.0,4648.6667,4804.9392,53785073.719
2015-12-31,399913.XSHE,300医药,6852.0,8211.932,8113.183,56268158.064
2016-01-04,000819.XSHG,有色金属,11570.0,4264.7881,4804.9392,49343598.317
2016-01-04,399913.XSHE,300医药,6852.0,7602.474,8113.183,52092151.848
2016-03-04,399975.XSHE,证券公司,63410.0,794.731,794.731,50393892.71
2016-03-04,000819.XSHG,有色金属,12392.0,4066.4346,4066.4346,50391257.5632
2016-03-07,399975.XSHE,证券公司,63410.0,799.635,794.731,50704855.35
2016-03-07,000819.XSHG,有色金属,12392.0,4213.7557,4066.4346,52216860.6344
2016-03-08,399975.XSHE,证券公司,63410.0,799.664,794.731,50706694.24
2016-03-08,000819.XSHG,有色金属,12392.0,4183.6924,4066.4346,51844316.2208
2016-03-09,399975.XSHE,证券公司,63410.0,789.002,794.731,50030616.82
2016-03-09,000819.XSHG,有色金属,12392.0,3923.8877,4066.4346,48624816.3784
2016-03-10,399975.XSHE,证券公司,63410.0,763.464,794.731,48411252.24
2016-03-10,000819.XSHG,有色金属,12392.0,3850.5699,4066.4346,47716262.2008
2016-03-11,000819.XSHG,有色金属,12557.0,3861.426,4063.7408,48487926.282
2016-03-14,000819.XSHG,有色金属,12402.0,3959.0245,4063.7408,49099821.849
2016-03-15,000819.XSHG,有色金属,12525.0,3881.1188,4061.9474,48611012.97
2016-03-16,000819.XSHG,有色金属,12525.0,3853.2855,4061.9474,48262400.8875
2016-03-16,399975.XSHE,证券公司,61163.0,791.845,791.845,48431615.735
2016-03-17,399975.XSHE,证券公司,61163.0,814.119,791.845,49793960.397
2016-03-18,399975.XSHE,证券公司,60136.0,842.838,791.845,50684905.968
2016-03-18,399932.XSHE,800消费,7130.0,7106.744,7106.744,50671084.72
2016-03-21,399975.XSHE,证券公司,60136.0,926.753,791.845,55731218.408
2016-03-21,399932.XSHE,800消费,7130.0,7239.325,7106.744,51616387.25
2016-03-22,399975.XSHE,证券公司,60136.0,899.425,791.845,54087821.8
2016-03-22,399932.XSHE,800消费,7130.0,7250.101,7106.744,51693220.13
2016-03-23,399975.XSHE,证券公司,60136.0,914.915,791.845,55019328.44
2016-03-23,399932.XSHE,800消费,7130.0,7267.384,7106.744,51816447.92
2016-03-24,399975.XSHE,证券公司,60136.0,872.8,791.845,52486700.8
2016-03-24,399932.XSHE,800消费,7130.0,7243.999,7106.744,51649712.87
2016-03-25,399975.XSHE,证券公司,60136.0,882.05,791.845,53042958.8
2016-03-25,399932.XSHE,800消费,7130.0,7312.033,7106.744,52134795.29
2016-03-28,399975.XSHE,证券公司,60136.0,861.083,791.845,51782087.288
2016-03-28,399932.XSHE,800消费,7130.0,7382.186,7106.744,52634986.18
2016-03-29,399975.XSHE,证券公司,60136.0,857.369,791.845,51558742.184
2016-03-29,399932.XSHE,800消费,7130.0,7261.574,7106.744,51775022.62
2016-03-30,399975.XSHE,证券公司,60136.0,885.944,791.845,53277128.384
2016-03-30,399932.XSHE,800消费,7130.0,7418.155,7106.744,52891445.15
2016-03-31,399975.XSHE,证券公司,60136.0,888.631,791.845,53438713.816
2016-03-31,399932.XSHE,800消费,7130.0,7425.416,7106.744,52943216.08
2016-04-01,399975.XSHE,证券公司,60136.0,883.093,791.845,53105680.648
2016-04-01,399932.XSHE,800消费,7130.0,7365.145,7106.744,52513483.85
2016-04-05,399975.XSHE,证券公司,60136.0,899.776,791.845,54108929.536
2016-04-05,399932.XSHE,800消费,7130.0,7466.847,7106.744,53238619.11
2016-04-06,399975.XSHE,证券公司,60136.0,893.82,791.845,53750759.52
2016-04-06,399932.XSHE,800消费,7130.0,7532.01,7106.744,53703231.3
2016-04-07,399975.XSHE,证券公司,60136.0,872.429,791.845,52464390.344
2016-04-07,399932.XSHE,800消费,7130.0,7395.706,7106.744,52731383.78
2016-04-08,399975.XSHE,证券公司,60136.0,856.036,791.845,51478580.896
2016-04-08,399932.XSHE,800消费,7130.0,7307.106,7106.744,52099665.78
2016-04-11,399975.XSHE,证券公司,60136.0,880.808,791.845,52968269.888
2016-04-11,399932.XSHE,800消费,7130.0,7382.615,7106.744,52638044.95
2016-04-12,399975.XSHE,证券公司,60136.0,878.199,791.845,52811375.064
2016-04-12,399932.XSHE,800消费,7130.0,7331.367,7106.744,52272646.71
2016-04-13,399975.XSHE,证券公司,60136.0,901.775,791.845,54229141.4
2016-04-13,399932.XSHE,800消费,7130.0,7380.087,7106.744,52620020.31
2016-04-14,399975.XSHE,证券公司,60136.0,907.178,791.845,54554056.208
2016-04-14,399932.XSHE,800消费,7130.0,7439.258,7106.744,53041909.54
2016-04-15,399975.XSHE,证券公司,60136.0,902.538,791.845,54275025.168
2016-04-15,399932.XSHE,800消费,7130.0,7428.356,7106.744,52964178.28
2016-04-18,399975.XSHE,证券公司,60136.0,880.804,791.845,52968029.344
2016-04-18,399932.XSHE,800消费,7130.0,7339.287,7106.744,52329116.31
2016-04-19,399975.XSHE,证券公司,60136.0,887.501,791.845,53370760.136
2016-04-19,399932.XSHE,800消费,7130.0,7345.243,7106.744,52371582.59
2016-04-20,399932.XSHE,800消费,7237.0,7140.073,7107.2368,51672708.301
2016-04-20,000819.XSHG,有色金属,12147.0,4252.9842,4252.9842,51660999.0774
2016-04-21,000819.XSHG,有色金属,12147.0,4314.9871,4252.9842,52414148.3037
2016-04-22,000819.XSHG,有色金属,12147.0,4232.4174,4252.9842,51411174.1578
2016-04-25,000819.XSHG,有色金属,12147.0,4203.2159,4252.9842,51056463.5373
2016-04-26,000819.XSHG,有色金属,12147.0,4205.806,4252.9842,51087925.482
2016-04-27,000819.XSHG,有色金属,12147.0,4190.4145,4252.9842,50900964.9315
2016-04-28,000819.XSHG,有色金属,12282.0,4151.9668,4251.8738,50994456.2376
2016-05-25,399932.XSHE,800消费,6986.0,7325.496,7325.496,51175915.056
2016-05-25,399913.XSHE,300医药,7449.0,6870.403,6870.403,51177631.947
2016-05-26,399932.XSHE,800消费,6986.0,7305.646,7325.496,51037242.956
2016-05-27,399932.XSHE,800消费,6986.0,7297.352,7325.496,50979301.072
2016-05-30,399932.XSHE,800消费,6986.0,7277.346,7325.496,50839539.156
2016-06-06,000819.XSHG,有色金属,11918.0,4355.2092,4355.2092,51905383.2456
2016-06-06,000993.XSHG,全指信息,8033.0,6461.5058,6461.5058,51905276.0914
2016-06-07,000819.XSHG,有色金属,11918.0,4343.8729,4355.2092,51770277.2222
2016-06-07,000993.XSHG,全指信息,8033.0,6451.6814,6461.5058,51826356.6862
2016-06-08,000819.XSHG,有色金属,11918.0,4304.6591,4355.2092,51302927.1538
2016-06-08,000993.XSHG,全指信息,8033.0,6435.3412,6461.5058,51695095.8596
2016-06-13,000819.XSHG,有色金属,11918.0,4210.5493,4355.2092,50181326.5574
2016-06-13,000993.XSHG,全指信息,8033.0,6043.6185,6461.5058,48548387.4105
2016-06-14,000819.XSHG,有色金属,11918.0,4197.9666,4355.2092,50031365.9388
2016-06-14,000993.XSHG,全指信息,8033.0,6056.0606,6461.5058,48648334.7998
2016-06-15,000819.XSHG,有色金属,11918.0,4373.6516,4355.2092,52125179.7688
2016-06-15,000993.XSHG,全指信息,8033.0,6293.4206,6461.5058,50555047.6798
2016-06-16,000819.XSHG,有色金属,11918.0,4476.9746,4355.2092,53356583.2828
2016-06-16,000993.XSHG,全指信息,8033.0,6271.3011,6461.5058,50377361.7363
2016-06-17,000819.XSHG,有色金属,11918.0,4464.5726,4355.2092,53208776.2468
2016-06-17,000993.XSHG,全指信息,8033.0,6312.0068,6461.5058,50704350.6244
2016-06-20,000819.XSHG,有色金属,11918.0,4419.748,4355.2092,52674556.664
2016-06-20,000993.XSHG,全指信息,8033.0,6378.9041,6461.5058,51241736.6353
2016-06-21,000819.XSHG,有色金属,11918.0,4319.013,4355.2092,51473996.934
2016-06-21,000993.XSHG,全指信息,8033.0,6272.2195,6461.5058,50384739.2435
2016-06-22,000819.XSHG,有色金属,11918.0,4370.1537,4355.2092,52083491.7966
2016-06-22,000993.XSHG,全指信息,8033.0,6424.1118,6461.5058,51604890.0894
2016-06-23,000819.XSHG,有色金属,11918.0,4283.3623,4355.2092,51049111.8914
2016-06-23,000993.XSHG,全指信息,8033.0,6416.508,6461.5058,51543808.764
2016-06-24,000819.XSHG,有色金属,11918.0,4287.3175,4355.2092,51096249.965
2016-06-24,000993.XSHG,全指信息,8033.0,6362.2163,6461.5058,51107683.5379
2016-06-27,000819.XSHG,有色金属,11918.0,4343.1064,4355.2092,51761142.0752
2016-06-27,000993.XSHG,全指信息,8033.0,6574.7275,6461.5058,52814786.0075
2016-06-28,000819.XSHG,有色金属,11918.0,4343.098,4355.2092,51761041.964
2016-06-28,000993.XSHG,全指信息,8033.0,6646.2793,6461.5058,53389561.6169
2016-06-29,000819.XSHG,有色金属,11918.0,4420.8631,4355.2092,52687846.4258
2016-06-29,000993.XSHG,全指信息,8033.0,6620.846,6461.5058,53185255.918
2016-06-30,000819.XSHG,有色金属,11918.0,4369.2468,4355.2092,52072683.3624
2016-06-30,000993.XSHG,全指信息,8033.0,6639.5608,6461.5058,53335591.9064
2016-07-01,000819.XSHG,有色金属,11918.0,4401.0821,4355.2092,52452096.4678
2016-07-01,000993.XSHG,全指信息,8033.0,6593.0177,6461.5058,52961711.1841
2016-07-04,000819.XSHG,有色金属,11918.0,4570.8762,4355.2092,54475702.5516
