date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2015-11-02,2569.2866,99984002.9706,99981433.684,0.99984,100000000.0,1.0
2015-11-03,2185.3645,99591441.0073,99589255.6428,0.995914,100000000.0,0.9998
2015-11-04,1795.0534,103944469.4214,103942674.368,1.039445,100000000.0,0.9959
2015-11-05,1405.3914,106612005.3876,106610599.9962,1.06612,100000000.0,1.0394
2015-11-06,1018.6259,108799493.8835,108798475.2576,1.087995,100000000.0,1.0661
2015-11-09,637.5929,110294868.6817,110294231.0888,1.102949,100000000.0,1.088
2015-11-10,269.4548,109746566.5636,109746297.1088,1.097466,100000000.0,1.1029
2015-11-11,3373.4129,109176617.0824,109173243.6695,1.091766,100000000.0,1.0975
2015-11-12,3034.1222,107929622.4172,107926588.295,1.079296,100000000.0,1.0918
2015-11-13,2709.5492,106655364.0362,106652654.487,1.066554,100000000.0,1.0793
2015-11-16,2395.7322,106642706.4077,106640310.6755,1.066427,100000000.0,1.0666
2015-11-17,2092.0569,106847665.5344,106845573.4775,1.068477,100000000.0,1.0664
2015-11-18,1801.0221,106158770.6496,106156969.6275,1.061588,100000000.0,1.0685
2015-11-19,1517.4373,107385402.5933,107383885.156,1.073854,100000000.0,1.0616
2015-11-20,1245.21,107173735.103,107172489.893,1.071737,100000000.0,1.0739
2015-11-23,985.1192,106628048.3372,106627063.218,1.06628,100000000.0,1.0717
2015-11-24,736.2957,106409959.0032,106409222.7075,1.0641,100000000.0,1.0663
2015-11-25,497.2581,106837387.5581,106836890.3,1.068374,100000000.0,1.0641
2015-11-26,269.92,106412770.8325,106412500.9125,1.064128,100000000.0,1.0684
2015-11-27,269.92,101277493.588,101277223.668,1.012775,100000000.0,1.0641
2015-11-30,269.92,101524415.338,101524145.418,1.015244,100000000.0,1.0128
2015-12-01,269.92,102302174.8135,102301904.8935,1.023022,100000000.0,1.0152
2015-12-02,269.92,107170905.5335,107170635.6135,1.071709,100000000.0,1.023
2015-12-03,269.92,107501050.9225,107500781.0025,1.075011,100000000.0,1.0717
2015-12-04,269.92,105092928.469,105092658.549,1.050929,100000000.0,1.075
2015-12-07,129.0594,104983499.8684,104983370.809,1.049835,100000000.0,1.0509
2015-12-08,129.0594,103200988.4374,103200859.378,1.03201,100000000.0,1.0498
2015-12-09,102274176.5852,102274176.5852,0.0,1.022742,100000000.0,1.032
2015-12-10,102274176.5852,102274176.5852,0.0,1.022742,100000000.0,1.0227
2015-12-11,102274176.5852,102274176.5852,0.0,1.022742,100000000.0,1.0227
2015-12-14,102274176.5852,102274176.5852,0.0,1.022742,100000000.0,1.0227
2015-12-15,102274176.5852,102274176.5852,0.0,1.022742,100000000.0,1.0227
2015-12-16,102274176.5852,102274176.5852,0.0,1.022742,100000000.0,1.0227
2015-12-17,2437.6647,102257815.7247,102255378.06,1.022578,100000000.0,1.0227
2015-12-18,2437.6647,102061577.2047,102059139.54,1.020616,100000000.0,1.0226
2015-12-21,2437.6647,102049388.9247,102046951.26,1.020494,100000000.0,1.0206
