date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2015-07-09,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-07-10,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-07-13,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-07-14,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-07-15,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-07-16,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-07-17,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-07-20,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-07-21,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-07-22,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-07-23,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-07-24,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-07-27,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-07-28,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-07-29,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-07-30,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-07-31,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-08-03,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-08-04,10000000.0,10000000.0,0.0,1.0,10000000.0,1.0
2015-08-05,244.4591,9998400.2951,9998155.836,0.99984,10000000.0,1.0
2015-08-06,244.4591,9914024.7551,9913780.296,0.991402,10000000.0,0.9998
2015-08-07,244.4591,10297908.4871,10297664.028,1.029791,10000000.0,0.9914
2015-08-10,244.4591,10816289.5871,10816045.128,1.081629,10000000.0,1.0298
2015-08-11,244.4591,10785096.8111,10784852.352,1.07851,10000000.0,1.0816
2015-08-12,10476831.1849,10476831.1849,0.0,1.047683,10000000.0,1.0785
2015-08-13,1180.633,10475155.349,10473974.716,1.047516,10000000.0,1.0477
2015-08-14,1180.633,10435214.477,10434033.844,1.043521,10000000.0,1.0475
2015-08-17,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0435
2015-08-18,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-08-19,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-08-20,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-08-21,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-08-24,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-08-25,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-08-26,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-08-27,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-08-28,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-08-31,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-09-01,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-09-02,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-09-07,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-09-08,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-09-09,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-09-10,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-09-11,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-09-14,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-09-15,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-09-16,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-09-17,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-09-18,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-09-21,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-09-22,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-09-23,10403367.8907,10403367.8907,0.0,1.040337,10000000.0,1.0403
2015-09-24,2120.3227,10401703.9573,10399583.6346,1.04017,10000000.0,1.0403
2015-09-25,2120.3227,10316716.2347,10314595.912,1.031672,10000000.0,1.0402
2015-09-28,2120.3227,10287981.2095,10285860.8868,1.028798,10000000.0,1.0317
2015-09-29,1062.8462,10082578.7142,10081515.868,1.008258,10000000.0,1.0288
2015-09-30,1062.8462,10006223.9382,10005161.092,1.000622,10000000.0,1.0083
2015-10-08,1062.8462,10523316.8902,10522254.044,1.052332,10000000.0,1.0006
2015-10-09,1062.8462,10649878.2702,10648815.424,1.064988,10000000.0,1.0523
2015-10-12,1062.8462,11130883.5742,11129820.728,1.113088,10000000.0,1.065
2015-10-13,1062.8462,11252218.2022,11251155.356,1.125222,10000000.0,1.1131
2015-10-14,1062.8462,11074297.2582,11073234.412,1.10743,10000000.0,1.1252
2015-10-15,1062.8462,11552439.3782,11551376.532,1.155244,10000000.0,1.1074
2015-10-16,1062.8462,11766202.9662,11765140.12,1.17662,10000000.0,1.1552
2015-10-19,1062.8462,11692072.4422,11691009.596,1.169207,10000000.0,1.1766
2015-10-20,1062.8462,12064694.7022,12063631.856,1.206469,10000000.0,1.1692
2015-10-21,1062.8462,11265193.8062,11264130.96,1.126519,10000000.0,1.2065
2015-10-22,1062.8462,11809957.7982,11808894.952,1.180996,10000000.0,1.1265
2015-10-23,1062.8462,12195454.7782,12194391.932,1.219545,10000000.0,1.181
2015-10-26,1062.8462,12143062.3542,12141999.508,1.214306,10000000.0,1.2195
2015-10-27,1062.8462,12318317.0782,12317254.232,1.231832,10000000.0,1.2143
2015-10-28,1062.8462,11940131.7862,11939068.94,1.194013,10000000.0,1.2318
2015-10-29,1062.8462,11940328.7502,11939265.904,1.194033,10000000.0,1.194
2015-10-30,1062.8462,11906705.5542,11905642.708,1.190671,10000000.0,1.194
2015-11-02,1062.8462,11684573.3982,11683510.552,1.168457,10000000.0,1.1907
2015-11-03,1062.8462,11671275.9262,11670213.08,1.167128,10000000.0,1.1685
2015-11-04,1062.8462,12416121.7142,12415058.868,1.241612,10000000.0,1.1671
2015-11-05,1062.8462,12321987.3342,12320924.488,1.232199,10000000.0,1.2416
2015-11-06,1062.8462,12786486.0942,12785423.248,1.278649,10000000.0,1.2322
2015-11-09,1062.8462,13090132.5222,13089069.676,1.309013,10000000.0,1.2786
2015-11-10,1062.8462,13195772.4822,13194709.636,1.319577,10000000.0,1.309
2015-11-11,1062.8462,13474731.1542,13473668.308,1.347473,10000000.0,1.3196
2015-11-12,1062.8462,13372026.4382,13370963.592,1.337203,10000000.0,1.3475
2015-11-13,1062.8462,13020676.2902,13019613.444,1.302068,10000000.0,1.3372
2015-11-16,1062.8462,13438629.0942,13437566.248,1.343863,10000000.0,1.3021
2015-11-17,1062.8462,13053780.6542,13052717.808,1.305378,10000000.0,1.3439
2015-11-18,1062.8462,12785299.5062,12784236.66,1.27853,10000000.0,1.3054
2015-11-19,1062.8462,13311755.4542,13310692.608,1.331176,10000000.0,1.2785
2015-11-20,1062.8462,13452983.4462,13451920.6,1.345298,10000000.0,1.3312
2015-11-23,1062.8462,13310914.7542,13309851.908,1.331091,10000000.0,1.3453
2015-11-24,1062.8462,13529357.4382,13528294.592,1.352936,10000000.0,1.3311
2015-11-25,1062.8462,13920984.3222,13919921.476,1.392098,10000000.0,1.3529
2015-11-26,1062.8462,13611746.0382,13610683.192,1.361175,10000000.0,1.3921
2015-11-27,1062.8462,12729501.0462,12728438.2,1.27295,10000000.0,1.3612
2015-11-30,1062.8462,12840141.9702,12839079.124,1.284014,10000000.0,1.273
2015-12-01,1062.8462,12757340.2262,12756277.38,1.275734,10000000.0,1.284
2015-12-02,1062.8462,12555178.2982,12554115.452,1.255518,10000000.0,1.2757
2015-12-03,2734.6008,13006723.5283,13003988.9275,1.300672,10000000.0,1.2555
2015-12-04,1661.8182,12711353.8992,12709692.081,1.271135,10000000.0,1.3007
2015-12-07,1661.8182,12928463.2472,12926801.429,1.292846,10000000.0,1.2711
2015-12-08,1661.8182,12708979.2362,12707317.418,1.270898,10000000.0,1.2928
2015-12-09,12594859.1362,12594859.1362,0.0,1.259486,10000000.0,1.2709
2015-12-10,12594859.1362,12594859.1362,0.0,1.259486,10000000.0,1.2595
2015-12-11,12594859.1362,12594859.1362,0.0,1.259486,10000000.0,1.2595
2015-12-14,12594859.1362,12594859.1362,0.0,1.259486,10000000.0,1.2595
2015-12-15,12594859.1362,12594859.1362,0.0,1.259486,10000000.0,1.2595
2015-12-16,1333.9965,12592844.4945,12591510.498,1.259284,10000000.0,1.2595
2015-12-17,1333.9965,12923623.4535,12922289.457,1.292362,10000000.0,1.2593
2015-12-18,1333.9965,12898824.2595,12897490.263,1.289882,10000000.0,1.2924
2015-12-21,1333.9965,12897283.9935,12895949.997,1.289728,10000000.0,1.2899
2015-12-22,2576.9317,12938399.236,12935822.3043,1.29384,10000000.0,1.2897
2015-12-23,2576.9317,12950593.8913,12948016.9596,1.295059,10000000.0,1.2938
2015-12-24,2576.9317,12831593.983,12829017.0513,1.283159,10000000.0,1.2951
2015-12-25,2576.9317,12862033.5355,12859456.6038,1.286203,10000000.0,1.2832
2015-12-28,2576.9317,12481246.8283,12478669.8966,1.248125,10000000.0,1.2862
2015-12-29,2576.9317,12595952.8855,12593375.9538,1.259595,10000000.0,1.2481
2015-12-30,2576.9317,12597898.7272,12595321.7955,1.25979,10000000.0,1.2596
2015-12-31,242.6187,12512003.8987,12511761.28,1.2512,10000000.0,1.2598
2016-01-04,11483021.48,11483021.48,0.0,1.148302,10000000.0,1.2512
2016-01-05,11483021.48,11483021.48,0.0,1.148302,10000000.0,1.1483
2016-01-06,11483021.48,11483021.48,0.0,1.148302,10000000.0,1.1483
2016-01-07,11483021.48,11483021.48,0.0,1.148302,10000000.0,1.1483
2016-01-08,11483021.48,11483021.48,0.0,1.148302,10000000.0,1.1483
2016-01-11,11483021.48,11483021.48,0.0,1.148302,10000000.0,1.1483
2016-01-12,11483021.48,11483021.48,0.0,1.148302,10000000.0,1.1483
2016-01-13,11483021.48,11483021.48,0.0,1.148302,10000000.0,1.1483
2016-01-14,11483021.48,11483021.48,0.0,1.148302,10000000.0,1.1483
