date,cash,transaction_cost,market_value,total_value
2015-07-09,10000000.0,0.0,0.0,10000000.0
2015-07-10,10000000.0,0.0,0.0,10000000.0
2015-07-13,10000000.0,0.0,0.0,10000000.0
2015-07-14,10000000.0,0.0,0.0,10000000.0
2015-07-15,10000000.0,0.0,0.0,10000000.0
2015-07-16,10000000.0,0.0,0.0,10000000.0
2015-07-17,10000000.0,0.0,0.0,10000000.0
2015-07-20,10000000.0,0.0,0.0,10000000.0
2015-07-21,10000000.0,0.0,0.0,10000000.0
2015-07-22,10000000.0,0.0,0.0,10000000.0
2015-07-23,10000000.0,0.0,0.0,10000000.0
2015-07-24,10000000.0,0.0,0.0,10000000.0
2015-07-27,10000000.0,0.0,0.0,10000000.0
2015-07-28,10000000.0,0.0,0.0,10000000.0
2015-07-29,10000000.0,0.0,0.0,10000000.0
2015-07-30,10000000.0,0.0,0.0,10000000.0
2015-07-31,10000000.0,0.0,0.0,10000000.0
2015-08-03,10000000.0,0.0,0.0,10000000.0
2015-08-04,10000000.0,0.0,0.0,10000000.0
2015-08-05,244.4591,1599.7049,9998155.836,9998400.2951
2015-08-06,244.4591,0.0,9913780.296,9914024.7551
2015-08-07,244.4591,0.0,10297664.028,10297908.4871
2015-08-10,244.4591,0.0,10816045.128,10816289.5871
2015-08-11,244.4591,0.0,10784852.352,10785096.8111
2015-08-12,10476831.1849,0.0,0.0,10476831.1849
2015-08-13,1180.633,1675.836,10473974.716,10475155.349
2015-08-14,1180.633,0.0,10434033.844,10435214.477
2015-08-17,10403367.8907,0.0,0.0,10403367.8907
2015-08-18,10403367.8907,0.0,0.0,10403367.8907
2015-08-19,10403367.8907,0.0,0.0,10403367.8907
2015-08-20,10403367.8907,0.0,0.0,10403367.8907
2015-08-21,10403367.8907,0.0,0.0,10403367.8907
2015-08-24,10403367.8907,0.0,0.0,10403367.8907
2015-08-25,10403367.8907,0.0,0.0,10403367.8907
2015-08-26,10403367.8907,0.0,0.0,10403367.8907
2015-08-27,10403367.8907,0.0,0.0,10403367.8907
2015-08-28,10403367.8907,0.0,0.0,10403367.8907
2015-08-31,10403367.8907,0.0,0.0,10403367.8907
2015-09-01,10403367.8907,0.0,0.0,10403367.8907
2015-09-02,10403367.8907,0.0,0.0,10403367.8907
2015-09-07,10403367.8907,0.0,0.0,10403367.8907
2015-09-08,10403367.8907,0.0,0.0,10403367.8907
2015-09-09,10403367.8907,0.0,0.0,10403367.8907
2015-09-10,10403367.8907,0.0,0.0,10403367.8907
2015-09-11,10403367.8907,0.0,0.0,10403367.8907
2015-09-14,10403367.8907,0.0,0.0,10403367.8907
2015-09-15,10403367.8907,0.0,0.0,10403367.8907
2015-09-16,10403367.8907,0.0,0.0,10403367.8907
2015-09-17,10403367.8907,0.0,0.0,10403367.8907
2015-09-18,10403367.8907,0.0,0.0,10403367.8907
2015-09-21,10403367.8907,0.0,0.0,10403367.8907
2015-09-22,10403367.8907,0.0,0.0,10403367.8907
2015-09-23,10403367.8907,0.0,0.0,10403367.8907
2015-09-24,2120.3227,1663.9334,10399583.6346,10401703.9573
2015-09-25,2120.3227,0.0,10314595.912,10316716.2347
2015-09-28,2120.3227,0.0,10285860.8868,10287981.2095
2015-09-29,1062.8462,1613.0425,10081515.868,10082578.7142
2015-09-30,1062.8462,0.0,10005161.092,10006223.9382
2015-10-08,1062.8462,0.0,10522254.044,10523316.8902
2015-10-09,1062.8462,0.0,10648815.424,10649878.2702
2015-10-12,1062.8462,0.0,11129820.728,11130883.5742
2015-10-13,1062.8462,0.0,11251155.356,11252218.2022
2015-10-14,1062.8462,0.0,11073234.412,11074297.2582
2015-10-15,1062.8462,0.0,11551376.532,11552439.3782
2015-10-16,1062.8462,0.0,11765140.12,11766202.9662
2015-10-19,1062.8462,0.0,11691009.596,11692072.4422
2015-10-20,1062.8462,0.0,12063631.856,12064694.7022
2015-10-21,1062.8462,0.0,11264130.96,11265193.8062
2015-10-22,1062.8462,0.0,11808894.952,11809957.7982
2015-10-23,1062.8462,0.0,12194391.932,12195454.7782
2015-10-26,1062.8462,0.0,12141999.508,12143062.3542
2015-10-27,1062.8462,0.0,12317254.232,12318317.0782
2015-10-28,1062.8462,0.0,11939068.94,11940131.7862
2015-10-29,1062.8462,0.0,11939265.904,11940328.7502
2015-10-30,1062.8462,0.0,11905642.708,11906705.5542
2015-11-02,1062.8462,0.0,11683510.552,11684573.3982
2015-11-03,1062.8462,0.0,11670213.08,11671275.9262
2015-11-04,1062.8462,0.0,12415058.868,12416121.7142
2015-11-05,1062.8462,0.0,12320924.488,12321987.3342
2015-11-06,1062.8462,0.0,12785423.248,12786486.0942
2015-11-09,1062.8462,0.0,13089069.676,13090132.5222
2015-11-10,1062.8462,0.0,13194709.636,13195772.4822
2015-11-11,1062.8462,0.0,13473668.308,13474731.1542
2015-11-12,1062.8462,0.0,13370963.592,13372026.4382
2015-11-13,1062.8462,0.0,13019613.444,13020676.2902
2015-11-16,1062.8462,0.0,13437566.248,13438629.0942
2015-11-17,1062.8462,0.0,13052717.808,13053780.6542
2015-11-18,1062.8462,0.0,12784236.66,12785299.5062
2015-11-19,1062.8462,0.0,13310692.608,13311755.4542
2015-11-20,1062.8462,0.0,13451920.6,13452983.4462
2015-11-23,1062.8462,0.0,13309851.908,13310914.7542
2015-11-24,1062.8462,0.0,13528294.592,13529357.4382
2015-11-25,1062.8462,0.0,13919921.476,13920984.3222
2015-11-26,1062.8462,0.0,13610683.192,13611746.0382
2015-11-27,1062.8462,0.0,12728438.2,12729501.0462
2015-11-30,1062.8462,0.0,12839079.124,12840141.9702
2015-12-01,1062.8462,0.0,12756277.38,12757340.2262
2015-12-02,1062.8462,0.0,12554115.452,12555178.2982
2015-12-03,2734.6008,2080.6382,13003988.9275,13006723.5283
2015-12-04,1661.8182,2033.5507,12709692.081,12711353.8992
2015-12-07,1661.8182,0.0,12926801.429,12928463.2472
2015-12-08,1661.8182,0.0,12707317.418,12708979.2362
2015-12-09,12594859.1362,0.0,0.0,12594859.1362
2015-12-10,12594859.1362,0.0,0.0,12594859.1362
2015-12-11,12594859.1362,0.0,0.0,12594859.1362
2015-12-14,12594859.1362,0.0,0.0,12594859.1362
2015-12-15,12594859.1362,0.0,0.0,12594859.1362
2015-12-16,1333.9965,2014.6417,12591510.498,12592844.4945
2015-12-17,1333.9965,0.0,12922289.457,12923623.4535
2015-12-18,1333.9965,0.0,12897490.263,12898824.2595
2015-12-21,1333.9965,0.0,12895949.997,12897283.9935
