date,order_book_id,symbol,quantity,last_price,avg_price,market_value
2014-04-16,399975.XSHE,证券公司,9627.0,519.2674,519.2674,4998987.2598
2014-04-16,000819.XSHG,有色金属,1583.0,3157.238,3157.238,4997907.754
2014-04-17,399975.XSHE,证券公司,9627.0,519.7029,519.2674,5003179.8183
2014-04-17,000819.XSHG,有色金属,1583.0,3150.188,3157.238,4986747.604
2014-04-18,399975.XSHE,证券公司,9627.0,521.9277,519.2674,5024597.9679
2014-04-18,000819.XSHG,有色金属,1583.0,3158.29,3157.238,4999573.07
2014-04-21,399975.XSHE,证券公司,9627.0,509.1779,519.2674,4901855.6433
2014-04-21,000819.XSHG,有色金属,1583.0,3108.741,3157.238,4921137.003
2014-04-22,399975.XSHE,证券公司,9627.0,513.4279,519.2674,4942770.3933
2014-04-22,000819.XSHG,有色金属,1583.0,3096.127,3157.238,4901169.041
2014-04-23,399975.XSHE,证券公司,9627.0,507.8456,519.2674,4889029.5912
2014-04-23,000819.XSHG,有色金属,1583.0,3101.255,3157.238,4909286.665
2014-04-24,399975.XSHE,证券公司,9627.0,507.5891,519.2674,4886560.2657
2014-04-24,399932.XSHE,800消费,905.0,5389.293,5389.293,4877310.165
2014-04-25,399975.XSHE,证券公司,9627.0,502.8207,519.2674,4840654.8789
2014-04-25,399932.XSHE,800消费,905.0,5236.912,5389.293,4739405.36
2014-04-28,399975.XSHE,证券公司,9627.0,494.7646,519.2674,4763098.8042
2014-04-28,399932.XSHE,800消费,905.0,5110.772,5389.293,4625248.66
2014-04-29,399975.XSHE,证券公司,9627.0,505.4357,519.2674,4865829.4839
2014-04-29,399932.XSHE,800消费,905.0,5185.705,5389.293,4693063.025
2014-04-30,399975.XSHE,证券公司,9627.0,503.7262,519.2674,4849372.1274
2014-04-30,399932.XSHE,800消费,905.0,5231.256,5389.293,4734286.68
2014-05-05,399975.XSHE,证券公司,9627.0,508.2715,519.2674,4893129.7305
2014-05-05,399932.XSHE,800消费,905.0,5251.398,5389.293,4752515.19
2014-05-06,399975.XSHE,证券公司,9627.0,506.1869,519.2674,4873061.2863
2014-05-06,399932.XSHE,800消费,905.0,5264.436,5389.293,4764314.58
2014-05-07,399975.XSHE,证券公司,9627.0,506.1085,519.2674,4872306.5295
2014-05-07,399932.XSHE,800消费,905.0,5196.923,5389.293,4703215.315
2014-05-08,399975.XSHE,证券公司,9627.0,509.7194,519.2674,4907068.6638
