date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2014-04-16,3764.2289,9998400.8581,9994636.6292,0.99984,10000000.0,1.0
2014-04-17,3337158.0616,9996059.6138,6658901.5522,0.999606,10000000.0,0.9998
2014-04-18,2893.8636,10018352.5932,10015458.7296,1.001835,10000000.0,0.9996
2014-04-21,2384.6043,9822041.7054,9819657.1011,0.982204,10000000.0,1.0018
2014-04-22,3268275.963,9833912.0381,6565636.0751,0.983391,10000000.0,0.9822
2014-04-23,6556047.9004,9815908.8068,3259860.9064,0.981591,10000000.0,0.9834
2014-04-24,6556047.9004,9814262.3333,3258214.4329,0.981426,10000000.0,0.9816
2014-04-25,6556047.9004,9783653.9737,3227606.0733,0.978365,10000000.0,0.9814
2014-04-28,6556047.9004,9731941.8678,3175893.9674,0.973194,10000000.0,0.9784
2014-04-29,6556047.9004,9800439.6587,3244391.7583,0.980044,10000000.0,0.9732
2014-04-30,6556047.9004,9789466.3782,3233418.4778,0.978947,10000000.0,0.98
2014-05-05,6556047.9004,9818642.6589,3262594.7585,0.981864,10000000.0,0.9789
2014-05-06,6556047.9004,9805261.6115,3249213.7111,0.980526,10000000.0,0.9819
2014-05-07,6556047.9004,9804758.3619,3248710.4615,0.980476,10000000.0,0.9805
2014-05-08,6556047.9004,9827936.729,3271888.8286,0.982794,10000000.0,0.9805
2014-05-09,9855249.2591,9855249.2591,0.0,0.985525,10000000.0,0.9828
2014-05-12,9855249.2591,9855249.2591,0.0,0.985525,10000000.0,0.9855
2014-05-13,9855249.2591,9855249.2591,0.0,0.985525,10000000.0,0.9855
2014-05-14,9855249.2591,9855249.2591,0.0,0.985525,10000000.0,0.9855
2014-05-15,9855249.2591,9855249.2591,0.0,0.985525,10000000.0,0.9855
2014-05-16,9855249.2591,9855249.2591,0.0,0.985525,10000000.0,0.9855
2014-05-19,9855249.2591,9855249.2591,0.0,0.985525,10000000.0,0.9855
2014-05-20,9855249.2591,9855249.2591,0.0,0.985525,10000000.0,0.9855
