date,cash,transaction_cost,market_value,total_value
2014-04-16,3764.2289,1599.1419,9994636.6292,9998400.8581
2014-04-17,3337158.0616,0.0,6658901.5522,9996059.6138
2014-04-18,2893.8636,533.3969,10015458.7296,10018352.5932
2014-04-21,2893.8636,0.0,9819147.9232,9822041.7868
2014-04-22,3268785.2224,0.0,6565122.6472,9833907.8696
2014-04-23,6556557.1597,0.0,3259353.0608,9815910.2205
2014-04-24,6556557.1597,0.0,3257706.8438,9814264.0035
2014-04-25,6556557.1597,0.0,3227103.2526,9783660.4123
2014-04-28,6556557.1597,0.0,3175399.2028,9731956.3625
2014-04-29,6556557.1597,0.0,3243886.3226,9800443.4823
2014-04-30,6556557.1597,0.0,3232914.7516,9789471.9113
2014-05-05,6556557.1597,0.0,3262086.487,9818643.6467
2014-05-06,6556557.1597,0.0,3248707.5242,9805264.6839
2014-05-07,6556557.1597,0.0,3248204.353,9804761.5127
2014-05-08,6556557.1597,0.0,3271379.1092,9827936.2689
2014-05-09,9855244.5441,0.0,0.0,9855244.5441
2014-05-12,9855244.5441,0.0,0.0,9855244.5441
2014-05-13,9855244.5441,0.0,0.0,9855244.5441
2014-05-14,9855244.5441,0.0,0.0,9855244.5441
2014-05-15,9855244.5441,0.0,0.0,9855244.5441
2014-05-16,9855244.5441,0.0,0.0,9855244.5441
2014-05-19,9855244.5441,0.0,0.0,9855244.5441
2014-05-20,9855244.5441,0.0,0.0,9855244.5441
2014-05-21,9855244.5441,0.0,0.0,9855244.5441
2014-05-22,9855244.5441,0.0,0.0,9855244.5441
2014-05-23,9855244.5441,0.0,0.0,9855244.5441
2014-05-26,9855244.5441,0.0,0.0,9855244.5441
2014-05-27,9855244.5441,0.0,0.0,9855244.5441
2014-05-28,9855244.5441,0.0,0.0,9855244.5441
2014-05-29,3825.1445,1575.9749,9849843.4246,9853668.5691
2014-05-30,3825.1445,0.0,9904890.416,9908715.5605
2014-06-03,3825.1445,0.0,9900016.7622,9903841.9067
2014-06-04,3825.1445,0.0,9835695.0404,9839520.1849
2014-06-05,3285609.505,0.0,6740645.932,10026255.437
2014-06-06,2233.1238,525.2562,9977933.8784,9980167.0022
2014-06-09,2233.1238,0.0,9886832.4868,9889065.6106
2014-06-10,3308035.3858,0.0,6737245.2558,10045280.6416
2014-06-11,3308035.3858,0.0,6762007.6968,10070043.0826
2014-06-12,3308035.3858,0.0,6748760.64,10056796.0258
2014-06-13,3308035.3858,0.0,6840746.1656,10148781.5514
2014-06-16,2449.4647,528.8091,10211601.725,10214051.1897
2014-06-17,2449.4647,0.0,10120918.4358,10123367.9005
2014-06-18,2449.4647,0.0,10066281.3958,10068730.8605
2014-06-19,2449.4647,0.0,9775206.9572,9777656.4219
2014-06-20,3237526.7575,0.0,6603067.4906,9840594.2481
2014-06-23,155.0229,517.8966,9946562.05,9946717.0729
2014-06-24,155.0229,0.0,10025317.2094,10025472.2323
2014-06-25,155.0229,0.0,9933355.6234,9933510.6463
2014-06-26,155.0229,0.0,10059997.174,10060152.1969
2014-06-27,155.0229,0.0,10095269.1678,10095424.1907
2014-06-30,155.0229,0.0,10194436.6784,10194591.7013
2014-07-01,155.0229,0.0,10306108.8692,10306263.8921
2014-07-02,155.0229,0.0,10317887.96,10318042.9829
2014-07-03,155.0229,0.0,10358951.4348,10359106.4577
2014-07-04,155.0229,0.0,10326080.35,10326235.3729
2014-07-07,155.0229,0.0,10232395.7424,10232550.7653
2014-07-08,155.0229,0.0,10327547.7414,10327702.7643
2014-07-09,155.0229,0.0,10150660.7738,10150815.7967
2014-07-10,3366187.5967,0.0,6738593.179,10104780.7757
2014-07-11,3366187.5967,0.0,6773721.903,10139909.4997
2014-07-14,6811851.2303,0.0,3432908.3,10244759.5303
2014-07-15,6811851.2303,0.0,3416795.899,10228647.1293
2014-07-16,6811851.2303,0.0,3389709.79,10201561.0203
2014-07-17,6811851.2303,0.0,3396163.531,10208014.7613
2014-07-18,1707997.4193,816.486,8496384.938,10204382.3573
2014-07-21,374.9656,546.5887,10191675.5516,10192050.5172
2014-07-22,374.9656,0.0,10389155.042,10389530.0076
2014-07-23,374.9656,0.0,10410066.0253,10410440.9909
2014-07-24,374.9656,0.0,10584520.866,10584895.8316
2014-07-25,374.9656,0.0,10771536.1839,10771911.1495
2014-07-28,374.9656,0.0,11117634.3245,11118009.2901
2014-07-29,374.9656,0.0,11129094.8275,11129469.7931
2014-07-30,374.9656,0.0,11112820.4897,11113195.4553
2014-07-31,374.9656,0.0,11324051.0835,11324426.0491
2014-08-01,374.9656,0.0,11160251.3422,11160626.3078
2014-08-04,374.9656,0.0,11478791.5799,11479166.5455
2014-08-05,374.9656,0.0,11485340.3774,11485715.343
2014-08-06,374.9656,0.0,11561868.3064,11562243.272
2014-08-07,374.9656,0.0,11342076.6709,11342451.6365
2014-08-08,374.9656,0.0,11387536.8671,11387911.8327
2014-08-11,374.9656,0.0,11564697.1735,11565072.1391
2014-08-12,374.9656,0.0,11557569.8331,11557944.7987
2014-08-13,374.9656,0.0,11581977.9755,11582352.9411
2014-08-14,374.9656,0.0,11396677.3704,11397052.336
2014-08-15,374.9656,0.0,11539270.8833,11539645.8489
2014-08-18,374.9656,0.0,11620186.4329,11620561.3985
2014-08-19,703.4419,590.0441,11571044.2133,11571747.6552
2014-08-20,703.4419,0.0,11537313.5338,11538016.9757
2014-08-21,703.4419,0.0,11494993.3729,11495696.8148
2014-08-22,703.4419,0.0,11560493.7963,11561197.2382
2014-08-25,703.4419,0.0,11425724.1008,11426427.5427
2014-08-26,547.317,613.692,11259735.9905,11260283.3075
2014-08-27,547.317,0.0,11305754.444,11306301.761
2014-08-28,547.317,0.0,11201226.926,11201774.243
2014-08-29,3787867.5848,0.0,7509134.098,11297001.6828
2014-09-01,3033.0982,605.4766,11450575.7915,11453608.8897
2014-09-02,3033.0982,0.0,11595842.345,11598875.4432
2014-09-03,3033.0982,0.0,11727290.992,11730324.0902
2014-09-04,1329.6455,621.2432,11789754.384,11791084.0295
2014-09-05,1329.6455,0.0,11807381.689,11808711.3345
2014-09-09,1329.6455,0.0,11828683.775,11830013.4205
2014-09-10,1329.6455,0.0,11850333.3215,11851662.967
2014-09-11,1329.6455,0.0,11819036.565,11820366.2105
2014-09-12,1329.6455,0.0,11871798.9705,11873128.616
2014-09-15,1329.6455,0.0,11914349.431,11915679.0765
2014-09-16,1329.6455,0.0,11489379.357,11490709.0025
2014-09-17,3829960.5566,0.0,7719689.6415,11549650.1981
2014-09-18,366.1785,612.6371,11581428.8865,11581795.065
2014-09-19,366.1785,0.0,11650380.827,11650747.0055
2014-09-22,1919436.2577,918.6422,9562362.474,11481798.7317
2014-09-23,3851314.1018,0.0,7745098.302,11596412.4038
2014-09-24,513.3225,616.0296,11680138.2318,11680651.5543
2014-09-25,513.3225,0.0,11649002.5328,11649515.8553
2014-09-26,513.3225,0.0,11672799.5351,11673312.8576
2014-09-29,513.3225,0.0,11788407.6436,11788920.9661
2014-09-30,513.3225,0.0,11862887.7793,11863401.1018
2014-10-08,513.3225,0.0,12086251.628,12086764.9505
2014-10-09,513.3225,0.0,12021356.9002,12021870.2227
2014-10-10,513.3225,0.0,11968756.364,11969269.6865
2014-10-13,513.3225,0.0,11947257.9368,11947771.2593
2014-10-14,1165.0726,610.6068,11887956.817,11889121.8896
2014-10-15,1165.0726,0.0,11983690.63,11984855.7026
2014-10-16,1165.0726,0.0,11809387.496,11810552.5686
2014-10-17,165.2365,593.0623,11743363.1838,11743528.4203
2014-10-20,3996738.2525,0.0,7876955.25,11873693.5025
2014-10-21,2170.1238,639.0287,11792515.5954,11794685.7192
2014-10-22,2170.1238,0.0,11625757.8156,11627927.9394
2014-10-23,2170.1238,0.0,11483151.9138,11485322.0376
2014-10-24,2170.1238,0.0,11465993.3202,11468163.444
2014-10-27,3939303.7816,0.0,7473402.8478,11412706.6294
2014-10-28,1090.4253,630.0133,11616288.888,11617379.3133
2014-10-29,1090.4253,0.0,11782277.928,11783368.3533
2014-10-30,1090.4253,0.0,11814019.5054,11815109.9307
2014-10-31,1090.4253,0.0,11884065.0024,11885155.4277
2014-11-03,1090.4253,0.0,11925168.51,11926258.9353
2014-11-04,1090.4253,0.0,11851408.59,11852499.0153
2014-11-05,3941664.6555,0.0,7980724.7766,11922389.4321
2014-11-06,8004970.9745,0.0,3938848.695,11943819.6695
2014-11-07,8004970.9745,0.0,4068482.859,12073453.8335
2014-11-10,8004970.9745,0.0,4240751.8752,12245722.8497
2014-11-11,8004970.9745,0.0,4269562.38,12274533.3545
2014-11-12,8004970.9745,0.0,4466734.6446,12471705.6191
2014-11-13,8004970.9745,0.0,4393933.2468,12398904.2213
2014-11-14,8004970.9745,0.0,4354666.452,12359637.4265
2014-11-17,8004970.9745,0.0,4301744.517,12306715.4915
2014-11-18,8004970.9745,0.0,4256324.8956,12261295.8701
2014-11-19,8004970.9745,0.0,4235611.3128,12240582.2873
2014-11-20,2002030.5736,960.3168,10307089.0836,12309119.6572
2014-11-21,4566264.0904,235.3131,8055964.6594,12622228.7498
2014-11-24,1653841.9952,793.1887,11398518.5428,13052360.538
2014-11-25,1653841.9952,0.0,11559514.4055,13213356.4007
2014-11-26,1653841.9952,0.0,11898374.6268,13552216.622
2014-11-27,1653841.9952,0.0,12331110.8513,13984952.8465
2014-11-28,1653841.9952,0.0,12268745.2986,13922587.2938
2014-12-01,1653841.9952,0.0,12354214.7326,14008056.7278
2014-12-02,1653841.9952,0.0,13069831.0366,14723673.0318
2014-12-03,1653841.9952,0.0,13513087.9206,15166929.9158
2014-12-04,1653841.9952,0.0,14327885.8094,15981727.8046
2014-12-05,1653841.9952,0.0,15044082.7975,16697924.7927
2014-12-08,1653841.9952,0.0,15991899.8288,17645741.824
2014-12-09,37.8669,534.4671,17164206.9804,17164244.8473
2014-12-10,37.8669,0.0,17482028.9602,17482066.8271
2014-12-11,37.8669,0.0,16763590.2923,16763628.1592
2014-12-12,37.8669,0.0,17074777.5468,17074815.4137
2014-12-15,792.1934,565.2185,17447008.6704,17447800.8638
2014-12-16,792.1934,0.0,18408193.7475,18408985.9409
2014-12-17,792.1934,0.0,18833503.9633,18834296.1567
2014-12-18,792.1934,0.0,18113884.7447,18114676.9381
2014-12-19,792.1934,0.0,17972527.5793,17973319.7727
2014-12-22,792.1934,0.0,17552486.8371,17553279.0305
2014-12-23,792.1934,0.0,17397180.12,17397972.3134
2014-12-24,3707.4355,519.3226,16658115.8234,16661823.2589
2014-12-25,3707.4355,0.0,17141699.6695,17145407.105
2014-12-26,3707.4355,0.0,18171741.3188,18175448.7543
2014-12-29,3707.4355,0.0,17879319.0782,17883026.5137
2014-12-30,3707.4355,0.0,18031253.8548,18034961.2903
2014-12-31,3707.4355,0.0,18256248.8244,18259956.2599
2015-01-05,3906426.8505,0.0,14734459.5755,18640886.426
2015-01-06,4516.3727,624.2058,18546259.4904,18550775.8631
2015-01-07,4516.3727,0.0,18904653.1577,18909169.5304
2015-01-08,4516.3727,0.0,18376275.5791,18380791.9518
2015-01-09,4516.3727,0.0,18223423.2419,18227939.6146
2015-01-12,4516.3727,0.0,17924823.7765,17929340.1492
2015-01-13,1623.544,600.7267,17613856.26,17615479.804
2015-01-14,1623.544,0.0,17708058.5434,17709682.0874
