date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2013-01-04,-99820.7913,9898402.0587,9998222.85,0.98984,10000000.0,1.0
2013-01-07,-99122.3179,9874690.2101,9973812.528,0.987469,10000000.0,0.9898
2013-01-08,-3384.2593,9790194.9757,9793579.235,0.979019,10000000.0,0.9875
2013-01-09,-96474.8543,9587986.7557,9684461.61,0.958799,10000000.0,0.979
2013-01-10,-1100.2507,9675004.6493,9676104.9,0.9675,10000000.0,0.9588
2013-01-11,-376.0954,9549760.6026,9550136.698,0.954976,10000000.0,0.9675
2013-01-14,-376.0954,9927843.6046,9928219.7,0.992784,10000000.0,0.955
2013-01-15,-376.0954,10163507.4666,10163883.562,1.016351,10000000.0,0.9928
2013-01-16,-376.0954,10109751.0946,10110127.19,1.010975,10000000.0,1.0164
2013-01-17,-376.0954,10029116.5366,10029492.632,1.002912,10000000.0,1.011
2013-01-18,-376.0954,10278160.7486,10278536.844,1.027816,10000000.0,1.0029
2013-01-21,-376.0954,10346224.3046,10346600.4,1.034622,10000000.0,1.0278
2013-01-22,-376.0954,10118236.1946,10118612.29,1.011824,10000000.0,1.0346
2013-01-23,-376.0954,10161875.7166,10162251.812,1.016188,10000000.0,1.0118
2013-01-24,-376.0954,9892845.8306,9893221.926,0.989285,10000000.0,1.0162
2013-01-25,-376.0954,9957841.6966,9958217.792,0.995784,10000000.0,0.9893
2013-01-28,-376.0954,10243880.9446,10244257.04,1.024388,10000000.0,0.9958
2013-01-29,-376.0954,10334097.1386,10334473.234,1.03341,10000000.0,1.0244
2013-01-30,-376.0954,10229808.7326,10230184.828,1.022981,10000000.0,1.0334
2013-01-31,-376.0954,10129593.1746,10129969.27,1.012959,10000000.0,1.023
2013-02-01,-376.0954,10212590.5066,10212966.602,1.021259,10000000.0,1.013
2013-02-04,-376.0954,10076032.6126,10076408.708,1.007603,10000000.0,1.0213
2013-02-05,-99711.4086,9988473.6414,10088185.05,0.998847,10000000.0,1.0076
2013-02-06,-2018.8771,10007310.8039,10009329.681,1.000731,10000000.0,0.9988
2013-02-07,-2018.8771,9897320.7779,9899339.655,0.989732,10000000.0,1.0007
2013-02-08,-2018.8771,9900734.4629,9902753.34,0.990073,10000000.0,0.9897
2013-02-18,-96350.3323,9566134.0037,9662484.336,0.956613,10000000.0,0.9901
2013-02-19,-1418.6303,9385069.1287,9386487.759,0.938507,10000000.0,0.9566
2013-02-20,-576.4107,9741804.9393,9742381.35,0.97418,10000000.0,0.9385
2013-02-21,-576.4107,9609385.6893,9609962.1,0.960939,10000000.0,0.9742
2013-02-22,-576.4107,9603259.9393,9603836.35,0.960326,10000000.0,0.9609
2013-02-25,-576.4107,9797119.8893,9797696.3,0.979712,10000000.0,0.9603
2013-02-26,-576.4107,9745858.2393,9746434.65,0.974586,10000000.0,0.9797
2013-02-27,-576.4107,9687154.0893,9687730.5,0.968715,10000000.0,0.9746
2013-02-28,-576.4107,9858961.3393,9859537.75,0.985896,10000000.0,0.9687
2013-03-01,-576.4107,10131425.5393,10132001.95,1.013143,10000000.0,0.9859
2013-03-04,-576.4107,9886498.5893,9887075.0,0.98865,10000000.0,1.0131
2013-03-05,-576.4107,10168157.1393,10168733.55,1.016816,10000000.0,0.9886
2013-03-06,-576.4107,10337662.9393,10338239.35,1.033766,10000000.0,1.0168
2013-03-07,-576.4107,10044932.2393,10045508.65,1.004493,10000000.0,1.0338
2013-03-08,-576.4107,9900227.1393,9900803.55,0.990023,10000000.0,1.0045
2013-03-11,-576.4107,9951191.0893,9951767.5,0.995119,10000000.0,0.99
2013-03-12,-576.4107,9615545.7893,9616122.2,0.961555,10000000.0,0.9951
2013-03-13,-576.4107,9549284.6393,9549861.05,0.954928,10000000.0,0.9616
2013-03-14,-576.4107,9640735.7893,9641312.2,0.964074,10000000.0,0.9549
2013-03-15,-576.4107,9776647.2893,9777223.7,0.977665,10000000.0,0.9641
2013-03-18,-576.4107,9756163.2393,9756739.65,0.975616,10000000.0,0.9777
2013-03-19,-576.4107,9648166.8393,9648743.25,0.964817,10000000.0,0.9756
2013-03-20,-576.4107,9918180.7393,9918757.15,0.991818,10000000.0,0.9648
2013-03-21,-576.4107,10106727.8893,10107304.3,1.010673,10000000.0,0.9918
2013-03-22,-576.4107,10098335.0393,10098911.45,1.009834,10000000.0,1.0107
2013-03-25,-576.4107,10095529.7893,10096106.2,1.009553,10000000.0,1.0098
2013-03-26,-576.4107,10033757.0393,10034333.45,1.003376,10000000.0,1.0096
2013-03-27,-576.4107,10106933.9893,10107510.4,1.010693,10000000.0,1.0034
2013-03-28,-576.4107,9932424.5393,9933000.95,0.993242,10000000.0,1.0107
2013-03-29,-576.4107,9920333.3393,9920909.75,0.992033,10000000.0,0.9932
2013-04-01,9939077.8256,9939077.8256,0.0,0.993908,10000000.0,0.992
2013-04-02,-99328.8821,9838097.6719,9937426.554,0.98381,10000000.0,0.9939
2013-04-03,9620472.7788,9620472.7788,0.0,0.962047,10000000.0,0.9838
2013-04-08,9620472.7788,9620472.7788,0.0,0.962047,10000000.0,0.962
2013-04-09,9620472.7788,9620472.7788,0.0,0.962047,10000000.0,0.962
2013-04-10,9620472.7788,9620472.7788,0.0,0.962047,10000000.0,0.962
2013-04-11,9620472.7788,9620472.7788,0.0,0.962047,10000000.0,0.962
2013-04-12,-95624.0694,9522734.8626,9618358.932,0.952273,10000000.0,0.962
2013-04-15,-1249.6136,9405088.8604,9406338.474,0.940509,10000000.0,0.9523
2013-04-16,9417656.7649,9417656.7649,0.0,0.941766,10000000.0,0.9405
2013-04-17,9417656.7649,9417656.7649,0.0,0.941766,10000000.0,0.9418
2013-04-18,-94151.3128,9321973.8672,9416125.18,0.932197,10000000.0,0.9418
2013-04-19,-1420.9225,9522920.8275,9524341.75,0.952292,10000000.0,0.9322
2013-04-22,-514.2068,9777093.9472,9777608.154,0.977709,10000000.0,0.9523
2013-04-23,-514.2068,9539800.2532,9540314.46,0.95398,10000000.0,0.9777
2013-04-24,-514.2068,9855921.4372,9856435.644,0.985592,10000000.0,0.954
2013-04-25,-514.2068,9644875.1092,9645389.316,0.964488,10000000.0,0.9856
2013-04-26,-514.2068,9492738.5872,9493252.794,0.949274,10000000.0,0.9645
2013-05-02,-514.2068,9751796.5672,9752310.774,0.97518,10000000.0,0.9493
2013-05-03,-514.2068,10024613.3332,10025127.54,1.002461,10000000.0,0.9752
2013-05-06,-514.2068,10225412.6212,10225926.828,1.022541,10000000.0,1.0025
2013-05-07,-514.2068,10219200.3532,10219714.56,1.02192,10000000.0,1.0225
2013-05-08,-514.2068,10460891.7352,10461405.942,1.046089,10000000.0,1.0219
2013-05-09,-514.2068,10589812.3072,10590326.514,1.058981,10000000.0,1.0461
2013-05-10,-514.2068,10548599.9932,10549114.2,1.05486,10000000.0,1.059
2013-05-13,-514.2068,10621279.2592,10621793.466,1.062128,10000000.0,1.0549
2013-05-14,-514.2068,10420864.2352,10421378.442,1.042086,10000000.0,1.0621
