date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2014-04-16,1505.483,9998400.4968,9996895.0138,0.99984,10000000.0,1.0
2014-04-17,985.6969,9991432.8221,9990447.1252,0.999143,10000000.0,0.9998
2014-04-18,985.6969,10025678.6625,10024692.9656,1.002568,10000000.0,0.9991
2014-04-21,985.6969,9824487.5211,9823501.8242,0.982449,10000000.0,1.0026
2014-04-22,985.6969,9845438.5591,9844452.8622,0.984544,10000000.0,0.9824
2014-04-23,632.315,9798239.0218,9797606.7068,0.979824,10000000.0,0.9845
2014-04-24,632.315,9770399.6278,9769767.3128,0.97704,10000000.0,0.9798
2014-04-25,632.315,9586432.2866,9585799.9716,0.958643,10000000.0,0.977
2014-04-28,632.315,9394585.3158,9393953.0008,0.939459,10000000.0,0.9586
2014-04-29,4698129.3252,9564464.2448,4866334.9196,0.956446,10000000.0,0.9395
2014-04-30,4698129.3252,9548005.1788,4849875.8536,0.954801,10000000.0,0.9564
2014-05-05,4698129.3252,9591767.3272,4893638.002,0.959177,10000000.0,0.9548
2014-05-06,4698129.3252,9571696.7984,4873567.4732,0.95717,10000000.0,0.9592
2014-05-07,4698129.3252,9570941.9632,4872812.638,0.957094,10000000.0,0.9572
2014-05-08,4698129.3252,9605707.7084,4907578.3832,0.960571,10000000.0,0.9571
2014-05-09,9646674.3761,9646674.3761,0.0,0.964667,10000000.0,0.9606
2014-05-12,9646674.3761,9646674.3761,0.0,0.964667,10000000.0,0.9647
2014-05-13,9646674.3761,9646674.3761,0.0,0.964667,10000000.0,0.9647
2014-05-14,9646674.3761,9646674.3761,0.0,0.964667,10000000.0,0.9647
2014-05-15,9646674.3761,9646674.3761,0.0,0.964667,10000000.0,0.9647
2014-05-16,9646674.3761,9646674.3761,0.0,0.964667,10000000.0,0.9647
2014-05-19,9646674.3761,9646674.3761,0.0,0.964667,10000000.0,0.9647
2014-05-20,9646674.3761,9646674.3761,0.0,0.964667,10000000.0,0.9647
2014-05-21,9646674.3761,9646674.3761,0.0,0.964667,10000000.0,0.9647
2014-05-22,9646674.3761,9646674.3761,0.0,0.964667,10000000.0,0.9647
2014-05-23,9646674.3761,9646674.3761,0.0,0.964667,10000000.0,0.9647
2014-05-26,9646674.3761,9646674.3761,0.0,0.964667,10000000.0,0.9647
2014-05-27,9646674.3761,9646674.3761,0.0,0.964667,10000000.0,0.9647
2014-05-28,9646674.3761,9646674.3761,0.0,0.964667,10000000.0,0.9647
2014-05-29,4116.0706,9645131.8136,9641015.743,0.964513,10000000.0,0.9647
2014-05-30,4116.0706,9718697.4886,9714581.418,0.97187,10000000.0,0.9645
2014-06-03,4116.0706,9689119.9706,9685003.9,0.968912,10000000.0,0.9719
2014-06-04,4116.0706,9582899.1916,9578783.121,0.95829,10000000.0,0.9689
2014-06-05,220.3937,9693659.2187,9693438.825,0.969366,10000000.0,0.9583
2014-06-06,220.3937,9628697.7225,9628477.3288,0.96287,10000000.0,0.9694
2014-06-09,220.3937,9491870.1393,9491649.7456,0.949187,10000000.0,0.9629
2014-06-10,220.3937,9689316.1573,9689095.7636,0.968932,10000000.0,0.9492
2014-06-11,220.3937,9725267.1473,9725046.7536,0.972527,10000000.0,0.9689
2014-06-12,220.3937,9706731.9447,9706511.551,0.970673,10000000.0,0.9725
2014-06-13,220.3937,9839214.7329,9838994.3392,0.983921,10000000.0,0.9707
2014-06-16,220.3937,9933743.7807,9933523.387,0.993374,10000000.0,0.9839
2014-06-17,220.3937,9831567.2733,9831346.8796,0.983157,10000000.0,0.9934
2014-06-18,220.3937,9762931.6633,9762711.2696,0.976293,10000000.0,0.9832
2014-06-19,220.3937,9417647.1491,9417426.7554,0.941765,10000000.0,0.9763
2014-06-20,220.3937,9498647.3519,9498426.9582,0.949865,10000000.0,0.9418
2014-06-23,220.3937,9651674.3627,9651453.969,0.965167,10000000.0,0.9499
2014-06-24,220.3937,9699867.7325,9699647.3388,0.969987,10000000.0,0.9652
2014-06-25,220.3937,9639699.7715,9639479.3778,0.96397,10000000.0,0.97
2014-06-26,220.3937,9797795.0277,9797574.634,0.97978,10000000.0,0.964
2014-06-27,220.3937,9853060.7683,9852840.3746,0.985306,10000000.0,0.9798
2014-06-30,220.3937,9958916.5275,9958696.1338,0.995892,10000000.0,0.9853
2014-07-01,220.3937,10056003.1671,10055782.7734,1.0056,10000000.0,0.9959
2014-07-02,220.3937,10092603.1657,10092382.772,1.00926,10000000.0,1.0056
2014-07-03,220.3937,10071756.8003,10071536.4066,1.007176,10000000.0,1.0093
2014-07-04,220.3937,10060135.7727,10059915.379,1.006014,10000000.0,1.0072
2014-07-07,220.3937,9971425.3165,9971204.9228,0.997143,10000000.0,1.006
2014-07-08,220.3937,10062570.3955,10062350.0018,1.006257,10000000.0,0.9971
2014-07-09,220.3937,9845173.7553,9844953.3616,0.984517,10000000.0,1.0063
2014-07-10,978.3797,9730406.7587,9729428.379,0.973041,10000000.0,0.9845
2014-07-11,978.3797,9780756.7607,9779778.381,0.978076,10000000.0,0.973
2014-07-14,978.3797,9932207.2827,9931228.903,0.993221,10000000.0,0.9781
2014-07-15,978.3797,9866836.5757,9865858.196,0.986684,10000000.0,0.9932
2014-07-16,978.3797,9742249.5967,9741271.217,0.974225,10000000.0,0.9867
2014-07-17,3098.0521,9710316.7211,9707218.669,0.971032,10000000.0,0.9742
2014-07-18,3098.0521,9788926.0641,9785828.012,0.978893,10000000.0,0.971
2014-07-21,3098.0521,9762047.7751,9758949.723,0.976205,10000000.0,0.9789
2014-07-22,3098.0521,9968432.1361,9965334.084,0.996843,10000000.0,0.9762
2014-07-23,3098.0521,9961477.6591,9958379.607,0.996148,10000000.0,0.9968
2014-07-24,3098.0521,10040646.6851,10037548.633,1.004065,10000000.0,0.9961
2014-07-25,3098.0521,10233921.8791,10230823.827,1.023392,10000000.0,1.0041
