date,cash,transaction_cost,market_value,total_value
2015-10-08,10000000.0,0.0,0.0,10000000.0
2015-10-09,10000000.0,0.0,0.0,10000000.0
2015-10-12,10000000.0,0.0,0.0,10000000.0
2015-10-13,7935.4242,1598.4746,9990466.1012,9998401.5254
2015-10-14,5178.6392,0.441,9850727.6646,9855906.3038
2015-10-15,5178.6392,0.0,10258540.524,10263719.1632
2015-10-16,5178.6392,0.0,10493920.6074,10499099.2466
2015-10-19,5178.6392,0.0,10460598.0462,10465776.6854
2015-10-20,5178.6392,0.0,10789419.7938,10794598.433
2015-10-21,5178.6392,0.0,10091344.9968,10096523.636
2015-10-22,5178.6392,0.0,10467303.3288,10472481.968
2015-10-23,5178.6392,0.0,10723915.4658,10729094.105
2015-10-26,5178.6392,0.0,10745312.4672,10750491.1064
2015-10-27,5178.6392,0.0,10949828.3508,10955006.99
2015-10-28,5178.6392,0.0,10628304.3156,10633482.9548
2015-10-29,5178.6392,0.0,10652613.2778,10657791.917
2015-10-30,5178.6392,0.0,10691611.6698,10696790.309
2015-11-02,5178.6392,0.0,10488038.3928,10493217.032
2015-11-03,5178.6392,0.0,10482455.19,10487633.8292
2015-11-04,5178.6392,0.0,11072880.3984,11078059.0376
2015-11-05,5178.6392,0.0,11029614.606,11034793.2452
2015-11-06,5178.6392,0.0,11435180.5146,11440359.1538
2015-11-09,5178.6392,0.0,11686250.589,11691429.2282
2015-11-10,5178.6392,0.0,11771983.473,11777162.1122
2015-11-11,5178.6392,0.0,11978986.227,11984164.8662
2015-11-12,5178.6392,0.0,11855694.162,11860872.8012
2015-11-13,5178.6392,0.0,11536268.1528,11541446.792
2015-11-16,5178.6392,0.0,11860123.9074,11865302.5466
2015-11-17,5178.6392,0.0,11557023.1266,11562201.7658
2015-11-18,5178.6392,0.0,11317185.1512,11322363.7904
2015-11-19,5178.6392,0.0,11775983.904,11781162.5432
2015-11-20,5178.6392,0.0,11903134.521,11908313.1602
2015-11-23,5178.6392,0.0,11805882.2004,11811060.8396
2015-11-24,5178.6392,0.0,11970076.7832,11975255.4224
2015-11-25,5178.6392,0.0,12273281.8782,12278460.5174
2015-11-26,5178.6392,0.0,12062849.2104,12068027.8496
